society,Seshat,Region,pop.res1,ext_hier,ter.res,pol.cent,agr.ins,trophies.bin,Lat,Long,reg.lev,agr.st,time_period,PolPop,SPC1,PC1.st,pop.st,SPC1.st
AfGhurd,yes,Southern Asia,7,NA,1,4,2,0,34,65,15,-1.229567287,1025-1215 CE,7.164965825,0.829796518,NA,1.480449482,0.745439943
Alamut,no,Southwest Asia,5.5,3,1,5,6,0,36.27,50,18,1.125040314,1090-1256 CE,NA,NA,1.282149584,0.454047141,NA
Aleut,no,Northwest America,3,0,0,1,1,1,53.86,-166.79,11,-1.818219187,1823-1834 CE,NA,NA,-1.342182218,-1.256623426,NA
Amhara,no,Northern Africa,6,3,1,4,5,0,13,38,7,0.536388414,1270-1961 CE,NA,NA,1.119972308,0.796181255,NA
Andamans,no,Southern Asia,3,0,0,1,1,0,12,93,15,-1.818219187,1870-1908 CE,NA,NA,-1.342182218,-1.256623426,NA
Aranda,no,Oceania,3,0,0,2,1,0,-24,134,12,-1.818219187,1896 CE,NA,NA,-1.050045255,-1.256623426,NA
Atayal,no,East Asia,4,1,0,2,4,1,24,121,2,-0.052263486,1875-1970 CE,NA,NA,-0.521464043,-0.572355199,NA
Aymara,no,Western South America,5,3,1,3,3,1,-16,-69,22,-0.640915387,1400-1535 CE,NA,NA,0.567915972,0.111913028,NA
Azande,no,Western Africa,6,2,1,3,3,1,5,27,20,-0.640915387,1863-1930 CE,NA,NA,0.559173506,0.796181255,NA
Bali,no,Southeast Asia,6,3,0,3,6,0,-8.18,115.02,13,1.125040314,1518-1855 CE,NA,NA,0.827835345,0.796181255,NA
Blackfoot,no,Central North America,3.5,0,0,2,1,1,51,-112,1,-1.818219187,1600-1970 CE,NA,NA,-0.920085569,-0.914489313,NA
Bororo,no,Eastern South America,3,1,0,2,1,1,-16,-55,4,-1.818219187,1920 CE,NA,NA,-0.781383416,-1.256623426,NA
Brunei,no,Southeast Asia,6,2,1,4,1,1,4.93,114.95,13,-1.818219187,1500-1800 CE,NA,NA,0.851310469,0.796181255,NA
Calusa,no,Southern North America,4,2,1,4,1,1,26.48,-81.96,16,-1.818219187,1500-1800 CE,NA,NA,0.331471722,-0.572355199,NA
Canela/Timbira,no,Eastern South America,2,0,0,1,3,0,-7,-45,4,-0.640915387,1957-1979 CE,NA,NA,-1.602101591,-1.940891653,NA
CnHQngL,yes,East Asia,5,NA,1,4,6,0,27.54,103.99,2,1.125040314,1701-1895 CE,5.301029996,0.476262826,NA,0.111913028,-0.575616719
CnLngsh,yes,East Asia,4.5,NA,1,4,4.5,1,38,110,2,0.242062464,3000-1900 BCE,4.953136992,0.4876171,NA,-0.230221086,-0.533188968
CnQingE,yes,East Asia,8,NA,1,5,5,0,45,126,2,0.536388414,1644-1796 CE,8.049892871,0.984760459,NA,2.164717709,1.324496908
CnShang,yes,East Asia,6,NA,1,5,6,1,36,114,2,1.125040314,1250-1045 BCE,6.698970004,0.702887738,NA,0.796181255,0.271217279
CnTangE,yes,East Asia,7,NA,1,5,6,1,34.27,108.9,2,1.125040314,617-763 CE,7.681241237,0.906258508,NA,1.480449482,1.031157043
DzTahrt,no,Northwest Africa,6,3,1,4,6,0,35.38,1.32,10,1.125040314,761-909 CE,NA,NA,1.119972308,0.796181255,NA
EcJivaE,yes,Western South America,3.5,NA,0,1,3,1,-3,-78,22,-0.640915387,1534-1830 CE,3.238666286,0.177433897,NA,-0.914489313,-1.692256961
EgNKThu,yes,Northern Africa,6,NA,1,5,6,1,30,31,7,1.125040314,1550-1293 BCE,6.525044807,0.7636135,NA,0.796181255,0.49813249
EgPtol2,yes,Northern Africa,6,NA,1,5,6,0,31.22,29.95,7,1.125040314,217-30 BCE,6.602059991,0.87939706,NA,0.796181255,0.930783314
EIP Acari,no,Western South America        ,3,0,0,3,5,1,-15.43,-74.63,23,0.536388414,50 BC–250 CE,NA,NA,-0.757908293,-1.256623426,NA
EsHabsb,no,Europe,7,5,1,5,5.5,0,40.42,-3.71,5,0.830714364,1516-1700 CE,NA,NA,2.209352323,1.480449482,NA
FmTrukE,no,Oceania,3,0,0,2,4,0,7.34,151.6,12,-0.052263486,1775-1886 CE,1.286263129,0.157600614,NA,-1.256623426,-1.7663684
FrBurbL,yes,Europe,7,NA,1,5,5,0,48.81,2.14,5,0.536388414,1660-1789 CE,7.403120521,0.957293327,NA,1.480449482,1.221859907
FrTeneB,yes,Europe,4,NA,1,4,5,1,47,7,5,0.536388414,325-175 BCE,4.862608751,0.47548651,NA,-0.572355199,-0.578517595
Ganda,no,Eastern Africa,6,3,1,5,5,0,1,32,3,0.536388414,1200-1900,NA,NA,1.412109271,0.796181255,NA
GbEmpr2,no,Europe,8.5,5,1,6,5,1,51,0,5,0.536388414,1780-1840 CE,NA,NA,2.891368345,2.506851823,NA
GhAshnL,yes,Western Africa,6,NA,1,4,3,1,7,-2,20,-0.640915387,1700-1807 CE,6.599659588,0.623383502,NA,0.796181255,-0.025867845
Gheg,no,Europe,3,2,0,3,5,1,42,20,5,0.536388414,1800-1900 CE,NA,NA,-0.220584614,-1.256623426,NA
Hawaii3,yes,Oceania,5,NA,1,4,6,0,19.89,-155.83,12,1.125040314,1580-1778 CE,5.011751688,0.346094981,NA,0.111913028,-1.062017599
IdBrokE,yes,Southeast Asia,5,NA,1,2,3,1,2,112,13,-0.640915387,1650-1841 CE,2.698970004,0.14794662,NA,0.111913028,-1.802442679
IdMajap,yes,Southeast Asia,6,NA,1,3.5,6,1,-7,110,13,1.125040314,1292-1518 CE,6.698970004,0.788712149,NA,0.796181255,0.591919131
Ifagao,no,Oceania,5,0,0,1,5,1,17,121,12,0.536388414,1868-1914 CE,NA,NA,-0.822343471,0.111913028,NA
Igbo,no,Western Africa,5,1,0,3,3,1,6,7,20,-0.640915387,1900-1996 CE,NA,NA,0.030592293,0.111913028,NA
Ila,no,Southern Africa,4,1,0,2,3,1,-16,27,14,-0.640915387,1902-1914 CE,NA,NA,-0.521464043,-0.572355199,NA
InDelh*,yes,Southern Asia,6,NA,1,4,6,1,27.19,78.01,15,1.125040314,1206-1526 CE,6,0.91423367,NA,0.796181255,1.060957996
InGaroE,yes,Southern Asia,3,NA,0,4,3,1,26,91,15,-0.640915387,1775-1867 CE,3.332591293,0.216504642,NA,-1.256623426,-1.5462605
InMugl*,yes,Southern Asia,8,NA,1,5,6,1,28.67,77.21,15,1.125040314,1526-1627 CE,6.952048,0.8713992,NA,2.164717709,0.900897546
IqAkkad,yes,Southwest Asia,6,NA,1,5,6,1,31,46,18,1.125040314,2270-2083 BCE,6.20776289,0.740938642,NA,0.796181255,0.413402879
IqNAssr,yes,Southwest Asia,6,5,1,5,6,1,36.34,43.14,18,1.125040314,911-612 BCE,NA,NA,1.949432949,0.796181255,NA
IrBuyid,yes,Southwest Asia,6,NA,1,4,6,0,29.63,52.57,18,1.125040314,932-1062 CE,6.710545334,0.82841991,NA,0.796181255,0.740295943
IrPart1,yes,Southwest Asia,6,NA,1,4,6,0,33.09,44.58,18,1.125040314,247 BCE - 40 CE,6.805729,0.8278455,NA,0.796181255,0.738149534
IrSasn1,yes,Southwest Asia,6,NA,1,5,6,1,29,52,18,1.125040314,205-487 CE,6.698970004,0.8132243,NA,0.796181255,0.683514193
ItOstrg,yes,Europe,6,NA,1,4,4,0,44.42,12.21,5,-0.052263486,489-554 CE,6.740362689,0.823299026,NA,0.796181255,0.72116063
ItRomMR,yes,Europe,6,NA,1,5,5,1,42,12,5,0.536388414,264-133 BCE,6.56775085,0.761244139,NA,0.796181255,0.48927885
JpAzMom,yes,East Asia,7,NA,1,4,6,1,35.01,135.75,2,1.125040314,1568-1603 CE,7.397940009,0.824980001,NA,1.480449482,0.727441964
JpKamak,yes,East Asia,6,NA,1,5,6,1,35,139,2,1.125040314,1185-1333 CE,6.783348,0.8031852,NA,0.796181255,0.64600088
Kanuri,no,Western Africa,6,3,1,5,5,0,12,13,20,0.536388414,1400-1800 CE,NA,NA,1.412109271,0.796181255,NA
Kapauku/Mee,no,Oceania,4,1,0,2,3,0,-4,136,12,-0.640915387,1935-1955 CE,NA,NA,-0.521464043,-0.572355199,NA
KhAngkC,yes,Southeast Asia,6,NA,1,5,6,0,13.41,103.87,13,1.125040314,1150-1220 CE,6.176091259,0.840908724,NA,0.796181255,0.786963153
Khasi,no,Southern Asia,5,1,1,3,3,1,26,92,15,-0.640915387,1900 CE,NA,NA,0.030592293,0.111913028,NA
Klamath,no,Western North America,3,0,0,2,1,1,42,-122,21,-1.818219187,1860-1900 CE,NA,NA,-1.050045255,-1.256623426,NA
Koryak,no,Northern Asia,3,0,1,2,1,0,61.99,164.24,8,-1.818219187,1897-1902 CE,NA,NA,-1.050045255,-1.256623426,NA
Late Linearbandkeramik,no,Europe,2,0,0,2,4,1,49.51,8.18,5,-0.052263486,5600–4900 BCE,NA,NA,-1.309964629,-1.940891653,NA
