society,Seshat,Region,pop.res1,ext_hier,ter.res,pol.cent,agr.ins,trophies.bin,Lat,Long,reg.lev,agr.st,time_period,PolPop,SPC1
Lozi,no,Southern Africa,4.5,3,1,5,5,0,-15,23,14,0.536388414,1600-1890 CE,NA,NA
Maasai,no,Eastern Africa,4,1,0,2,1,0,-2,36,3,-1.818219187,1895-1907 CE,NA,NA
Mae Enga,no,Oceania,5,0,0,2,3,0,-6,144,12,-0.640915387,1600-2000 CE,NA,NA
Mataco,no,Southern South America,3.5,0,0,2,1,1,-24,-63,17,-1.818219187,1896-1985 CE,NA,NA
Mentaweians,no,Oceania,4,0,0,1,4,1,-2.93,100.23,12,-0.052263486,1900s CE,NA,NA
Mossi,no,Northwest Africa,6,3,1,5,3,0,13,-2,10,-0.640915387,1896-1910 CE,NA,NA
Mundurucu,no,Northern South America,3,0,0,2,3,1,-6,-58,9,-0.640915387,1800-1953 CE,NA,NA
Muscogee,no,Southern North America,3.5,2,0,4,3,1,33,-84,16,-0.640915387,1700-1912 CE,NA,NA
MxAlb1L,yes,Southern North America,4,NA,1,5,5.5,1,17,-96,16,0.830714364,300 BCE-100 BCE,4.698970004,0.362030791
MxAztec,yes,Southern North America,6,4,1,5,6,1,19,-99,16,1.125040314,1427-1526 CE ,NA,NA
MxEpicl,yes,Southern North America,4.5,3,1,4,6,1,19.43,-99.14,16,1.125040314,650-899 CE,NA,NA
Navajo,no,Central North America,4,0,0,2,6,1,37,-110,1,1.125040314,1840-1960 CE,NA,NA
NorKing,yes,Europe,4,NA,1,4,5,0,64.13,-21.89,5,0.536388414,1262-1380 CE,4.712629374,0.528582535
Nuer,no,Eastern Africa,5,0,1,2,3,0,8,32,3,-0.640915387,1890-1980 CE,NA,NA
Ojibway/Northern Saulteaux,no,Northeast America,3.5,0,0,2,1,1,52,-98,6,-1.818219187,1791-1804 CE,NA,NA
Ona,no,Southern South America,2,0,0,2,1,0,-54,-69,17,-1.818219187,1880-1970 CE,NA,NA
Pawnee,no,Central North America,3.5,1,0,3,3,1,42,-100,1,-0.640915387,1500-1900 CE,NA,NA
PeWari*,yes,Western South America        ,5,NA,1,5,6,1,-13,-74,23,1.125040314,650-999 CE,5.494946076,0.486610167
PgOrokE,yes,Oceania,4,NA,0,2,4,1,-9,148,12,-0.052263486,1734-1883 CE ,4.633811958,0.229975098
Qarmatians,no,Southwest Asia,4.5,3,1,3,6,0,25.42,49.62,18,1.125040314,899-1077 CE,NA,NA
Samoans,no,Oceania,4,2,1,3,4,1,-13.68,-172.41,12,-0.052263486,1700-1897,NA,NA
Scythians (Uyuk Culture),no,Northern Asia,5,2,1,4,2,1,51.71,94.38,8,-1.229567287,700-200 BCE,NA,NA
Senussi (Libyan Bedouin),no,Northern Africa,5,2,0,4,5,0,31,22,7,0.536388414,1948-1950 CE,NA,NA
Shluh,no,Northwest Africa,5,1,0,3,5,0,31,-7,10,0.536388414,1848-1928 CE,NA,NA
Somali,no,Eastern Africa,6,2,0,3,5,0,8,48,3,0.536388414,1924-1961 CE,NA,NA
SyCalUm,yes,Southwest Asia,7,NA,1,5,6,1,33.5,36.32,18,1.125040314,661-750 CE,7.391731577,0.841906264
Tiv,no,Western Africa,5,1,0,3,3,1,7,9,20,-0.640915387,1907-1956 CE,NA,NA
Tlingit,no,Northwest America,4,0,0,2,1,1,58.12,-133.92,11,-1.818219187,1700-1972 CE,NA,NA
Toba,no,Southern South America,4,1,0,2,4,1,-25,-60,17,-0.052263486,1880 CE,NA,NA
Tongans,no,Oceania,4,2,1,3,4,0,-19.74,-175.07,12,-0.052263486,1807-1900 CE,NA,NA
Toradja,no,Southeast Asia,4,1,0,2,3,1,-2,121,13,-0.640915387,1892-1932 CE,NA,NA
TrGalat,yes,Europe,4.5,2,1,3,5,1,39.65,31.98,5,0.536388414,275-75 BCE,NA,NA
Trobrianders,no,Oceania,3,1,0,3,4,0,-8.43,151.09,12,-0.052263486,1898-1916 CE,NA,NA
Tuareg,no,Northern Africa,6,2,1,3,6,0,23,6,7,1.125040314,1900-1940 CE,NA,NA
Tukano,no,Eastern South America,3,0,0,2,4,1,0,-70,4,-0.052263486,1500-1900 CE,NA,NA
Tupinamba,no,Eastern South America,4,1,0,2,3,1,-8,-35,4,-0.640915387,1500-1700 CE,NA,NA
Turkana,no,Eastern Africa,4.5,0,0,1,3,0,4,35,3,-0.640915387,1940-1988 CE,NA,NA
UgBito,no,Eastern Africa,6,3,1,5,5,0,2,32,3,0.536388414,1700 -1894 CE,NA,NA
US1,no,Central North America,6.5,2,1,3,5,1,36,-83,1,0.536388414,1776-1861 CE,NA,NA
Yuki,no,Northwest America,3,0,0,2,1,1,40,-123,11,-1.818219187,1800-1937 CE,NA,NA
Zulu,no,Southern Africa,5,3,1,5,3,0,-29,31,14,-0.640915387,1839-1879 CE,NA,NA
EgNKThu,yes,Northern Africa,6,NA,1,5,6,1,30,31,7,1.125040314,1550-1293 BCE,6.525044807,0.7636135
EgPtol2,yes,Northern Africa,6,NA,1,5,6,0,31.22,29.95,7,1.125040314,217-30 BCE,6.602059991,0.87939706
FrTeneB,yes,Europe,4,NA,1,4,5,1,47,7,5,0.536388414,325-175 BCE,4.862608751,0.47548651
InMugl*,yes,Southern Asia,8,NA,1,5,6,1,28.67,77.21,15,1.125040314,1526-1627 CE,6.952048,0.8713992
IrPart1,yes,Southwest Asia,6,NA,1,4,6,0,33.09,44.58,18,1.125040314,247 BCE - 40 CE,6.805729,0.8278455
IrSasn1,yes,Southwest Asia,6,NA,1,5,6,1,29,52,18,1.125040314,205-487 CE,6.698970004,0.8132243
JpKamak,yes,East Asia,6,NA,1,5,6,1,35,139,2,1.125040314,1185-1333 CE,6.783348,0.8031852
MlMali*,yes,Western Africa,6,NA,1,4.5,5,0,11.94,-8.44,20,0.536388414,1230-1410 CE,6.663581221,0.7197023
PeInca*,yes,Western South America        ,7,NA,1,5,5,1,-13,-72,23,0.536388414,1375-1532 CE,7.10152,0.5984684
TnFatim,yes,Northern Africa,6.5,NA,1,5,6,1,30.06,31.25,7,1.125040314,909-1171 CE,6.863135,0.8573108
TrERom*,yes,"Southwest Asia	",7,NA,1,5,5,0,41.1,29,19,0.536388414,395-631 CE,7.172838,0.911927
UsIroqE,yes,Northeast America,3.5,NA,1,3,3,1,44,-78,6,-0.640915387,1600- 1713 CE,4.365764,0.3029415
USMisME,yes,Central North America,2,NA,1,3,5,1,33,-90,1,0.536388414,900-1050 CE,2.633363734,0.1898
USOneot,yes,Central North America,3,NA,0,2,3,1,41,-90,1,-0.640915387,1400-1650 CE,3.234302,0.2122612
