Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
663	0.334842	98	0.081633	111	0.819820	128	0.515625	1.882945	663	0.334842	0.387000	0.372274	
676	0.332840	105	0.038095	105	0.819048	114	0.456140	1.882945	676	0.332840	0.367000	0.372222	
619	0.297254	126	0.206349	119	0.773109	136	0.360294	1.882945	619	0.297254	0.351000	0.372016	
616	0.308442	120	0.133333	137	0.839416	127	0.574803	1.882945	616	0.308442	0.394000	0.372227	
622	0.319936	113	0.088496	131	0.839695	134	0.522388	1.882945	622	0.319936	0.389000	0.372387	
611	0.346972	125	0.024000	141	0.836879	123	0.528455	1.882945	611	0.346972	0.398000	0.372629	
621	0.328502	129	0.069767	129	0.806202	121	0.495868	1.882945	621	0.328502	0.377000	0.372669	
637	0.339089	108	0.129630	124	0.846774	131	0.358779	1.882945	637	0.339089	0.382000	0.372756	
625	0.275200	123	0.154472	137	0.824818	115	0.339130	1.882945	625	0.275200	0.343000	0.372483	
655	0.328244	131	0.137405	108	0.824074	106	0.556604	1.882945	655	0.328244	0.381000	0.372560	
636	0.300314	106	0.056604	132	0.833333	126	0.396825	1.882945	636	0.300314	0.357000	0.372420	
620	0.330645	102	0.058824	147	0.850340	131	0.610687	1.882945	620	0.330645	0.416000	0.372809	
627	0.317384	107	0.102804	131	0.839695	135	0.474074	1.882945	627	0.317384	0.384000	0.372908	
620	0.301613	112	0.160714	140	0.864286	128	0.562500	1.882945	620	0.301613	0.398000	0.373128	
631	0.334390	110	0.045455	125	0.752000	134	0.335821	1.882945	631	0.334390	0.355000	0.372971	
603	0.336650	131	0.038168	117	0.769231	149	0.463087	1.882945	603	0.336650	0.367000	0.372919	
609	0.316913	125	0.064000	126	0.817460	140	0.457143	1.882945	609	0.316913	0.368000	0.372877	
617	0.316045	108	0.074074	144	0.812500	131	0.549618	1.882945	617	0.316045	0.392000	0.373039	
643	0.315708	108	0.138889	125	0.752000	124	0.459677	1.882945	643	0.315708	0.369000	0.373005	
652	0.299080	114	0.122807	113	0.831858	121	0.429752	1.882945	652	0.299080	0.355000	0.372855	
