Options:
Model:                           MultiState
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh.txt
Log File Name:                   hh.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3477853148
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   hh.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - Hyper Prior exp (0.00,0.05) 
        q10 - Hyper Prior exp (0.00,0.05) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	q01 - Mean	q10 - Mean	
297000	-65.983299	517	0.151686	0.051936	0.313201	0.686799	0.035798	0.038916	
298000	-66.491332	243	0.128429	0.030543	0.287376	0.712624	0.025416	0.039649	
299000	-66.548507	619	0.161455	0.023735	0.531434	0.468566	0.039089	0.006648	
300000	-68.228021	972	0.045765	0.134622	0.001091	0.998909	0.044550	0.022266	
301000	-66.757220	734	0.124097	0.050668	0.167484	0.832516	0.039849	0.027678	
302000	-66.197423	39	0.161668	0.026331	0.483505	0.516495	0.024957	0.035853	
303000	-67.024774	810	0.073736	0.082075	0.018921	0.981079	0.020246	0.032465	
304000	-66.461500	428	0.145186	0.037309	0.256213	0.743787	0.027695	0.021489	
305000	-66.631973	568	0.116082	0.092932	0.051444	0.948556	0.046224	0.039027	
306000	-66.667151	477	0.153475	0.089619	0.298550	0.701450	0.049040	0.040615	
307000	-66.871990	113	0.143642	0.037125	0.302786	0.697214	0.023309	0.012771	
308000	-67.935864	969	0.124281	0.034057	0.197613	0.802387	0.032369	0.032174	
309000	-66.878756	452	0.083495	0.138739	0.014543	0.985457	0.022632	0.044407	
310000	-65.871147	672	0.073213	0.130285	0.000426	0.999574	0.035301	0.032596	
311000	-66.583517	390	0.066806	0.132679	0.010844	0.989156	0.036172	0.039223	
312000	-65.578287	360	0.080337	0.127066	0.010236	0.989764	0.042097	0.046460	
313000	-68.486436	758	0.092872	0.005233	0.877597	0.122403	0.046578	0.019248	
314000	-67.179924	894	0.059072	0.123421	0.002953	0.997047	0.023439	0.027775	
315000	-68.463482	531	0.094627	0.051366	0.074237	0.925763	0.039829	0.034233	
316000	-66.225689	572	0.157835	0.030274	0.422675	0.577325	0.048240	0.022147	
317000	-67.896643	20	0.138094	0.022582	0.338956	0.661044	0.031972	0.047354	
318000	-65.979323	403	0.131528	0.019782	0.528667	0.471333	0.043903	0.013819	
319000	-65.894584	543	0.062485	0.135271	0.008332	0.991668	0.026924	0.048684	
320000	-66.097239	293	0.101946	0.174053	0.003573	0.996427	0.045037	0.046769	
321000	-66.809737	561	0.136808	0.045475	0.251576	0.748424	0.049154	0.047354	
322000	-69.759384	312	0.067963	0.049042	0.014861	0.985139	0.035348	0.035624	
323000	-67.179386	185	0.156311	0.062895	0.299559	0.700441	0.046029	0.046889	
324000	-65.904207	544	0.136574	0.033697	0.441555	0.558445	0.041430	0.020059	
325000	-66.294160	251	0.149414	0.004504	0.937380	0.062620	0.038300	0.014230	
326000	-66.294997	564	0.148181	0.030725	0.350599	0.649401	0.046272	0.022693	
327000	-67.228792	392	0.153613	0.113896	0.202878	0.797122	0.046133	0.044278	
328000	-67.292527	294	0.135159	0.047417	0.217989	0.782011	0.046303	0.037363	
329000	-67.314345	261	0.132092	0.028540	0.275989	0.724011	0.048898	0.023734	
330000	-66.770776	77	0.054610	0.130951	0.010425	0.989575	0.027359	0.019781	
331000	-67.094146	655	0.181394	0.047247	0.557392	0.442608	0.047634	0.047165	
332000	-67.150651	823	0.062071	0.091047	0.002361	0.997639	0.026681	0.047941	
333000	-66.538195	936	0.145668	0.040826	0.317703	0.682297	0.049645	0.019413	
334000	-66.971793	106	0.119334	0.022255	0.265676	0.734324	0.038841	0.022776	
335000	-66.577453	268	0.075440	0.090708	0.009617	0.990383	0.047119	0.043263	
336000	-66.342377	856	0.116996	0.129747	0.043541	0.956459	0.043666	0.045978	
337000	-66.879587	964	0.173070	0.055089	0.434279	0.565721	0.049219	0.046270	
338000	-66.025602	587	0.180987	0.021264	0.644472	0.355528	0.028496	0.017040	
339000	-69.044740	56	0.034921	0.112138	0.000351	0.999649	0.017031	0.048975	
340000	-66.974767	981	0.075024	0.094892	0.000749	0.999251	0.036325	0.026379	
341000	-66.698191	824	0.132021	0.016640	0.665181	0.334819	0.043942	0.032361	
342000	-66.899556	392	0.100390	0.181299	0.013134	0.986866	0.040086	0.029403	
343000	-67.376298	713	0.157741	0.025685	0.437891	0.562109	0.041540	0.020770	
344000	-65.472304	333	0.131808	0.026839	0.624314	0.375686	0.043277	0.023625	
345000	-66.040302	970	0.093974	0.126523	0.016466	0.983534	0.042004	0.044179	
346000	-69.122001	898	0.054118	0.120786	0.000315	0.999685	0.043108	0.036561	
347000	-66.614625	254	0.116967	0.002765	0.950878	0.049122	0.047178	0.015067	
348000	-72.567858	492	0.065298	0.037555	0.007293	0.992707	0.035383	0.046983	
349000	-67.082880	355	0.121850	0.104505	0.065914	0.934086	0.032283	0.042026	
350000	-64.884158	256	0.150510	0.043557	0.700983	0.299017	0.046895	0.036950	
351000	-67.335792	404	0.067630	0.084018	0.001229	0.998771	0.029184	0.044011	
352000	-66.309907	418	0.130296	0.026102	0.706987	0.293013	0.031843	0.038671	
353000	-67.540585	456	0.206163	0.009460	0.884251	0.115749	0.049945	0.015105	
354000	-69.560048	814	0.029860	0.113038	0.002518	0.997482	0.046166	0.030823	
355000	-66.953843	521	0.165189	0.073537	0.325675	0.674325	0.044518	0.045316	
356000	-66.621089	589	0.165070	0.070764	0.362227	0.637773	0.040574	0.040536	
357000	-67.013703	774	0.113499	0.055844	0.117577	0.882423	0.035273	0.039095	
358000	-66.696591	553	0.139112	0.038089	0.255592	0.744408	0.045237	0.043913	
359000	-69.771107	3	0.107662	0.012952	0.210852	0.789148	0.036641	0.023231	
360000	-67.322100	21	0.165609	0.008780	0.758513	0.241487	0.037284	0.045757	
361000	-67.433552	271	0.140325	0.012424	0.491827	0.508173	0.036815	0.047506	
362000	-66.656345	725	0.061370	0.108448	0.001555	0.998445	0.044047	0.029240	
363000	-67.447694	950	0.125871	0.022855	0.320070	0.679930	0.030113	0.017310	
364000	-68.079797	633	0.148410	0.003922	0.782588	0.217412	0.021012	0.012441	
365000	-67.837028	724	0.129159	0.008691	0.471114	0.528886	0.025211	0.032494	
366000	-67.861678	390	0.151939	0.008298	0.720091	0.279909	0.048961	0.012430	
367000	-67.282760	98	0.130234	0.026087	0.275487	0.724513	0.045850	0.019433	
368000	-67.210489	572	0.182492	0.005788	0.844735	0.155265	0.038210	0.016689	
369000	-66.315688	180	0.149667	0.025284	0.397495	0.602505	0.033232	0.046977	
370000	-66.065393	333	0.116256	0.054907	0.415987	0.584013	0.042774	0.046633	
371000	-66.988638	45	0.122548	0.073334	0.114605	0.885395	0.042103	0.022209	
372000	-68.874247	716	0.093626	0.017060	0.134985	0.865015	0.024085	0.017621	
373000	-66.216607	717	0.102356	0.123069	0.011674	0.988326	0.025416	0.047371	
374000	-67.457424	336	0.079696	0.094012	0.020329	0.979671	0.010944	0.046570	
375000	-69.123344	575	0.085324	0.054386	0.027457	0.972543	0.046364	0.036552	
376000	-66.365553	376	0.154239	0.061841	0.286095	0.713905	0.043595	0.037955	
377000	-65.726769	292	0.072473	0.120315	0.032941	0.967059	0.049987	0.039847	
378000	-67.427810	439	0.048590	0.126754	0.005136	0.994864	0.015634	0.031428	
379000	-65.649456	670	0.134437	0.039501	0.479710	0.520290	0.048876	0.024457	
380000	-65.305499	8	0.153664	0.025525	0.424108	0.575892	0.039904	0.046769	
381000	-65.734924	388	0.150517	0.080823	0.260195	0.739805	0.039261	0.044917	
382000	-69.486342	571	0.090167	0.064889	0.029289	0.970711	0.025013	0.027621	
383000	-66.950423	102	0.125302	0.054742	0.193628	0.806372	0.048643	0.041267	
384000	-66.670005	316	0.165794	0.031861	0.473750	0.526250	0.029854	0.032576	
385000	-65.557568	68	0.115750	0.159755	0.024303	0.975697	0.039104	0.049514	
386000	-67.631265	175	0.138248	0.000216	0.991710	0.008290	0.020867	0.005960	
387000	-69.951860	759	0.041337	0.085847	0.005251	0.994749	0.020469	0.030622	
388000	-66.688678	546	0.138348	0.033034	0.286947	0.713053	0.046447	0.032767	
389000	-66.111525	324	0.090137	0.160331	0.013885	0.986115	0.023753	0.049248	
390000	-67.272226	619	0.138758	0.011009	0.555967	0.444033	0.034948	0.009570	
391000	-67.454942	434	0.163020	0.039263	0.397465	0.602535	0.042601	0.035569	
392000	-69.526867	483	0.081053	0.055540	0.028540	0.971460	0.036814	0.040177	
393000	-67.940568	151	0.182425	0.006261	0.828149	0.171851	0.045837	0.017193	
394000	-67.987209	53	0.123717	0.040593	0.217214	0.782786	0.043120	0.031834	
395000	-66.987051	919	0.143901	0.033389	0.343952	0.656048	0.039006	0.018948	
396000	-66.690095	327	0.120460	0.049505	0.156176	0.843824	0.039478	0.039617	
397000	-66.095677	823	0.123283	0.007548	0.818382	0.181618	0.046923	0.005739	
398000	-69.864201	565	0.090116	0.004597	0.753762	0.246238	0.035835	0.008243	
399000	-66.450206	110	0.170813	0.075542	0.377195	0.622805	0.032797	0.031085	
400000	-66.926331	614	0.174527	0.038232	0.511444	0.488556	0.023847	0.041217	
401000	-66.547124	949	0.074173	0.160635	0.010015	0.989985	0.036140	0.047476	
402000	-67.082008	828	0.158193	0.070113	0.499287	0.500713	0.043973	0.026328	
403000	-66.817387	247	0.149839	0.023063	0.424104	0.575896	0.049154	0.041997	
404000	-67.608729	779	0.107616	0.053751	0.207890	0.792110	0.041453	0.043519	
405000	-67.261388	951	0.141587	0.050943	0.251036	0.748964	0.023007	0.043687	
406000	-67.717695	99	0.051092	0.158901	0.002501	0.997499	0.035212	0.029948	
407000	-69.486804	661	0.044374	0.063627	0.004855	0.995145	0.028894	0.030655	
408000	-70.369395	696	0.075661	0.026508	0.056390	0.943610	0.032354	0.014753	
409000	-66.577087	349	0.066201	0.148684	0.007837	0.992163	0.039589	0.036732	
410000	-66.741736	785	0.155052	0.077578	0.271270	0.728730	0.025081	0.023872	
411000	-69.617080	244	0.219964	0.017548	0.809387	0.190613	0.045415	0.020017	
412000	-68.884251	828	0.118349	0.002782	0.935763	0.064237	0.030070	0.017082	
413000	-67.125227	919	0.061148	0.157272	0.008622	0.991378	0.032261	0.040920	
414000	-67.872986	376	0.110199	0.032039	0.123902	0.876098	0.036352	0.041398	
415000	-67.019546	599	0.073380	0.127593	0.003632	0.996368	0.045796	0.046251	
416000	-72.866844	45	0.035927	0.049266	0.000649	0.999351	0.010034	0.044271	
417000	-66.167463	460	0.084494	0.120122	0.001467	0.998533	0.025623	0.028618	
418000	-67.411131	539	0.131799	0.012106	0.385848	0.614152	0.025813	0.018099	
419000	-65.906093	346	0.159386	0.059484	0.431052	0.568948	0.048814	0.039055	
420000	-66.160549	338	0.072920	0.159667	0.011304	0.988696	0.047655	0.034577	
421000	-66.512391	201	0.103557	0.184642	0.005677	0.994323	0.041308	0.041235	
422000	-67.328825	853	0.073032	0.137703	0.006032	0.993968	0.026602	0.027298	
423000	-67.038469	914	0.153785	0.014908	0.558957	0.441043	0.049104	0.013537	
424000	-65.750752	670	0.132079	0.030927	0.524313	0.475687	0.041276	0.013244	
425000	-66.891382	824	0.144700	0.004820	0.888001	0.111999	0.040306	0.013152	
426000	-66.423506	606	0.154149	0.093189	0.232388	0.767612	0.048107	0.047886	
427000	-66.938148	208	0.043925	0.119043	0.000243	0.999757	0.044785	0.046898	
428000	-67.782369	594	0.108872	0.016544	0.237056	0.762944	0.030385	0.023708	
429000	-68.241793	901	0.120858	0.010309	0.368439	0.631561	0.029188	0.023206	
430000	-65.927723	263	0.128477	0.059114	0.251811	0.748189	0.045663	0.024152	
431000	-73.813804	57	0.020959	0.070043	0.000052	0.999948	0.020340	0.048053	
432000	-66.038235	171	0.126624	0.027537	0.732289	0.267711	0.046934	0.045677	
433000	-67.882396	804	0.044030	0.160338	0.005830	0.994170	0.023578	0.034860	
434000	-65.630807	96	0.185031	0.036126	0.543714	0.456286	0.041956	0.019204	
435000	-65.926789	987	0.163583	0.009810	0.770852	0.229148	0.043009	0.006834	
436000	-66.562843	424	0.190719	0.052823	0.501799	0.498201	0.046783	0.043152	
437000	-66.559333	594	0.061719	0.130654	0.000600	0.999400	0.040553	0.042331	
438000	-68.843067	101	0.093642	0.050106	0.064513	0.935487	0.031009	0.030896	
439000	-67.837094	618	0.096187	0.039122	0.102898	0.897102	0.039300	0.021367	
440000	-68.385547	843	0.079797	0.082680	0.002385	0.997615	0.044214	0.038108	
441000	-66.436149	980	0.136850	0.050486	0.279863	0.720137	0.049504	0.028796	
442000	-67.446681	797	0.150966	0.033465	0.366046	0.633954	0.046844	0.028407	
443000	-65.472923	520	0.085800	0.131616	0.010271	0.989729	0.047656	0.029187	
444000	-67.036647	521	0.071957	0.125098	0.006478	0.993522	0.046258	0.041335	
445000	-66.615221	868	0.137885	0.056476	0.235903	0.764097	0.039051	0.038439	
446000	-66.051408	850	0.123163	0.190496	0.027794	0.972206	0.034558	0.048334	
447000	-68.980784	144	0.112688	0.011486	0.319472	0.680528	0.040639	0.025651	
448000	-66.717365	459	0.183064	0.060274	0.475653	0.524347	0.042714	0.037163	
449000	-67.626722	878	0.063578	0.200231	0.021018	0.978982	0.016483	0.049722	
450000	-66.211556	171	0.176823	0.021116	0.838087	0.161913	0.043923	0.040552	
451000	-66.288539	561	0.064883	0.134813	0.009213	0.990787	0.045100	0.048392	
452000	-66.402260	46	0.127237	0.036296	0.224880	0.775120	0.046938	0.047120	
453000	-67.024709	278	0.131502	0.107648	0.085525	0.914475	0.029318	0.046605	
454000	-67.016391	905	0.161093	0.050772	0.443724	0.556276	0.041427	0.045198	
455000	-66.906454	568	0.179932	0.014240	0.676868	0.323132	0.045189	0.039353	
456000	-66.866759	445	0.167402	0.088559	0.338764	0.661236	0.036585	0.037096	
457000	-67.609217	53	0.152392	0.021918	0.488969	0.511031	0.042390	0.019840	
458000	-69.352661	794	0.031500	0.121924	0.003600	0.996400	0.044333	0.037089	
459000	-66.363668	171	0.058021	0.121839	0.005842	0.994158	0.047952	0.044783	
460000	-65.681943	660	0.139550	0.040629	0.697495	0.302505	0.035920	0.021153	
461000	-67.246342	718	0.148576	0.017915	0.464655	0.535345	0.029206	0.009898	
462000	-66.932889	606	0.120329	0.051777	0.141658	0.858342	0.040570	0.027158	
463000	-66.123708	741	0.145715	0.038463	0.554886	0.445114	0.038452	0.041193	
464000	-66.886264	745	0.151226	0.062560	0.270324	0.729676	0.025962	0.045922	
465000	-66.841203	69	0.140874	0.011484	0.559960	0.440040	0.041157	0.018759	
466000	-67.920701	764	0.050556	0.108612	0.010981	0.989019	0.031538	0.040125	
467000	-66.927082	986	0.144901	0.043094	0.341495	0.658505	0.038728	0.046195	
468000	-66.874541	117	0.146045	0.005331	0.857849	0.142151	0.048176	0.045531	
469000	-68.250740	470	0.092805	0.018256	0.101659	0.898341	0.047829	0.015688	
470000	-67.554178	8	0.089975	0.022972	0.069937	0.930063	0.044834	0.021041	
471000	-67.184139	840	0.155299	0.076926	0.295784	0.704216	0.035112	0.033662	
472000	-66.526422	750	0.079798	0.141911	0.008151	0.991849	0.046714	0.044111	
473000	-66.961462	660	0.088746	0.094466	0.055370	0.944630	0.047604	0.028758	
474000	-66.247712	309	0.161286	0.013626	0.591023	0.408977	0.046733	0.011395	
475000	-71.264718	302	0.029784	0.080686	0.000012	0.999988	0.041504	0.039968	
476000	-71.929813	233	0.096147	0.000811	0.759781	0.240219	0.042378	0.015388	
477000	-68.907933	823	0.090883	0.002359	0.890082	0.109918	0.033243	0.014517	
478000	-66.663205	644	0.147057	0.092257	0.228549	0.771451	0.048620	0.030517	
479000	-68.671514	355	0.103867	0.019081	0.163173	0.836827	0.047694	0.031554	
480000	-66.392601	110	0.069202	0.116037	0.013819	0.986181	0.047190	0.046943	
481000	-66.740644	981	0.097831	0.099968	0.007053	0.992947	0.044217	0.045714	
482000	-69.067076	233	0.046311	0.095407	0.001750	0.998250	0.023914	0.038640	
483000	-67.817528	852	0.162582	0.017331	0.538896	0.461104	0.035724	0.020702	
484000	-67.867153	54	0.145239	0.002037	0.851228	0.148772	0.045766	0.012787	
485000	-66.337430	980	0.074177	0.125066	0.001624	0.998376	0.024814	0.046195	
486000	-68.796426	46	0.065455	0.061341	0.007140	0.992860	0.049561	0.043788	
487000	-66.849807	348	0.070165	0.128026	0.001116	0.998884	0.043118	0.049391	
488000	-67.074044	803	0.078049	0.099877	0.014690	0.985310	0.049313	0.045558	
489000	-65.834102	309	0.143806	0.084601	0.217146	0.782854	0.049011	0.045544	
490000	-65.829482	758	0.145921	0.112623	0.269857	0.730143	0.046071	0.038606	
491000	-68.641279	108	0.076894	0.245970	0.007449	0.992551	0.042793	0.040430	
492000	-65.110129	123	0.156981	0.029202	0.657782	0.342218	0.031164	0.027528	
493000	-67.665557	719	0.157283	0.015597	0.560601	0.439399	0.045055	0.018611	
494000	-65.634923	834	0.141128	0.162672	0.064584	0.935416	0.039255	0.035201	
495000	-66.561647	895	0.164191	0.016081	0.608647	0.391353	0.020070	0.038437	
496000	-66.982163	878	0.052551	0.149431	0.013398	0.986602	0.049021	0.047427	
497000	-68.616085	442	0.069078	0.083546	0.017408	0.982592	0.037291	0.039789	
498000	-70.722479	376	0.036623	0.067672	0.002873	0.997127	0.019879	0.044723	
499000	-68.953797	679	0.141874	0.004095	0.760042	0.239958	0.049640	0.012126	
500000	-67.029412	69	0.211897	0.063419	0.565424	0.434576	0.048379	0.019817	
501000	-68.625027	653	0.045898	0.087987	0.001420	0.998580	0.036635	0.036180	
502000	-67.846658	971	0.070022	0.108787	0.003644	0.996356	0.031182	0.042087	
503000	-65.376163	306	0.165624	0.024749	0.531561	0.468439	0.043127	0.032223	
504000	-67.070746	112	0.155714	0.005917	0.767504	0.232496	0.041900	0.016907	
505000	-66.186769	84	0.140238	0.041270	0.253003	0.746997	0.037527	0.025173	
506000	-67.979392	439	0.108069	0.025980	0.191752	0.808248	0.031528	0.026099	
507000	-69.510481	98	0.072938	0.064961	0.002625	0.997375	0.047029	0.044502	
508000	-66.284038	586	0.070324	0.158695	0.001091	0.998909	0.033513	0.046338	
509000	-69.049007	987	0.028490	0.110575	0.000553	0.999447	0.019210	0.042715	
510000	-73.258544	261	0.056808	0.039994	0.006214	0.993786	0.038436	0.023424	
511000	-66.731370	601	0.150507	0.082304	0.267944	0.732056	0.044735	0.039595	
512000	-68.924650	572	0.098514	0.014142	0.143887	0.856113	0.048416	0.013472	
513000	-66.409288	461	0.086984	0.130869	0.002294	0.997706	0.033789	0.046520	
514000	-66.527306	539	0.133271	0.058024	0.185989	0.814011	0.025002	0.033074	
515000	-70.683108	860	0.080529	0.027057	0.068556	0.931444	0.049130	0.043204	
516000	-66.103902	577	0.056154	0.128856	0.000536	0.999464	0.047231	0.037615	
517000	-66.349738	838	0.158271	0.019201	0.565515	0.434485	0.041549	0.018151	
518000	-69.668631	753	0.092243	0.017917	0.118183	0.881817	0.029506	0.013283	
519000	-67.379114	92	0.174602	0.000845	0.983084	0.016916	0.049573	0.036134	
520000	-68.353436	474	0.044504	0.100385	0.001177	0.998823	0.048787	0.041857	
521000	-67.592115	884	0.166300	0.011562	0.675286	0.324714	0.025058	0.042606	
522000	-67.178325	37	0.075927	0.083516	0.002084	0.997916	0.023066	0.043942	
523000	-68.188536	455	0.142520	0.018793	0.396750	0.603250	0.049117	0.017683	
524000	-66.476705	714	0.138474	0.131180	0.068122	0.931878	0.042264	0.044169	
525000	-66.337254	90	0.124913	0.048875	0.346822	0.653178	0.034492	0.042739	
526000	-66.381145	248	0.149826	0.024362	0.422951	0.577049	0.041922	0.028402	
527000	-68.663712	230	0.127239	0.001652	0.861083	0.138917	0.048455	0.013009	
528000	-67.260952	255	0.155706	0.006577	0.749321	0.250679	0.045954	0.030149	
529000	-66.090082	27	0.150148	0.012122	0.576820	0.423180	0.048264	0.036290	
530000	-67.760937	432	0.130629	0.003839	0.644803	0.355197	0.037708	0.009224	
531000	-69.109079	235	0.098569	0.033349	0.094031	0.905969	0.024186	0.029713	
532000	-68.210676	385	0.075829	0.099093	0.007454	0.992546	0.046809	0.043671	
533000	-67.427639	797	0.150217	0.131120	0.127274	0.872726	0.034374	0.041654	
534000	-67.650403	650	0.192376	0.020595	0.651096	0.348904	0.039612	0.033009	
535000	-67.653742	122	0.105765	0.023993	0.222601	0.777399	0.041813	0.010290	
536000	-66.695607	232	0.160941	0.025704	0.489700	0.510300	0.046530	0.046644	
537000	-66.111191	170	0.095163	0.163165	0.019759	0.980241	0.048732	0.036303	
538000	-67.246697	828	0.180293	0.077928	0.539223	0.460777	0.045952	0.032025	
539000	-67.820287	830	0.100527	0.091260	0.033792	0.966208	0.047276	0.048920	
540000	-66.182800	678	0.142923	0.034906	0.319402	0.680598	0.048078	0.045475	
541000	-67.007123	915	0.128459	0.138499	0.103765	0.896235	0.047945	0.044014	
542000	-67.643143	630	0.101572	0.067301	0.053221	0.946779	0.047643	0.043138	
543000	-68.494055	173	0.128106	0.023299	0.259439	0.740561	0.049718	0.008097	
544000	-66.191576	907	0.101927	0.114611	0.005638	0.994362	0.032126	0.040719	
545000	-65.875179	186	0.064997	0.121716	0.000424	0.999576	0.047635	0.046156	
546000	-66.476162	88	0.087011	0.108994	0.006159	0.993841	0.045704	0.043452	
547000	-66.299477	77	0.081454	0.114675	0.020607	0.979393	0.030392	0.042829	
548000	-65.899912	758	0.083024	0.104902	0.008769	0.991231	0.017392	0.026300	
549000	-67.432735	819	0.133740	0.083724	0.149111	0.850889	0.044238	0.036286	
550000	-67.841915	83	0.043225	0.108828	0.003193	0.996807	0.020979	0.038775	
551000	-66.641684	881	0.063457	0.090427	0.000809	0.999191	0.042738	0.032936	
552000	-67.797467	479	0.120765	0.016934	0.244919	0.755081	0.044257	0.025699	
553000	-66.479617	587	0.141143	0.007760	0.639458	0.360542	0.048039	0.014404	
554000	-66.804914	270	0.127689	0.038584	0.215091	0.784909	0.044122	0.043411	
555000	-69.571683	627	0.118507	0.003482	0.627136	0.372864	0.037597	0.014452	
556000	-68.009092	484	0.117636	0.011313	0.346545	0.653455	0.031599	0.035605	
557000	-67.294946	992	0.051405	0.127986	0.006801	0.993199	0.040381	0.040311	
558000	-66.162678	413	0.127817	0.007412	0.807515	0.192485	0.041633	0.030836	
559000	-66.629723	663	0.078450	0.116884	0.008328	0.991672	0.048331	0.047082	
560000	-67.348302	852	0.049131	0.147926	0.000530	0.999470	0.015745	0.041503	
561000	-67.640611	283	0.167113	0.000586	0.979983	0.020017	0.033283	0.009669	
562000	-67.127074	10	0.151738	0.011535	0.581285	0.418715	0.044339	0.015550	
563000	-66.550745	215	0.133244	0.101351	0.114880	0.885120	0.048200	0.041850	
564000	-67.163087	296	0.176970	0.002758	0.929920	0.070080	0.028912	0.010580	
565000	-65.114896	5	0.095859	0.153999	0.014856	0.985144	0.045186	0.049735	
566000	-67.395744	462	0.107037	0.016853	0.515936	0.484064	0.022023	0.032451	
567000	-67.330103	180	0.060665	0.193134	0.003811	0.996189	0.027111	0.048609	
568000	-66.913993	549	0.180577	0.032697	0.537659	0.462341	0.049766	0.026722	
569000	-67.178273	42	0.175291	0.015500	0.677655	0.322345	0.048892	0.007379	
570000	-65.243600	470	0.120559	0.157642	0.008630	0.991370	0.048424	0.043880	
571000	-67.018481	270	0.121815	0.042231	0.175362	0.824638	0.047787	0.029590	
572000	-66.065673	566	0.151540	0.024509	0.467326	0.532674	0.030961	0.048822	
573000	-65.930204	339	0.139494	0.037087	0.679905	0.320095	0.039061	0.023934	
574000	-66.229792	520	0.056618	0.127746	0.004464	0.995536	0.024873	0.033152	
575000	-66.485772	835	0.064838	0.108274	0.008906	0.991094	0.038772	0.033038	
576000	-65.428010	758	0.140898	0.059941	0.522824	0.477176	0.047708	0.029090	
577000	-66.440955	176	0.125869	0.030668	0.219318	0.780682	0.027795	0.041685	
578000	-66.517262	289	0.110837	0.188146	0.043326	0.956674	0.036872	0.040110	
579000	-67.411037	727	0.052537	0.094312	0.001598	0.998402	0.028905	0.028533	
580000	-69.733850	554	0.079113	0.053471	0.013901	0.986099	0.029546	0.041290	
581000	-66.770152	46	0.158920	0.010553	0.655577	0.344423	0.046143	0.030955	
582000	-67.465008	218	0.124350	0.007333	0.509413	0.490587	0.047971	0.018986	
583000	-66.588144	657	0.144375	0.021663	0.420547	0.579453	0.040668	0.022454	
584000	-67.765150	517	0.210216	0.022076	0.721302	0.278698	0.041709	0.017886	
585000	-66.635534	566	0.120818	0.027415	0.250967	0.749033	0.032167	0.046871	
586000	-72.294199	273	0.072587	0.032952	0.017448	0.982552	0.044878	0.034060	
587000	-66.771362	34	0.168944	0.067400	0.386362	0.613638	0.042322	0.047664	
588000	-67.277520	41	0.067112	0.102464	0.002779	0.997221	0.042508	0.045361	
589000	-67.724594	656	0.090008	0.106311	0.002243	0.997757	0.046290	0.046942	
590000	-65.630309	449	0.156695	0.061244	0.633791	0.366209	0.046303	0.035989	
591000	-68.713970	691	0.107801	0.045495	0.082134	0.917866	0.040097	0.028621	
592000	-67.201785	720	0.122629	0.075811	0.110903	0.889097	0.045923	0.026641	
593000	-68.637329	703	0.154854	0.000594	0.957509	0.042491	0.047277	0.030773	
594000	-66.125995	327	0.140313	0.062739	0.233908	0.766092	0.044385	0.026873	
595000	-65.327356	732	0.153581	0.024688	0.637483	0.362517	0.045263	0.042966	
596000	-66.721445	687	0.052150	0.121541	0.000348	0.999652	0.049338	0.042056	
597000	-67.223704	871	0.118992	0.021167	0.224243	0.775757	0.045645	0.012129	
598000	-67.931522	665	0.090684	0.072198	0.007701	0.992299	0.026979	0.035431	
599000	-70.148648	623	0.104196	0.016066	0.194559	0.805441	0.044872	0.011337	
600000	-66.602908	75	0.081814	0.133018	0.008422	0.991578	0.034552	0.037499	
601000	-68.465194	139	0.185633	0.003881	0.890937	0.109063	0.033636	0.040220	
602000	-67.579143	951	0.061769	0.109319	0.000322	0.999678	0.024529	0.033059	
603000	-70.800838	579	0.071154	0.056335	0.003946	0.996054	0.041397	0.040111	
604000	-66.475085	963	0.140498	0.176252	0.042636	0.957364	0.042372	0.044632	
605000	-66.648113	669	0.185087	0.066170	0.458559	0.541441	0.044149	0.040812	
606000	-66.019068	512	0.075516	0.117413	0.004035	0.995965	0.029435	0.044919	
607000	-73.519876	577	0.037037	0.044397	0.000425	0.999575	0.025747	0.023951	
608000	-66.568075	858	0.151835	0.011757	0.662240	0.337760	0.037322	0.032619	
609000	-66.668380	792	0.082108	0.104603	0.004602	0.995398	0.028679	0.046351	
610000	-65.856698	403	0.148034	0.015541	0.655817	0.344183	0.042417	0.039284	
611000	-67.337279	945	0.142088	0.004761	0.874108	0.125892	0.038278	0.013157	
612000	-66.412880	114	0.174209	0.062201	0.446761	0.553239	0.049187	0.036409	
613000	-68.514851	730	0.086130	0.034950	0.623353	0.376647	0.036439	0.037357	
614000	-67.662027	928	0.066106	0.148678	0.002665	0.997335	0.025529	0.028871	
615000	-67.319473	289	0.139568	0.002163	0.806876	0.193124	0.031740	0.004198	
616000	-65.815450	90	0.170204	0.045329	0.541250	0.458750	0.046197	0.013473	
617000	-68.156117	285	0.098658	0.066252	0.057483	0.942517	0.039555	0.038045	
