Options:
Model:                           MultiState
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh.txt
Log File Name:                   hh.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3477853148
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   hh.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - Hyper Prior exp (0.00,0.05) 
        q10 - Hyper Prior exp (0.00,0.05) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	q01 - Mean	q10 - Mean	
75000	-68.056096	808	0.057059	0.080382	0.012495	0.987505	0.038779	0.043407	
76000	-66.639777	960	0.176786	0.011718	0.780854	0.219146	0.045469	0.022724	
77000	-66.751853	148	0.108022	0.154531	0.010440	0.989560	0.041464	0.049613	
78000	-66.446602	583	0.091060	0.136453	0.006229	0.993771	0.041946	0.043334	
79000	-67.281138	170	0.095388	0.221115	0.022800	0.977200	0.040877	0.046671	
80000	-67.391675	802	0.173679	0.002267	0.918806	0.081194	0.049181	0.013593	
81000	-66.702843	867	0.094925	0.113275	0.006752	0.993248	0.043979	0.045302	
82000	-66.757333	344	0.145004	0.049491	0.272078	0.727922	0.041303	0.023503	
83000	-66.869133	641	0.114660	0.111567	0.012794	0.987206	0.039405	0.047175	
84000	-67.012983	423	0.177619	0.022786	0.594884	0.405116	0.027718	0.038198	
85000	-67.023347	431	0.183902	0.029799	0.580737	0.419263	0.041180	0.027206	
86000	-66.317827	248	0.164597	0.075509	0.335623	0.664377	0.036148	0.049750	
87000	-65.488107	520	0.142982	0.040290	0.417974	0.582026	0.036203	0.019090	
88000	-66.309543	96	0.117871	0.026166	0.201458	0.798542	0.045385	0.043571	
89000	-66.627516	717	0.137839	0.060598	0.209284	0.790716	0.031137	0.048025	
90000	-70.032163	96	0.035843	0.068690	0.000822	0.999178	0.022044	0.029890	
91000	-67.840738	579	0.046637	0.139833	0.001464	0.998536	0.048251	0.037403	
92000	-67.104789	593	0.127342	0.061985	0.167973	0.832027	0.032009	0.023471	
93000	-67.557793	582	0.124134	0.083119	0.090562	0.909438	0.043408	0.035574	
94000	-68.211793	643	0.207400	0.006567	0.878271	0.121729	0.049317	0.013908	
95000	-66.132998	378	0.051241	0.122959	0.000691	0.999309	0.037777	0.039647	
96000	-67.061478	600	0.158683	0.154688	0.129263	0.870737	0.043081	0.045914	
97000	-66.097159	882	0.107804	0.142144	0.012523	0.987477	0.030268	0.049741	
98000	-66.497372	834	0.131199	0.037324	0.238649	0.761351	0.034112	0.036703	
99000	-66.331418	774	0.155961	0.014866	0.539420	0.460580	0.046432	0.024915	
100000	-66.471287	127	0.089637	0.135554	0.003101	0.996899	0.027256	0.039399	
101000	-66.623827	68	0.070912	0.090244	0.007058	0.992942	0.049479	0.042379	
102000	-67.297517	536	0.102445	0.077513	0.052301	0.947699	0.028776	0.047525	
103000	-66.326148	54	0.156580	0.019757	0.487554	0.512446	0.034969	0.021508	
104000	-67.838730	279	0.127851	0.038471	0.241810	0.758190	0.049761	0.040315	
105000	-65.624451	223	0.165877	0.065013	0.418056	0.581944	0.022229	0.027062	
106000	-66.369654	123	0.046230	0.115821	0.000581	0.999419	0.046157	0.033342	
107000	-67.948887	490	0.200457	0.034658	0.619198	0.380802	0.045602	0.045896	
108000	-66.598073	724	0.132817	0.050352	0.207590	0.792410	0.046053	0.044024	
109000	-66.184917	69	0.162779	0.028829	0.493930	0.506070	0.038562	0.024943	
110000	-68.293422	877	0.125140	0.028593	0.349127	0.650873	0.040957	0.032097	
111000	-66.459559	818	0.146005	0.055205	0.315659	0.684341	0.043534	0.047655	
112000	-69.248779	815	0.104322	0.013338	0.203419	0.796581	0.043287	0.019576	
113000	-69.689303	412	0.092379	0.025516	0.079404	0.920596	0.043945	0.028096	
114000	-67.728496	252	0.126915	0.013518	0.344068	0.655932	0.038495	0.046151	
115000	-66.136719	498	0.150275	0.032789	0.384121	0.615879	0.043370	0.029449	
116000	-65.746857	306	0.154260	0.011458	0.626655	0.373345	0.049365	0.008902	
117000	-66.347353	606	0.141454	0.056857	0.239835	0.760165	0.040895	0.046053	
118000	-67.673645	923	0.119589	0.045555	0.268169	0.731831	0.043708	0.038088	
119000	-66.334597	302	0.082458	0.128600	0.000654	0.999346	0.048546	0.049607	
120000	-68.528980	594	0.036159	0.126837	0.000153	0.999847	0.024840	0.033555	
121000	-68.630476	779	0.045049	0.187932	0.000201	0.999799	0.012474	0.034003	
122000	-66.153153	263	0.127269	0.023079	0.417091	0.582909	0.048178	0.010216	
123000	-68.641785	707	0.087275	0.037135	0.039153	0.960847	0.049153	0.039181	
124000	-66.948619	461	0.062196	0.159497	0.000919	0.999081	0.049620	0.030681	
125000	-68.765472	720	0.027844	0.098107	0.001723	0.998277	0.033115	0.024085	
126000	-71.887691	667	0.101177	0.001247	0.654867	0.345133	0.048932	0.041865	
127000	-66.449711	83	0.154323	0.052198	0.316539	0.683461	0.041863	0.031978	
128000	-65.512017	323	0.153789	0.038815	0.400299	0.599701	0.049329	0.027131	
129000	-67.268508	39	0.161784	0.003512	0.852214	0.147786	0.036493	0.004245	
130000	-66.387941	438	0.157541	0.066138	0.298276	0.701724	0.031984	0.042115	
131000	-67.490502	805	0.050047	0.144511	0.006207	0.993793	0.031596	0.032534	
132000	-66.225342	413	0.111755	0.030943	0.457485	0.542515	0.042138	0.032018	
133000	-66.668168	662	0.082762	0.098759	0.001768	0.998232	0.023134	0.033794	
134000	-70.869211	337	0.093563	0.027903	0.077835	0.922165	0.026557	0.016077	
135000	-66.071498	551	0.068052	0.099363	0.006757	0.993243	0.045486	0.045478	
136000	-67.094017	619	0.143897	0.012276	0.565846	0.434154	0.042194	0.011610	
137000	-66.418339	39	0.146967	0.021256	0.439076	0.560924	0.047500	0.012173	
138000	-66.181760	774	0.099143	0.125666	0.019010	0.980990	0.023638	0.042593	
139000	-66.745343	71	0.064697	0.111089	0.002071	0.997929	0.044790	0.034333	
140000	-67.205748	703	0.138176	0.029395	0.284090	0.715910	0.041196	0.037379	
141000	-67.035678	556	0.046124	0.138332	0.001894	0.998106	0.027713	0.047451	
142000	-68.771711	373	0.137941	0.002241	0.842072	0.157928	0.035504	0.030358	
143000	-66.540268	454	0.173914	0.025055	0.586329	0.413671	0.047966	0.040040	
144000	-71.535240	994	0.022336	0.104888	0.001873	0.998127	0.041643	0.040224	
145000	-68.777146	852	0.123161	0.016980	0.255482	0.744518	0.032903	0.045218	
146000	-67.224059	6	0.063288	0.179744	0.002245	0.997755	0.044263	0.049171	
147000	-66.349718	658	0.079152	0.134026	0.002565	0.997435	0.023004	0.031745	
148000	-67.424011	458	0.144218	0.020146	0.396900	0.603100	0.023076	0.016078	
149000	-66.542463	756	0.124704	0.017852	0.290114	0.709886	0.043152	0.032392	
150000	-67.730906	358	0.152427	0.006001	0.779676	0.220324	0.040569	0.048943	
151000	-68.056447	129	0.044964	0.141855	0.002206	0.997794	0.040655	0.038677	
152000	-67.331904	453	0.137714	0.011251	0.564970	0.435030	0.045025	0.020855	
153000	-68.597383	713	0.191675	0.003164	0.907472	0.092528	0.041454	0.013967	
154000	-67.288399	483	0.117964	0.075795	0.119563	0.880437	0.025482	0.044150	
155000	-65.486995	967	0.088401	0.131161	0.019918	0.980082	0.045775	0.031453	
156000	-65.787451	245	0.091015	0.136639	0.005655	0.994345	0.049735	0.032039	
157000	-67.007534	14	0.179621	0.017775	0.641959	0.358041	0.042106	0.011524	
158000	-70.155851	476	0.038232	0.083363	0.003512	0.996488	0.038970	0.049810	
159000	-67.999781	117	0.113151	0.006939	0.735779	0.264221	0.041962	0.011313	
160000	-66.588288	186	0.170075	0.020462	0.597607	0.402393	0.049102	0.021423	
161000	-66.676445	92	0.122151	0.057744	0.328384	0.671616	0.032674	0.046832	
162000	-67.233271	873	0.152000	0.023644	0.411470	0.588530	0.048969	0.028347	
163000	-67.163494	312	0.098581	0.071123	0.048790	0.951210	0.037492	0.017732	
164000	-67.090201	956	0.077308	0.144525	0.028193	0.971807	0.021110	0.037975	
165000	-67.580115	701	0.049292	0.097382	0.000139	0.999861	0.031736	0.044201	
166000	-67.246577	683	0.139747	0.100313	0.160407	0.839593	0.046004	0.040670	
167000	-68.751408	630	0.090479	0.026039	0.065455	0.934545	0.048511	0.020831	
168000	-67.001429	629	0.126724	0.040045	0.196066	0.803934	0.038815	0.043908	
169000	-66.390177	803	0.073842	0.136608	0.014393	0.985607	0.049682	0.048810	
170000	-68.215259	209	0.148935	0.000395	0.976318	0.023682	0.043371	0.025144	
171000	-67.440999	218	0.158251	0.001378	0.928687	0.071313	0.049952	0.009630	
172000	-66.045979	498	0.174043	0.052087	0.443391	0.556609	0.041802	0.048409	
173000	-67.474535	834	0.152261	0.004358	0.768759	0.231241	0.046963	0.040158	
174000	-68.360564	46	0.093334	0.034138	0.071591	0.928409	0.019069	0.035648	
175000	-67.166779	242	0.168790	0.003476	0.873709	0.126291	0.039313	0.014397	
176000	-68.539789	71	0.103421	0.034659	0.098997	0.901003	0.040241	0.021990	
177000	-68.071525	11	0.184729	0.015069	0.681406	0.318594	0.047880	0.025171	
178000	-67.217856	482	0.076469	0.095618	0.001570	0.998430	0.040407	0.031591	
179000	-68.260325	447	0.110260	0.041390	0.127212	0.872788	0.038665	0.049446	
180000	-65.327685	975	0.107365	0.136153	0.015366	0.984634	0.026124	0.046387	
181000	-65.780671	274	0.182410	0.038979	0.569992	0.430008	0.045374	0.019927	
182000	-67.147328	659	0.157683	0.119896	0.245256	0.754744	0.041702	0.042431	
183000	-65.776142	517	0.086617	0.147655	0.016237	0.983763	0.042190	0.046826	
184000	-66.452094	454	0.095575	0.094560	0.007716	0.992284	0.046203	0.041572	
185000	-67.682081	564	0.147249	0.002666	0.819402	0.180598	0.037559	0.022402	
186000	-67.781887	608	0.173829	0.005085	0.898637	0.101363	0.048038	0.042060	
187000	-66.105994	456	0.130197	0.026541	0.465349	0.534651	0.026912	0.009618	
188000	-69.136498	680	0.052653	0.075479	0.003147	0.996853	0.041717	0.034841	
189000	-68.689468	345	0.220055	0.020293	0.830457	0.169543	0.049573	0.030314	
190000	-66.448505	772	0.059136	0.133958	0.010870	0.989130	0.044318	0.038094	
191000	-67.005706	729	0.130791	0.054123	0.187949	0.812051	0.022520	0.048836	
192000	-66.000739	338	0.117761	0.144729	0.035115	0.964885	0.041508	0.044881	
193000	-66.343776	567	0.171364	0.096046	0.328771	0.671229	0.046156	0.027977	
194000	-66.361886	64	0.124763	0.027678	0.233588	0.766412	0.047413	0.028486	
195000	-66.587004	454	0.121185	0.092613	0.066478	0.933522	0.043111	0.037541	
196000	-70.010970	502	0.086711	0.036429	0.068513	0.931487	0.031075	0.047560	
197000	-65.615795	5	0.075883	0.107954	0.008344	0.991656	0.025151	0.031454	
198000	-67.065621	384	0.151882	0.028187	0.503098	0.496902	0.037037	0.018997	
199000	-67.985342	856	0.073179	0.082409	0.012475	0.987525	0.049139	0.045701	
200000	-67.711871	978	0.100758	0.042639	0.133544	0.866456	0.045031	0.021287	
201000	-66.582801	431	0.153302	0.039712	0.367043	0.632957	0.030465	0.043191	
202000	-69.122315	606	0.090266	0.027507	0.061104	0.938896	0.023019	0.024865	
203000	-68.729364	5	0.039169	0.204959	0.003017	0.996983	0.022978	0.046709	
204000	-66.773607	30	0.155528	0.079590	0.270078	0.729922	0.046567	0.049465	
205000	-67.010825	952	0.073351	0.134106	0.000792	0.999208	0.036280	0.044126	
206000	-67.184330	38	0.143580	0.015857	0.469411	0.530589	0.042618	0.040347	
207000	-66.460652	183	0.087316	0.114780	0.014154	0.985846	0.038768	0.028240	
208000	-69.236158	799	0.047127	0.082016	0.005458	0.994542	0.033416	0.025852	
209000	-66.818974	473	0.161106	0.047104	0.381410	0.618590	0.042623	0.049538	
210000	-66.025802	102	0.143673	0.150076	0.065026	0.934974	0.044904	0.031255	
211000	-66.839205	739	0.145244	0.110002	0.186054	0.813946	0.049973	0.041284	
212000	-67.400946	714	0.071372	0.088696	0.002882	0.997118	0.031959	0.034832	
213000	-66.518492	81	0.069958	0.105126	0.007180	0.992820	0.031655	0.048205	
214000	-68.103649	436	0.110961	0.017731	0.189475	0.810525	0.044054	0.016650	
215000	-66.048872	403	0.146020	0.100572	0.262688	0.737312	0.040881	0.038066	
216000	-65.743323	263	0.149957	0.024231	0.526660	0.473340	0.041431	0.041884	
217000	-65.938325	245	0.093073	0.123737	0.006031	0.993969	0.031896	0.046140	
218000	-69.143780	209	0.084874	0.060525	0.019840	0.980160	0.041754	0.043016	
219000	-66.635998	983	0.089781	0.124165	0.009984	0.990016	0.047373	0.047992	
220000	-66.788405	672	0.143219	0.025776	0.373025	0.626975	0.035924	0.040475	
221000	-66.256042	418	0.174513	0.027294	0.775952	0.224048	0.046973	0.043767	
