Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_alt_pol.bin2.txt
Log File Name:                   DEP_pol2_alt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3967388577
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol2_alt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
101000	-128.385127	575	1	0	'0 0 0 0 0 0 0 0 	I	0.161830	0.161830	0.161830	0.161830	0.161830	0.161830	0.161830	0.161830	0.118940	0.008325	0.815647	0.057088	0.388167	
102000	-129.704280	981	1	1	'0 0 0 0 0 0 Z 0 	D	0.142240	0.142240	0.142240	0.142240	0.142240	0.142240	0.000000	0.142240	0.218629	0.011150	0.752787	0.017434	0.310566	
103000	-129.836335	61	1	1	'0 0 0 0 0 Z 0 0 	D	0.152614	0.152614	0.152614	0.152614	0.152614	0.000000	0.152614	0.152614	0.214663	0.053235	0.313016	0.419086	0.305954	
104000	-129.035485	487	1	1	'0 0 0 0 0 Z 0 0 	D	0.200625	0.200625	0.200625	0.200625	0.200625	0.000000	0.200625	0.200625	0.240844	0.137388	0.269803	0.351966	0.188172	
105000	-127.736123	756	1	1	'0 0 0 Z 0 0 0 0 	D	0.132151	0.132151	0.132151	0.000000	0.132151	0.132151	0.132151	0.132151	0.005565	0.000006	0.978959	0.015470	0.423492	
106000	-129.336824	446	1	1	'0 0 0 0 Z 0 0 0 	D	0.140870	0.140870	0.140870	0.140870	0.000000	0.140870	0.140870	0.140870	0.858760	0.038669	0.061776	0.040794	0.410788	
107000	-129.975599	430	1	2	'Z 0 0 0 0 Z 0 0 	I	0.000000	0.177914	0.177914	0.177914	0.177914	0.000000	0.177914	0.177914	0.000000	0.176474	0.000000	0.823526	0.059109	
108000	-127.686718	131	1	1	'0 0 0 0 0 Z 0 0 	D	0.157305	0.157305	0.157305	0.157305	0.157305	0.000000	0.157305	0.157305	0.122887	0.081448	0.185018	0.610647	0.099105	
109000	-133.016116	892	1	4	'Z 0 0 0 Z Z Z 0 	I	0.000000	0.225720	0.225720	0.225720	0.000000	0.000000	0.000000	0.225720	0.000000	0.999998	0.000000	0.000002	0.288380	
110000	-131.155303	734	1	1	'0 0 0 0 Z 0 0 0 	D	0.113411	0.113411	0.113411	0.113411	0.000000	0.113411	0.113411	0.113411	0.479634	0.013877	0.417577	0.088912	0.142690	
111000	-129.879352	885	1	1	'0 0 0 0 0 0 Z 0 	D	0.157583	0.157583	0.157583	0.157583	0.157583	0.157583	0.000000	0.157583	0.217686	0.019002	0.706113	0.057199	0.251017	
112000	-129.086991	101	1	2	'0 0 0 0 0 Z 0 Z 	D	0.212089	0.212089	0.212089	0.212089	0.212089	0.000000	0.212089	0.000000	0.396700	0.017098	0.585865	0.000336	0.461041	
113000	-127.546289	263	1	0	'0 0 0 0 0 0 0 0 	I	0.122037	0.122037	0.122037	0.122037	0.122037	0.122037	0.122037	0.122037	0.039845	0.001178	0.931434	0.027543	0.309544	
114000	-129.171480	329	1	1	'0 0 0 0 0 0 Z 0 	D	0.127977	0.127977	0.127977	0.127977	0.127977	0.127977	0.000000	0.127977	0.188966	0.017893	0.731179	0.061962	0.098644	
115000	-135.098083	797	1	4	'Z Z 0 0 Z Z 0 0 	D	0.000000	0.000000	0.154361	0.154361	0.000000	0.000000	0.154361	0.154361	0.000000	0.013218	0.000000	0.986782	0.224727	
116000	-128.116466	823	1	2	'0 0 0 0 Z Z 0 0 	D	0.196201	0.196201	0.196201	0.196201	0.000000	0.000000	0.196201	0.196201	0.308946	0.282227	0.000000	0.408827	0.214468	
117000	-131.165322	389	1	1	'0 0 0 Z 0 0 0 0 	D	0.103681	0.103681	0.103681	0.000000	0.103681	0.103681	0.103681	0.103681	0.001152	0.000000	0.985369	0.013479	0.192656	
118000	-127.360429	871	1	1	'0 0 0 0 0 Z 0 0 	D	0.166185	0.166185	0.166185	0.166185	0.166185	0.000000	0.166185	0.166185	0.221759	0.061905	0.346329	0.370008	0.292300	
119000	-121.878965	688	2	1	'Z 0 1 0 0 0 1 1 	D	0.000000	0.060588	0.237010	0.060588	0.060588	0.060588	0.237010	0.237010	0.018377	0.018727	0.541531	0.421366	0.313146	
120000	-131.149969	6	1	3	'0 0 0 0 Z Z Z 0 	D	0.221193	0.221193	0.221193	0.221193	0.000000	0.000000	0.000000	0.221193	0.576993	0.423006	0.000000	0.000001	0.322899	
121000	-130.246460	241	1	2	'0 0 0 Z Z 0 0 0 	D	0.234543	0.234543	0.234543	0.000000	0.000000	0.234543	0.234543	0.234543	0.060105	0.000553	0.700353	0.238990	0.204235	
122000	-128.001811	372	1	1	'0 0 0 0 0 Z 0 0 	D	0.154403	0.154403	0.154403	0.154403	0.154403	0.000000	0.154403	0.154403	0.173022	0.050593	0.248734	0.527651	0.071909	
123000	-127.829382	179	1	0	'0 0 0 0 0 0 0 0 	I	0.131932	0.131932	0.131932	0.131932	0.131932	0.131932	0.131932	0.131932	0.031292	0.000379	0.956737	0.011592	0.141698	
124000	-128.340649	445	1	3	'0 0 0 0 Z Z Z 0 	D	0.163358	0.163358	0.163358	0.163358	0.000000	0.000000	0.000000	0.163358	0.817691	0.182308	0.000000	0.000001	0.106679	
125000	-127.584338	26	1	1	'0 0 0 0 0 Z 0 0 	D	0.154096	0.154096	0.154096	0.154096	0.154096	0.000000	0.154096	0.154096	0.178489	0.064361	0.253375	0.503775	0.107207	
126000	-128.852647	115	1	0	'0 0 0 0 0 0 0 0 	I	0.156546	0.156546	0.156546	0.156546	0.156546	0.156546	0.156546	0.156546	0.119276	0.009436	0.807410	0.063878	0.104776	
127000	-131.034902	745	1	1	'0 0 0 Z 0 0 0 0 	D	0.175975	0.175975	0.175975	0.000000	0.175975	0.175975	0.175975	0.175975	0.034876	0.000435	0.896913	0.067776	0.307784	
