Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_alt_pol.bin2.txt
Log File Name:                   DEP_pol2_alt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3967388577
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol2_alt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
128000	-128.062889	964	1	1	'0 0 0 0 0 Z 0 0 	D	0.188919	0.188919	0.188919	0.188919	0.188919	0.000000	0.188919	0.188919	0.238291	0.122576	0.217668	0.421465	0.304517	
129000	-129.140282	705	1	1	'0 0 0 0 0 Z 0 0 	D	0.148377	0.148377	0.148377	0.148377	0.148377	0.000000	0.148377	0.148377	0.138247	0.031906	0.244095	0.585751	0.184689	
130000	-130.206521	156	1	1	'0 0 0 0 Z 0 0 0 	D	0.196065	0.196065	0.196065	0.196065	0.000000	0.196065	0.196065	0.196065	0.834320	0.047822	0.060388	0.057470	0.423559	
131000	-131.031637	927	1	1	'0 0 0 0 0 Z 0 0 	D	0.282673	0.282673	0.282673	0.282673	0.282673	0.000000	0.282673	0.282673	0.242180	0.281153	0.158470	0.318197	0.476318	
132000	-129.045970	617	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.249689	0.249689	0.249689	0.000000	0.000000	0.249689	0.249689	0.000000	0.404366	0.000000	0.595634	0.366691	
133000	-130.606267	617	1	1	'0 0 0 0 0 0 0 Z 	D	0.171928	0.171928	0.171928	0.171928	0.171928	0.171928	0.171928	0.000000	0.201201	0.002397	0.796392	0.000010	0.306130	
134000	-127.563801	272	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.180502	0.180502	0.180502	0.000000	0.000000	0.180502	0.180502	0.000000	0.230819	0.000000	0.769181	0.191983	
135000	-129.696547	168	1	3	'0 0 0 0 Z Z Z 0 	D	0.194846	0.194846	0.194846	0.194846	0.000000	0.000000	0.000000	0.194846	0.678334	0.321665	0.000000	0.000001	0.065373	
136000	-129.361656	446	1	2	'0 0 0 0 Z Z 0 0 	D	0.199906	0.199906	0.199906	0.199906	0.000000	0.000000	0.199906	0.199906	0.451097	0.187166	0.000000	0.361737	0.469266	
137000	-129.857924	677	1	1	'0 0 0 0 0 Z 0 0 	D	0.228742	0.228742	0.228742	0.228742	0.228742	0.000000	0.228742	0.228742	0.240477	0.220705	0.188429	0.350389	0.382529	
138000	-127.142602	768	1	0	'0 0 0 0 0 0 0 0 	I	0.146401	0.146401	0.146401	0.146401	0.146401	0.146401	0.146401	0.146401	0.087966	0.006041	0.847777	0.058217	0.086384	
139000	-130.285994	408	1	1	'0 0 0 0 0 0 0 Z 	D	0.121803	0.121803	0.121803	0.121803	0.121803	0.121803	0.121803	0.000000	0.050023	0.000452	0.949523	0.000002	0.157187	
140000	-127.465445	111	1	1	'0 0 0 0 0 Z 0 0 	D	0.153511	0.153511	0.153511	0.153511	0.153511	0.000000	0.153511	0.153511	0.222098	0.063295	0.312227	0.402380	0.431948	
141000	-129.125379	411	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.229141	0.229141	0.229141	0.000000	0.000000	0.229141	0.229141	0.000000	0.381771	0.000000	0.618229	0.301795	
142000	-128.204687	321	1	0	'0 0 0 0 0 0 0 0 	I	0.160556	0.160556	0.160556	0.160556	0.160556	0.160556	0.160556	0.160556	0.119999	0.009374	0.807545	0.063082	0.081595	
143000	-129.060821	400	1	0	'0 0 0 0 0 0 0 0 	I	0.092586	0.092586	0.092586	0.092586	0.092586	0.092586	0.092586	0.092586	0.006898	0.000110	0.977391	0.015601	0.124399	
144000	-129.204685	162	1	1	'0 0 0 0 0 Z 0 0 	D	0.161921	0.161921	0.161921	0.161921	0.161921	0.000000	0.161921	0.161921	0.185782	0.109283	0.245083	0.459851	0.112333	
145000	-129.079340	570	1	0	'0 0 0 0 0 0 0 0 	I	0.155317	0.155317	0.155317	0.155317	0.155317	0.155317	0.155317	0.155317	0.148386	0.015996	0.754306	0.081312	0.271899	
146000	-128.284976	103	1	1	'0 0 0 0 0 Z 0 0 	D	0.203856	0.203856	0.203856	0.203856	0.203856	0.000000	0.203856	0.203856	0.247454	0.116815	0.250213	0.385519	0.326781	
147000	-128.235033	895	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.216084	0.216084	0.216084	0.000000	0.000000	0.216084	0.216084	0.000000	0.353530	0.000000	0.646470	0.324168	
148000	-130.025563	810	1	1	'0 0 0 0 0 Z 0 0 	D	0.117845	0.117845	0.117845	0.117845	0.117845	0.000000	0.117845	0.117845	0.074027	0.040345	0.192854	0.692774	0.380780	
149000	-131.313212	456	2	3	'0 0 1 1 Z Z Z 1 	D	0.082276	0.082276	0.164682	0.164682	0.000000	0.000000	0.000000	0.164682	0.056535	0.943460	0.000000	0.000005	0.206901	
150000	-129.462130	736	1	1	'0 0 0 0 0 Z 0 0 	D	0.148129	0.148129	0.148129	0.148129	0.148129	0.000000	0.148129	0.148129	0.147249	0.087021	0.231591	0.534139	0.230370	
151000	-132.390659	849	1	2	'0 0 0 0 Z Z 0 0 	D	0.279892	0.279892	0.279892	0.279892	0.000000	0.000000	0.279892	0.279892	0.285724	0.348133	0.000000	0.366143	0.162686	
152000	-129.435302	348	1	1	'0 0 0 0 0 Z 0 0 	D	0.133407	0.133407	0.133407	0.133407	0.133407	0.000000	0.133407	0.133407	0.118693	0.019644	0.228757	0.632905	0.443839	
153000	-127.853820	619	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.220343	0.220343	0.220343	0.000000	0.000000	0.220343	0.220343	0.000000	0.353550	0.000000	0.646450	0.261840	
154000	-129.586288	916	1	2	'0 0 0 0 Z Z 0 0 	D	0.211862	0.211862	0.211862	0.211862	0.000000	0.000000	0.211862	0.211862	0.361674	0.215907	0.000000	0.422419	0.189256	
155000	-127.880253	536	1	1	'0 0 0 0 0 Z 0 0 	D	0.174068	0.174068	0.174068	0.174068	0.174068	0.000000	0.174068	0.174068	0.200396	0.103354	0.268420	0.427830	0.353353	
156000	-128.588120	839	1	1	'0 0 0 0 0 Z 0 0 	D	0.184859	0.184859	0.184859	0.184859	0.184859	0.000000	0.184859	0.184859	0.214817	0.140982	0.246314	0.397887	0.456604	
157000	-128.770676	661	1	1	'0 0 0 0 Z 0 0 0 	D	0.185909	0.185909	0.185909	0.185909	0.000000	0.185909	0.185909	0.185909	0.806977	0.072325	0.047721	0.072977	0.257353	
158000	-128.159970	204	1	3	'0 0 0 0 Z Z Z 0 	D	0.184103	0.184103	0.184103	0.184103	0.000000	0.000000	0.000000	0.184103	0.776302	0.223697	0.000000	0.000001	0.187297	
159000	-128.881755	735	1	0	'0 0 0 0 0 0 0 0 	I	0.175459	0.175459	0.175459	0.175459	0.175459	0.175459	0.175459	0.175459	0.169701	0.012832	0.760000	0.057467	0.144760	
160000	-128.068672	823	1	2	'0 0 0 0 Z Z 0 0 	D	0.190316	0.190316	0.190316	0.190316	0.000000	0.000000	0.190316	0.190316	0.318777	0.271059	0.000000	0.410164	0.312292	
161000	-132.380082	593	1	4	'0 0 0 0 Z Z Z Z 	D	0.148306	0.148306	0.148306	0.148306	0.000000	0.000000	0.000000	0.000000	0.859323	0.140677	0.000000	0.000000	0.164868	
162000	-131.358231	506	1	0	'0 0 0 0 0 0 0 0 	I	0.082993	0.082993	0.082993	0.082993	0.082993	0.082993	0.082993	0.082993	0.009329	0.000146	0.975246	0.015279	0.187891	
163000	-127.495549	899	1	0	'0 0 0 0 0 0 0 0 	I	0.114643	0.114643	0.114643	0.114643	0.114643	0.114643	0.114643	0.114643	0.022808	0.000325	0.963147	0.013720	0.123990	
164000	-124.272918	729	2	1	'1 1 0 1 1 Z 0 0 	D	0.087826	0.087826	0.245142	0.087826	0.087826	0.000000	0.245142	0.245142	0.000534	0.014740	0.000338	0.984388	0.420509	
165000	-127.155311	881	1	0	'0 0 0 0 0 0 0 0 	I	0.120733	0.120733	0.120733	0.120733	0.120733	0.120733	0.120733	0.120733	0.019470	0.000923	0.935277	0.044330	0.432756	
166000	-128.729942	454	1	1	'0 0 0 0 0 Z 0 0 	D	0.137538	0.137538	0.137538	0.137538	0.137538	0.000000	0.137538	0.137538	0.094806	0.035264	0.162462	0.707468	0.341985	
167000	-128.412012	283	1	1	'0 0 0 0 0 Z 0 0 	D	0.186841	0.186841	0.186841	0.186841	0.186841	0.000000	0.186841	0.186841	0.212338	0.124913	0.225452	0.437297	0.355728	
168000	-126.925671	662	1	0	'0 0 0 0 0 0 0 0 	I	0.105799	0.105799	0.105799	0.105799	0.105799	0.105799	0.105799	0.105799	0.011601	0.000172	0.973771	0.014456	0.153019	
169000	-127.720449	19	1	0	'0 0 0 0 0 0 0 0 	I	0.147429	0.147429	0.147429	0.147429	0.147429	0.147429	0.147429	0.147429	0.094997	0.005258	0.852555	0.047190	0.335625	
170000	-130.852084	696	1	3	'0 0 0 0 Z Z Z 0 	D	0.211380	0.211380	0.211380	0.211380	0.000000	0.000000	0.000000	0.211380	0.568168	0.431831	0.000000	0.000001	0.337078	
171000	-129.251817	695	1	1	'0 0 0 0 0 Z 0 0 	D	0.194579	0.194579	0.194579	0.194579	0.194579	0.000000	0.194579	0.194579	0.235195	0.125413	0.233627	0.405766	0.412128	
172000	-129.299482	604	1	3	'0 0 0 0 Z Z Z 0 	D	0.203801	0.203801	0.203801	0.203801	0.000000	0.000000	0.000000	0.203801	0.617071	0.382928	0.000000	0.000001	0.449387	
173000	-128.459009	940	2	0	'0 0 0 1 0 1 0 0 	D	0.242957	0.242957	0.242957	0.122934	0.242957	0.122934	0.242957	0.242957	0.147730	0.020371	0.580748	0.251151	0.440893	
174000	-128.689034	71	1	0	'0 0 0 0 0 0 0 0 	I	0.093680	0.093680	0.093680	0.093680	0.093680	0.093680	0.093680	0.093680	0.007608	0.000079	0.982113	0.010200	0.076948	
175000	-130.681017	541	1	1	'0 0 0 Z 0 0 0 0 	D	0.170873	0.170873	0.170873	0.000000	0.170873	0.170873	0.170873	0.170873	0.010683	0.000025	0.942066	0.047226	0.170336	
176000	-129.581283	196	1	1	'0 0 0 Z 0 0 0 0 	D	0.193881	0.193881	0.193881	0.000000	0.193881	0.193881	0.193881	0.193881	0.049697	0.001092	0.859097	0.090114	0.299584	
177000	-128.628415	587	1	1	'0 0 0 0 0 0 Z 0 	D	0.127796	0.127796	0.127796	0.127796	0.127796	0.127796	0.000000	0.127796	0.139296	0.005965	0.836726	0.018013	0.307008	
178000	-133.476569	553	1	1	'0 0 0 0 0 0 Z 0 	D	0.088012	0.088012	0.088012	0.088012	0.088012	0.088012	0.000000	0.088012	0.029780	0.000481	0.955547	0.014193	0.427367	
179000	-128.151704	820	1	1	'0 0 0 0 0 Z 0 0 	D	0.185261	0.185261	0.185261	0.185261	0.185261	0.000000	0.185261	0.185261	0.207433	0.099280	0.208823	0.484464	0.223237	
180000	-128.551963	534	1	1	'0 0 0 0 0 Z 0 0 	D	0.158692	0.158692	0.158692	0.158692	0.158692	0.000000	0.158692	0.158692	0.188885	0.054357	0.277924	0.478834	0.488994	
181000	-129.378297	58	1	1	'0 0 0 0 0 0 Z 0 	D	0.136089	0.136089	0.136089	0.136089	0.136089	0.136089	0.000000	0.136089	0.167511	0.011631	0.773349	0.047509	0.048626	
182000	-128.455939	661	1	1	'0 0 0 0 Z 0 0 0 	D	0.177144	0.177144	0.177144	0.177144	0.000000	0.177144	0.177144	0.177144	0.822694	0.065045	0.044843	0.067418	0.223946	
183000	-129.963533	705	1	1	'0 0 0 0 0 0 Z 0 	D	0.132262	0.132262	0.132262	0.132262	0.132262	0.132262	0.000000	0.132262	0.128510	0.005908	0.838738	0.026844	0.310297	
184000	-128.364499	624	1	0	'0 0 0 0 0 0 0 0 	I	0.108224	0.108224	0.108224	0.108224	0.108224	0.108224	0.108224	0.108224	0.021214	0.000535	0.954186	0.024065	0.365237	
185000	-129.685739	740	1	1	'0 0 0 0 0 0 0 Z 	D	0.142031	0.142031	0.142031	0.142031	0.142031	0.142031	0.142031	0.000000	0.067476	0.001247	0.931266	0.000011	0.165815	
186000	-127.237671	158	1	0	'0 0 0 0 0 0 0 0 	I	0.134089	0.134089	0.134089	0.134089	0.134089	0.134089	0.134089	0.134089	0.065946	0.001603	0.910327	0.022125	0.390491	
187000	-128.550100	142	1	0	'0 0 0 0 0 0 0 0 	I	0.128851	0.128851	0.128851	0.128851	0.128851	0.128851	0.128851	0.128851	0.046602	0.001882	0.914586	0.036930	0.446545	
188000	-128.173594	320	1	1	'0 0 0 0 0 Z 0 0 	D	0.168025	0.168025	0.168025	0.168025	0.168025	0.000000	0.168025	0.168025	0.180970	0.046209	0.221627	0.551194	0.277309	
189000	-128.844950	971	1	0	'0 0 0 0 0 0 0 0 	I	0.126323	0.126323	0.126323	0.126323	0.126323	0.126323	0.126323	0.126323	0.058126	0.003548	0.884353	0.053973	0.160727	
190000	-128.189350	772	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.187241	0.187241	0.187241	0.000000	0.000000	0.187241	0.187241	0.000000	0.273798	0.000000	0.726202	0.448541	
191000	-128.956105	544	1	1	'0 0 0 Z 0 0 0 0 	D	0.123849	0.123849	0.123849	0.000000	0.123849	0.123849	0.123849	0.123849	0.011581	0.000031	0.968556	0.019832	0.233024	
192000	-129.536494	841	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.168883	0.168883	0.168883	0.000000	0.000000	0.168883	0.168883	0.000000	0.182810	0.000000	0.817190	0.127896	
193000	-129.342643	374	1	1	'0 0 0 0 0 Z 0 0 	D	0.181468	0.181468	0.181468	0.181468	0.181468	0.000000	0.181468	0.181468	0.224942	0.132733	0.288422	0.353902	0.234853	
194000	-129.331410	661	1	1	'0 0 0 0 Z 0 0 0 	D	0.198600	0.198600	0.198600	0.198600	0.000000	0.198600	0.198600	0.198600	0.781227	0.084281	0.052474	0.082018	0.161407	
195000	-129.307801	446	1	1	'0 0 0 0 0 0 0 Z 	D	0.126589	0.126589	0.126589	0.126589	0.126589	0.126589	0.126589	0.000000	0.047465	0.000467	0.952066	0.000002	0.325871	
196000	-127.260278	204	1	0	'0 0 0 0 0 0 0 0 	I	0.118223	0.118223	0.118223	0.118223	0.118223	0.118223	0.118223	0.118223	0.034900	0.001004	0.937139	0.026958	0.401851	
197000	-130.082382	433	1	2	'0 0 0 0 0 Z 0 Z 	D	0.182808	0.182808	0.182808	0.182808	0.182808	0.000000	0.182808	0.000000	0.397870	0.007737	0.594358	0.000035	0.158523	
198000	-127.591081	947	1	1	'0 0 0 0 0 Z 0 0 	D	0.154135	0.154135	0.154135	0.154135	0.154135	0.000000	0.154135	0.154135	0.187775	0.079826	0.269810	0.462589	0.241048	
199000	-128.062492	156	1	1	'0 0 0 0 0 Z 0 0 	D	0.183224	0.183224	0.183224	0.183224	0.183224	0.000000	0.183224	0.183224	0.212100	0.063163	0.220585	0.504152	0.280290	
200000	-129.517942	677	1	1	'0 0 0 0 Z 0 0 0 	D	0.187638	0.187638	0.187638	0.187638	0.000000	0.187638	0.187638	0.187638	0.803125	0.065017	0.055988	0.075871	0.294969	
201000	-128.665698	952	1	1	'0 0 0 0 0 Z 0 0 	D	0.157863	0.157863	0.157863	0.157863	0.157863	0.000000	0.157863	0.157863	0.168347	0.048031	0.226664	0.556958	0.194990	
202000	-127.854497	606	1	1	'0 0 0 0 0 Z 0 0 	D	0.206371	0.206371	0.206371	0.206371	0.206371	0.000000	0.206371	0.206371	0.216619	0.133494	0.202637	0.447250	0.329627	
203000	-128.837319	447	1	0	'0 0 0 0 0 0 0 0 	I	0.108004	0.108004	0.108004	0.108004	0.108004	0.108004	0.108004	0.108004	0.019330	0.000841	0.938964	0.040865	0.206074	
204000	-128.656604	569	1	1	'0 0 0 0 0 Z 0 0 	D	0.191497	0.191497	0.191497	0.191497	0.191497	0.000000	0.191497	0.191497	0.243860	0.131298	0.286988	0.337855	0.188821	
205000	-127.623125	670	1	0	'0 0 0 0 0 0 0 0 	I	0.119298	0.119298	0.119298	0.119298	0.119298	0.119298	0.119298	0.119298	0.046522	0.000885	0.934817	0.017776	0.200933	
206000	-133.567314	998	1	2	'0 0 0 0 0 Z 0 Z 	D	0.305184	0.305184	0.305184	0.305184	0.305184	0.000000	0.305184	0.000000	0.421129	0.028892	0.549132	0.000847	0.186040	
207000	-129.481583	948	1	3	'0 0 0 0 Z Z Z 0 	D	0.194198	0.194198	0.194198	0.194198	0.000000	0.000000	0.000000	0.194198	0.664839	0.335160	0.000000	0.000001	0.325994	
208000	-128.478567	315	1	1	'0 0 0 0 0 Z 0 0 	D	0.186455	0.186455	0.186455	0.186455	0.186455	0.000000	0.186455	0.186455	0.193035	0.107436	0.191328	0.508201	0.482203	
209000	-128.447561	403	2	2	'1 1 1 0 Z 0 Z 1 	D	0.267098	0.267098	0.267098	0.104264	0.000000	0.104264	0.000000	0.267098	0.655588	0.344410	0.000001	0.000001	0.306486	
210000	-130.834919	78	1	2	'0 0 0 0 0 Z 0 Z 	D	0.184767	0.184767	0.184767	0.184767	0.184767	0.000000	0.184767	0.000000	0.323556	0.007541	0.668850	0.000053	0.290076	
211000	-124.173140	701	2	3	'Z 1 0 1 Z Z 0 0 	D	0.000000	0.062576	0.217269	0.062576	0.000000	0.000000	0.217269	0.217269	0.000000	0.000338	0.000000	0.999662	0.183215	
212000	-126.377935	663	2	0	'1 0 1 0 0 0 1 1 	D	0.134326	0.051032	0.134326	0.051032	0.051032	0.051032	0.134326	0.134326	0.001931	0.000701	0.768205	0.229163	0.128407	
213000	-130.833463	718	1	1	'0 0 0 0 0 0 Z 0 	D	0.115777	0.115777	0.115777	0.115777	0.115777	0.115777	0.000000	0.115777	0.108325	0.005497	0.841574	0.044604	0.443075	
214000	-127.517979	208	1	2	'0 0 0 0 Z 0 Z 0 	I	0.151785	0.151785	0.151785	0.151785	0.000000	0.151785	0.000000	0.151785	0.976954	0.023042	0.000003	0.000000	0.227220	
215000	-127.881598	536	1	1	'0 0 0 0 0 Z 0 0 	D	0.174855	0.174855	0.174855	0.174855	0.174855	0.000000	0.174855	0.174855	0.201373	0.104722	0.267694	0.426211	0.158334	
216000	-129.747711	949	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.190440	0.190440	0.190440	0.000000	0.000000	0.190440	0.190440	0.000000	0.276476	0.000000	0.723524	0.424435	
217000	-128.742393	587	1	1	'0 0 0 0 0 0 Z 0 	D	0.144005	0.144005	0.144005	0.144005	0.144005	0.144005	0.000000	0.144005	0.192435	0.012484	0.767989	0.027092	0.483312	
218000	-127.814925	727	1	0	'0 0 0 0 0 0 0 0 	I	0.146974	0.146974	0.146974	0.146974	0.146974	0.146974	0.146974	0.146974	0.071717	0.004542	0.868725	0.055016	0.124259	
219000	-130.151093	818	1	3	'0 Z 0 0 Z Z 0 0 	D	0.228908	0.000000	0.228908	0.228908	0.000000	0.000000	0.228908	0.228908	0.000096	0.034449	0.000000	0.965455	0.498432	
220000	-129.132647	747	1	2	'0 0 0 0 Z Z 0 0 	D	0.170254	0.170254	0.170254	0.170254	0.000000	0.000000	0.170254	0.170254	0.394173	0.172639	0.000000	0.433188	0.066789	
221000	-128.742678	793	1	1	'0 0 0 0 0 0 Z 0 	D	0.143061	0.143061	0.143061	0.143061	0.143061	0.143061	0.000000	0.143061	0.250645	0.019920	0.703524	0.025911	0.181791	
222000	-127.139500	296	1	0	'0 0 0 0 0 0 0 0 	I	0.146305	0.146305	0.146305	0.146305	0.146305	0.146305	0.146305	0.146305	0.085962	0.002313	0.887839	0.023886	0.445763	
223000	-129.453258	753	1	3	'0 0 0 0 Z Z Z 0 	D	0.161010	0.161010	0.161010	0.161010	0.000000	0.000000	0.000000	0.161010	0.790027	0.209971	0.000000	0.000001	0.067328	
