Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
602	0.235880	121	0.057851	138	0.811594	139	0.575540	2.463077	602	0.235880	0.341000	0.377283	
668	0.242515	116	0.077586	120	0.858333	96	0.385417	2.463077	668	0.242515	0.311000	0.376634	
632	0.250000	128	0.093750	113	0.823009	127	0.488189	2.463077	632	0.250000	0.325000	0.376132	
672	0.252976	87	0.057471	121	0.768595	120	0.566667	2.463077	672	0.252976	0.336000	0.375746	
636	0.243711	108	0.064815	141	0.858156	115	0.556522	2.463077	636	0.243711	0.347000	0.375473	
591	0.248731	106	0.037736	151	0.841060	152	0.335526	2.463077	591	0.248731	0.329000	0.375034	
636	0.232704	95	0.084211	136	0.860294	133	0.413534	2.463077	636	0.232704	0.328000	0.374595	
631	0.272583	123	0.065041	121	0.752066	125	0.600000	2.463077	631	0.272583	0.346000	0.374330	
640	0.254688	112	0.026786	116	0.827586	132	0.477273	2.463077	640	0.254688	0.325000	0.373877	
621	0.220612	116	0.086207	145	0.820690	118	0.093220	2.463077	621	0.220612	0.277000	0.372997	
608	0.236842	116	0.094828	143	0.825175	133	0.526316	2.463077	608	0.236842	0.343000	0.372726	
646	0.246130	125	0.080000	124	0.935484	105	0.457143	2.463077	646	0.246130	0.333000	0.372372	
682	0.233138	92	0.043478	133	0.834586	93	0.526882	2.463077	682	0.233138	0.323000	0.371935	
667	0.223388	88	0.022727	109	0.862385	136	0.514706	2.463077	667	0.223388	0.315000	0.371435	
663	0.226244	124	0.064516	104	0.807692	109	0.495413	2.463077	663	0.226244	0.296000	0.370779	
649	0.223421	104	0.125000	124	0.838710	123	0.512195	2.463077	649	0.223421	0.325000	0.370385	
640	0.237500	106	0.094340	113	0.840708	141	0.404255	2.463077	640	0.237500	0.314000	0.369903	
