Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_pol.bin3.txt
Log File Name:                   DEP_pol3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1503661017
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
101000	-119.105087	357	1	2	'0 0 0 0 Z Z 0 0 	D	0.132680	0.132680	0.132680	0.132680	0.000000	0.000000	0.132680	0.132680	0.937818	0.050879	0.000037	0.011267	0.230298	
102000	-116.165418	96	1	1	'0 0 0 0 0 Z 0 0 	D	0.187474	0.187474	0.187474	0.187474	0.187474	0.000000	0.187474	0.187474	0.145432	0.007709	0.816108	0.030751	0.301552	
103000	-117.528920	168	1	1	'0 0 0 0 0 Z 0 0 	D	0.167218	0.167218	0.167218	0.167218	0.167218	0.000000	0.167218	0.167218	0.118570	0.002159	0.868858	0.010413	0.264261	
104000	-117.356202	439	1	2	'0 0 0 0 Z Z 0 0 	D	0.124610	0.124610	0.124610	0.124610	0.000000	0.000000	0.124610	0.124610	0.968007	0.022948	0.000031	0.009014	0.306217	
105000	-116.696031	100	1	1	'0 0 0 0 0 Z 0 0 	D	0.137666	0.137666	0.137666	0.137666	0.137666	0.000000	0.137666	0.137666	0.058109	0.000765	0.932685	0.008441	0.380901	
106000	-114.451870	336	1	1	'0 0 0 0 0 Z 0 0 	D	0.202905	0.202905	0.202905	0.202905	0.202905	0.000000	0.202905	0.202905	0.444910	0.009494	0.534376	0.011221	0.158918	
107000	-118.063304	898	1	1	'0 0 0 0 0 Z 0 0 	D	0.165059	0.165059	0.165059	0.165059	0.165059	0.000000	0.165059	0.165059	0.107287	0.001610	0.882404	0.008699	0.384925	
108000	-119.098259	804	1	3	'0 0 0 0 0 Z Z Z 	D	0.156620	0.156620	0.156620	0.156620	0.156620	0.000000	0.000000	0.000000	0.065632	0.001106	0.933262	0.000000	0.328024	
109000	-115.161164	670	1	2	'0 0 0 0 Z Z 0 0 	D	0.141809	0.141809	0.141809	0.141809	0.000000	0.000000	0.141809	0.141809	0.986253	0.005356	0.000004	0.008387	0.392811	
110000	-115.962964	518	1	2	'0 0 0 0 Z Z 0 0 	D	0.135741	0.135741	0.135741	0.135741	0.000000	0.000000	0.135741	0.135741	0.984689	0.004794	0.000011	0.010506	0.128077	
