Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_pol.bin3.txt
Log File Name:                   DEP_pol3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1503661017
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
111000	-116.507467	532	1	1	'0 0 0 0 0 Z 0 0 	D	0.119608	0.119608	0.119608	0.119608	0.119608	0.000000	0.119608	0.119608	0.054125	0.001629	0.920156	0.024090	0.392893	
112000	-117.035723	201	1	1	'0 0 0 0 0 Z 0 0 	D	0.151265	0.151265	0.151265	0.151265	0.151265	0.000000	0.151265	0.151265	0.156357	0.001480	0.835817	0.006346	0.094814	
113000	-120.949718	377	1	1	'0 0 0 0 0 Z 0 0 	D	0.273884	0.273884	0.273884	0.273884	0.273884	0.000000	0.273884	0.273884	0.231107	0.033717	0.664496	0.070680	0.289765	
114000	-115.939417	658	1	1	'0 0 0 0 0 Z 0 0 	D	0.147487	0.147487	0.147487	0.147487	0.147487	0.000000	0.147487	0.147487	0.084546	0.001174	0.905454	0.008826	0.186553	
115000	-116.363712	139	1	1	'0 0 0 0 0 Z 0 0 	D	0.162136	0.162136	0.162136	0.162136	0.162136	0.000000	0.162136	0.162136	0.101819	0.005000	0.860482	0.032699	0.292102	
116000	-114.215974	660	1	2	'0 0 0 0 Z Z 0 0 	D	0.142106	0.142106	0.142106	0.142106	0.000000	0.000000	0.142106	0.142106	0.942820	0.032829	0.000001	0.024350	0.099961	
117000	-117.316352	394	1	2	'0 0 0 0 0 Z 0 Z 	D	0.113344	0.113344	0.113344	0.113344	0.113344	0.000000	0.113344	0.000000	0.039225	0.000210	0.960565	0.000000	0.303522	
118000	-117.808112	211	1	3	'0 0 0 0 Z Z Z 0 	D	0.116980	0.116980	0.116980	0.116980	0.000000	0.000000	0.000000	0.116980	0.993722	0.006232	0.000046	0.000000	0.090345	
119000	-117.338824	922	1	1	'0 0 0 0 0 Z 0 0 	D	0.120672	0.120672	0.120672	0.120672	0.120672	0.000000	0.120672	0.120672	0.035581	0.000087	0.962806	0.001526	0.153411	
120000	-121.828785	582	1	1	'0 0 Z 0 0 0 0 0 	D	0.099478	0.099478	0.000000	0.099478	0.099478	0.099478	0.099478	0.099478	0.011271	0.000028	0.979230	0.009471	0.200792	
121000	-117.530727	677	1	3	'0 0 0 0 Z Z Z 0 	D	0.111593	0.111593	0.111593	0.111593	0.000000	0.000000	0.000000	0.111593	0.989352	0.010646	0.000002	0.000000	0.114291	
122000	-117.067634	939	1	1	'0 0 0 0 0 Z 0 0 	D	0.170726	0.170726	0.170726	0.170726	0.170726	0.000000	0.170726	0.170726	0.130441	0.006423	0.831653	0.031483	0.480586	
123000	-118.586587	575	1	2	'0 0 0 0 Z Z 0 0 	D	0.184554	0.184554	0.184554	0.184554	0.000000	0.000000	0.184554	0.184554	0.951093	0.031445	0.000009	0.017452	0.189079	
124000	-115.736927	89	1	1	'0 0 0 0 0 Z 0 0 	D	0.131511	0.131511	0.131511	0.131511	0.131511	0.000000	0.131511	0.131511	0.053958	0.000885	0.934235	0.010922	0.428659	
125000	-115.821255	732	1	2	'0 0 0 0 Z Z 0 0 	D	0.119839	0.119839	0.119839	0.119839	0.000000	0.000000	0.119839	0.119839	0.976300	0.013591	0.000006	0.010103	0.113499	
126000	-120.589663	311	1	1	'0 0 0 Z 0 0 0 0 	D	0.099227	0.099227	0.099227	0.000000	0.099227	0.099227	0.099227	0.099227	0.013508	0.000054	0.973167	0.013271	0.259500	
127000	-120.310294	802	1	2	'0 0 0 0 Z Z 0 0 	D	0.100853	0.100853	0.100853	0.100853	0.000000	0.000000	0.100853	0.100853	0.988167	0.004252	0.000084	0.007496	0.358280	
128000	-117.797556	378	1	2	'0 0 0 0 Z Z 0 0 	D	0.171454	0.171454	0.171454	0.171454	0.000000	0.000000	0.171454	0.171454	0.976468	0.014477	0.000012	0.009043	0.354545	
129000	-113.239749	22	2	2	'0 0 1 1 Z Z 1 1 	D	0.082139	0.082139	0.695097	0.695097	0.000000	0.000000	0.695097	0.695097	0.005149	0.167532	0.000001	0.827318	0.336656	
130000	-117.936444	413	1	2	'0 0 Z 0 0 Z 0 0 	D	0.119447	0.119447	0.000000	0.119447	0.119447	0.000000	0.119447	0.119447	0.157413	0.000008	0.837646	0.004933	0.200585	
131000	-117.105770	380	1	1	'0 0 0 0 0 Z 0 0 	D	0.196111	0.196111	0.196111	0.196111	0.196111	0.000000	0.196111	0.196111	0.171116	0.015305	0.759805	0.053775	0.458306	
132000	-116.583347	904	1	2	'0 0 Z 0 0 Z 0 0 	D	0.109673	0.109673	0.000000	0.109673	0.109673	0.000000	0.109673	0.109673	0.048791	0.000000	0.950250	0.000959	0.311153	
133000	-121.000770	911	1	1	'0 0 0 Z 0 0 0 0 	D	0.111870	0.111870	0.111870	0.000000	0.111870	0.111870	0.111870	0.111870	0.012926	0.000051	0.975009	0.012015	0.079682	
134000	-121.290993	530	1	1	'0 0 0 0 0 0 0 Z 	D	0.086090	0.086090	0.086090	0.086090	0.086090	0.086090	0.086090	0.000000	0.012937	0.000042	0.987021	0.000000	0.272278	
135000	-119.437731	409	1	0	'0 0 0 0 0 0 0 0 	I	0.093569	0.093569	0.093569	0.093569	0.093569	0.093569	0.093569	0.093569	0.003367	0.000005	0.995252	0.001377	0.469774	
136000	-116.367043	500	1	1	'0 0 0 0 0 Z 0 0 	D	0.165322	0.165322	0.165322	0.165322	0.165322	0.000000	0.165322	0.165322	0.177390	0.002443	0.811321	0.008846	0.285634	
137000	-116.513150	293	1	2	'0 0 0 0 0 Z 0 Z 	D	0.121696	0.121696	0.121696	0.121696	0.121696	0.000000	0.121696	0.000000	0.025358	0.000003	0.974639	0.000000	0.304910	
138000	-117.126496	685	1	1	'0 0 0 0 0 Z 0 0 	D	0.129487	0.129487	0.129487	0.129487	0.129487	0.000000	0.129487	0.129487	0.060944	0.001468	0.919471	0.018117	0.099372	
139000	-112.902275	881	2	1	'1 1 0 0 1 Z 0 0 	D	0.083266	0.083266	0.384780	0.384780	0.083266	0.000000	0.384780	0.384780	0.007582	0.102614	0.142369	0.747435	0.490777	
140000	-118.154393	147	1	3	'0 0 0 0 0 Z Z Z 	D	0.128098	0.128098	0.128098	0.128098	0.128098	0.000000	0.000000	0.000000	0.109397	0.000134	0.890469	0.000000	0.271792	
141000	-116.153938	215	1	1	'0 0 0 0 0 Z 0 0 	D	0.163929	0.163929	0.163929	0.163929	0.163929	0.000000	0.163929	0.163929	0.112865	0.007673	0.830908	0.048554	0.380550	
142000	-115.962609	784	1	1	'0 0 0 0 0 Z 0 0 	D	0.102089	0.102089	0.102089	0.102089	0.102089	0.000000	0.102089	0.102089	0.021705	0.000059	0.976168	0.002069	0.290827	
143000	-116.989897	894	1	2	'0 0 0 0 Z Z 0 0 	D	0.106575	0.106575	0.106575	0.106575	0.000000	0.000000	0.106575	0.106575	0.982484	0.007126	0.000003	0.010388	0.141369	
144000	-117.920515	317	1	2	'0 0 0 0 Z Z 0 0 	D	0.154877	0.154877	0.154877	0.154877	0.000000	0.000000	0.154877	0.154877	0.963750	0.024810	0.000019	0.011421	0.122976	
145000	-117.179392	943	1	1	'0 0 0 0 0 Z 0 0 	D	0.153137	0.153137	0.153137	0.153137	0.153137	0.000000	0.153137	0.153137	0.096690	0.001141	0.894024	0.008145	0.107014	
146000	-115.882326	342	1	1	'0 0 0 0 0 Z 0 0 	D	0.133705	0.133705	0.133705	0.133705	0.133705	0.000000	0.133705	0.133705	0.052742	0.000346	0.942757	0.004155	0.198869	
147000	-116.247746	520	1	1	'0 0 0 0 0 Z 0 0 	D	0.163500	0.163500	0.163500	0.163500	0.163500	0.000000	0.163500	0.163500	0.154759	0.005098	0.817483	0.022660	0.238436	
148000	-119.383687	488	1	3	'0 0 0 0 Z Z Z 0 	D	0.167727	0.167727	0.167727	0.167727	0.000000	0.000000	0.000000	0.167727	0.963286	0.036696	0.000017	0.000000	0.421398	
149000	-117.958307	202	1	2	'0 0 0 0 0 Z 0 Z 	D	0.133671	0.133671	0.133671	0.133671	0.133671	0.000000	0.133671	0.000000	0.039657	0.000067	0.960276	0.000000	0.196360	
150000	-116.159508	468	1	1	'0 0 0 0 0 Z 0 0 	D	0.142740	0.142740	0.142740	0.142740	0.142740	0.000000	0.142740	0.142740	0.078127	0.002658	0.895588	0.023627	0.359388	
151000	-116.545916	701	1	1	'0 0 0 0 0 Z 0 0 	D	0.178488	0.178488	0.178488	0.178488	0.178488	0.000000	0.178488	0.178488	0.140516	0.001913	0.849730	0.007842	0.156531	
152000	-116.238990	33	1	1	'0 0 0 0 0 Z 0 0 	D	0.135971	0.135971	0.135971	0.135971	0.135971	0.000000	0.135971	0.135971	0.056487	0.000737	0.933305	0.009472	0.175771	
153000	-116.915505	22	1	2	'0 0 0 0 Z Z 0 0 	D	0.145621	0.145621	0.145621	0.145621	0.000000	0.000000	0.145621	0.145621	0.980813	0.008441	0.000029	0.010717	0.363656	
154000	-114.871620	670	1	3	'0 0 0 0 Z Z Z 0 	D	0.130331	0.130331	0.130331	0.130331	0.000000	0.000000	0.000000	0.130331	0.994988	0.005007	0.000005	0.000000	0.271733	
155000	-113.612345	730	1	3	'0 0 0 0 Z Z Z 0 	D	0.127846	0.127846	0.127846	0.127846	0.000000	0.000000	0.000000	0.127846	0.966502	0.033496	0.000001	0.000000	0.321925	
156000	-115.541272	977	1	1	'0 0 0 0 0 Z 0 0 	D	0.151598	0.151598	0.151598	0.151598	0.151598	0.000000	0.151598	0.151598	0.082258	0.001854	0.899497	0.016390	0.129355	
157000	-118.379771	556	1	2	'0 0 0 0 Z Z 0 0 	D	0.136045	0.136045	0.136045	0.136045	0.000000	0.000000	0.136045	0.136045	0.972090	0.017905	0.000037	0.009968	0.431083	
158000	-114.794868	687	1	1	'0 0 0 0 0 Z 0 0 	D	0.120820	0.120820	0.120820	0.120820	0.120820	0.000000	0.120820	0.120820	0.095666	0.000355	0.901259	0.002719	0.381531	
159000	-116.675392	1000	1	3	'0 0 0 0 Z Z Z 0 	D	0.162043	0.162043	0.162043	0.162043	0.000000	0.000000	0.000000	0.162043	0.982798	0.017199	0.000003	0.000000	0.325613	
160000	-117.915612	20	1	1	'0 0 0 0 0 Z 0 0 	D	0.177122	0.177122	0.177122	0.177122	0.177122	0.000000	0.177122	0.177122	0.116462	0.001738	0.873724	0.008076	0.383435	
161000	-118.136984	516	1	2	'0 0 0 0 Z Z 0 0 	D	0.149404	0.149404	0.149404	0.149404	0.000000	0.000000	0.149404	0.149404	0.990592	0.002703	0.000008	0.006697	0.441490	
162000	-113.999449	661	1	2	'0 0 0 0 Z Z 0 0 	D	0.160343	0.160343	0.160343	0.160343	0.000000	0.000000	0.160343	0.160343	0.950309	0.027099	0.000001	0.022591	0.190249	
163000	-118.656712	707	1	2	'0 0 Z 0 0 Z 0 0 	D	0.088801	0.088801	0.000000	0.088801	0.088801	0.000000	0.088801	0.088801	0.010733	0.000002	0.987091	0.002174	0.430249	
164000	-114.447133	660	1	2	'0 0 0 0 Z Z 0 0 	D	0.150239	0.150239	0.150239	0.150239	0.000000	0.000000	0.150239	0.150239	0.936253	0.036610	0.000001	0.027136	0.454748	
165000	-117.669507	653	1	1	'0 0 0 0 0 Z 0 0 	D	0.131096	0.131096	0.131096	0.131096	0.131096	0.000000	0.131096	0.131096	0.063373	0.000794	0.926356	0.009477	0.108630	
166000	-120.278220	887	1	0	'0 0 0 0 0 0 0 0 	I	0.093296	0.093296	0.093296	0.093296	0.093296	0.093296	0.093296	0.093296	0.044954	0.002143	0.909544	0.043359	0.261047	
167000	-114.718732	251	2	0	'1 1 0 0 1 1 0 0 	D	0.088808	0.088808	0.851963	0.851963	0.088808	0.088808	0.851963	0.851963	0.014599	0.180591	0.267052	0.537758	0.324936	
168000	-116.026614	317	2	1	'1 1 0 0 Z 1 1 0 	D	0.103470	0.103470	0.516494	0.516494	0.000000	0.103470	0.103470	0.516494	0.119809	0.395659	0.081389	0.403143	0.330437	
169000	-116.738782	672	1	1	'0 0 0 0 0 Z 0 0 	D	0.118384	0.118384	0.118384	0.118384	0.118384	0.000000	0.118384	0.118384	0.037698	0.000081	0.960940	0.001281	0.211803	
170000	-119.675073	113	1	2	'0 0 Z 0 0 Z 0 0 	D	0.125182	0.125182	0.000000	0.125182	0.125182	0.000000	0.125182	0.125182	0.059561	0.000416	0.908935	0.031089	0.193364	
171000	-119.204022	100	1	3	'0 0 0 0 0 Z Z Z 	D	0.139653	0.139653	0.139653	0.139653	0.139653	0.000000	0.000000	0.000000	0.042110	0.000073	0.957817	0.000000	0.163011	
172000	-116.076108	715	1	1	'0 0 0 0 0 Z 0 0 	D	0.115648	0.115648	0.115648	0.115648	0.115648	0.000000	0.115648	0.115648	0.048344	0.001169	0.931009	0.019478	0.178533	
173000	-116.570912	295	1	1	'0 0 0 0 0 Z 0 0 	D	0.160644	0.160644	0.160644	0.160644	0.160644	0.000000	0.160644	0.160644	0.099976	0.003843	0.869786	0.026395	0.092039	
174000	-116.453668	296	1	1	'0 0 0 0 0 Z 0 0 	D	0.112985	0.112985	0.112985	0.112985	0.112985	0.000000	0.112985	0.112985	0.056306	0.000092	0.942406	0.001196	0.084942	
175000	-114.547955	748	1	1	'0 0 0 0 0 Z 0 0 	D	0.136100	0.136100	0.136100	0.136100	0.136100	0.000000	0.136100	0.136100	0.066487	0.001871	0.910799	0.020843	0.304272	
176000	-121.046120	110	1	1	'0 0 0 0 0 0 0 Z 	D	0.084520	0.084520	0.084520	0.084520	0.084520	0.084520	0.084520	0.000000	0.020601	0.000109	0.979290	0.000000	0.152623	
177000	-120.168475	653	1	3	'0 0 0 0 Z Z Z 0 	D	0.118588	0.118588	0.118588	0.118588	0.000000	0.000000	0.000000	0.118588	0.990610	0.009345	0.000045	0.000000	0.085408	
178000	-121.295160	310	1	1	'0 0 0 Z 0 0 0 0 	D	0.081410	0.081410	0.081410	0.000000	0.081410	0.081410	0.081410	0.081410	0.010739	0.000033	0.978562	0.010667	0.257614	
179000	-117.847803	350	1	3	'0 0 0 0 0 Z Z Z 	D	0.160154	0.160154	0.160154	0.160154	0.160154	0.000000	0.000000	0.000000	0.062689	0.000343	0.936968	0.000000	0.274989	
180000	-118.691961	42	2	3	'0 0 1 0 Z Z Z 1 	D	0.182953	0.182953	0.187970	0.182953	0.000000	0.000000	0.000000	0.187970	0.978203	0.021788	0.000008	0.000000	0.150809	
181000	-113.688417	266	1	1	'0 0 0 0 0 Z 0 0 	D	0.150536	0.150536	0.150536	0.150536	0.150536	0.000000	0.150536	0.150536	0.122215	0.011613	0.801510	0.064662	0.150888	
182000	-118.196251	224	1	3	'0 0 0 0 Z Z Z 0 	D	0.140978	0.140978	0.140978	0.140978	0.000000	0.000000	0.000000	0.140978	0.987046	0.012917	0.000036	0.000000	0.280875	
183000	-114.652872	660	1	3	'0 0 0 0 Z Z Z 0 	D	0.162669	0.162669	0.162669	0.162669	0.000000	0.000000	0.000000	0.162669	0.952643	0.047356	0.000001	0.000000	0.326617	
184000	-116.948710	577	1	3	'0 0 0 0 Z Z Z 0 	D	0.117469	0.117469	0.117469	0.117469	0.000000	0.000000	0.000000	0.117469	0.996625	0.003365	0.000010	0.000000	0.302766	
185000	-114.279054	660	1	2	'0 0 0 0 Z Z 0 0 	D	0.144727	0.144727	0.144727	0.144727	0.000000	0.000000	0.144727	0.144727	0.940739	0.034027	0.000001	0.025233	0.382487	
186000	-115.644148	266	1	2	'0 0 Z 0 0 Z 0 0 	D	0.153057	0.153057	0.000000	0.153057	0.153057	0.000000	0.153057	0.153057	0.104706	0.002114	0.828967	0.064213	0.101708	
187000	-114.344451	660	1	3	'0 0 0 0 Z Z Z 0 	D	0.156384	0.156384	0.156384	0.156384	0.000000	0.000000	0.000000	0.156384	0.956446	0.043552	0.000001	0.000000	0.280264	
188000	-117.601331	454	1	3	'0 0 0 0 Z Z Z 0 	D	0.119412	0.119412	0.119412	0.119412	0.000000	0.000000	0.000000	0.119412	0.992983	0.006985	0.000032	0.000000	0.123893	
189000	-114.577154	41	2	1	'1 1 1 1 0 Z 1 1 	D	0.122967	0.122967	0.122967	0.122967	0.056907	0.000000	0.122967	0.122967	0.046652	0.000443	0.946250	0.006654	0.112021	
190000	-117.879468	863	1	3	'0 0 0 0 Z Z Z 0 	D	0.137687	0.137687	0.137687	0.137687	0.000000	0.000000	0.000000	0.137687	0.996694	0.003282	0.000024	0.000000	0.429920	
191000	-115.793473	697	1	1	'0 0 0 0 0 Z 0 0 	D	0.145478	0.145478	0.145478	0.145478	0.145478	0.000000	0.145478	0.145478	0.084552	0.002715	0.888892	0.023841	0.356372	
192000	-113.709113	730	1	3	'0 0 0 0 Z Z Z 0 	D	0.139801	0.139801	0.139801	0.139801	0.000000	0.000000	0.000000	0.139801	0.959970	0.040028	0.000001	0.000000	0.352559	
193000	-119.800259	69	1	2	'0 0 0 0 Z Z 0 0 	D	0.186795	0.186795	0.186795	0.186795	0.000000	0.000000	0.186795	0.186795	0.964316	0.013636	0.000008	0.022040	0.129609	
194000	-121.825215	517	1	3	'0 0 Z 0 Z Z 0 0 	D	0.144558	0.144558	0.000000	0.144558	0.000000	0.000000	0.144558	0.144558	0.999959	0.000000	0.000040	0.000001	0.451782	
195000	-118.229781	350	1	0	'0 0 0 0 0 0 0 0 	I	0.086460	0.086460	0.086460	0.086460	0.086460	0.086460	0.086460	0.086460	0.006466	0.000033	0.988412	0.005089	0.316311	
196000	-121.210322	414	1	1	'0 0 0 Z 0 0 0 0 	D	0.083725	0.083725	0.083725	0.000000	0.083725	0.083725	0.083725	0.083725	0.010898	0.000037	0.978290	0.010775	0.326300	
197000	-116.754612	309	1	1	'0 0 0 0 0 Z 0 0 	D	0.103483	0.103483	0.103483	0.103483	0.103483	0.000000	0.103483	0.103483	0.033458	0.000465	0.954378	0.011699	0.111331	
198000	-118.148063	145	1	3	'0 0 0 0 Z Z Z 0 	D	0.164213	0.164213	0.164213	0.164213	0.000000	0.000000	0.000000	0.164213	0.988677	0.011318	0.000004	0.000000	0.128258	
199000	-115.311020	512	1	1	'0 0 0 0 0 Z 0 0 	D	0.111531	0.111531	0.111531	0.111531	0.111531	0.000000	0.111531	0.111531	0.028237	0.000249	0.964656	0.006858	0.054873	
200000	-116.317462	96	1	3	'0 0 0 0 Z Z Z 0 	D	0.120521	0.120521	0.120521	0.120521	0.000000	0.000000	0.000000	0.120521	0.986471	0.013468	0.000061	0.000001	0.060436	
201000	-116.540487	443	1	1	'0 0 0 0 0 Z 0 0 	D	0.115189	0.115189	0.115189	0.115189	0.115189	0.000000	0.115189	0.115189	0.056572	0.001340	0.923623	0.018465	0.490971	
202000	-116.324166	300	1	1	'0 0 0 0 0 Z 0 0 	D	0.121166	0.121166	0.121166	0.121166	0.121166	0.000000	0.121166	0.121166	0.076921	0.004859	0.870972	0.047247	0.136157	
203000	-118.034498	543	1	3	'0 0 0 0 Z Z Z 0 	D	0.165250	0.165250	0.165250	0.165250	0.000000	0.000000	0.000000	0.165250	0.950138	0.049848	0.000013	0.000001	0.417521	
204000	-115.091186	449	1	1	'0 0 0 0 0 Z 0 0 	D	0.147143	0.147143	0.147143	0.147143	0.147143	0.000000	0.147143	0.147143	0.318498	0.015490	0.638574	0.027438	0.171563	
205000	-115.960747	360	1	1	'0 0 0 0 0 Z 0 0 	D	0.153132	0.153132	0.153132	0.153132	0.153132	0.000000	0.153132	0.153132	0.093501	0.003099	0.879315	0.024085	0.275520	
206000	-116.017887	717	1	1	'0 0 0 0 0 Z 0 0 	D	0.156385	0.156385	0.156385	0.156385	0.156385	0.000000	0.156385	0.156385	0.088747	0.002223	0.891761	0.017269	0.348095	
207000	-111.524035	661	2	1	'1 1 0 0 1 Z 0 1 	D	0.126427	0.126427	0.234640	0.234640	0.126427	0.000000	0.234640	0.126427	0.329176	0.017397	0.633251	0.020175	0.304461	
208000	-120.612133	542	1	2	'0 0 0 0 Z Z 0 0 	D	0.131075	0.131075	0.131075	0.131075	0.000000	0.000000	0.131075	0.131075	0.948133	0.041940	0.000046	0.009881	0.235025	
209000	-120.500269	106	1	2	'0 0 Z 0 0 Z 0 0 	D	0.179441	0.179441	0.000000	0.179441	0.179441	0.000000	0.179441	0.179441	0.085727	0.000395	0.884263	0.029615	0.466125	
210000	-116.078309	565	1	1	'0 0 0 0 0 Z 0 0 	D	0.125533	0.125533	0.125533	0.125533	0.125533	0.000000	0.125533	0.125533	0.162908	0.001154	0.830939	0.005000	0.081731	
211000	-120.625882	810	1	0	'0 0 0 0 0 0 0 0 	I	0.129055	0.129055	0.129055	0.129055	0.129055	0.129055	0.129055	0.129055	0.072559	0.004046	0.874622	0.048772	0.210210	
212000	-116.765416	783	1	1	'0 0 0 0 0 Z 0 0 	D	0.124907	0.124907	0.124907	0.124907	0.124907	0.000000	0.124907	0.124907	0.043748	0.001039	0.936506	0.018707	0.292333	
213000	-113.608797	730	1	3	'0 0 0 0 Z Z Z 0 	D	0.129130	0.129130	0.129130	0.129130	0.000000	0.000000	0.000000	0.129130	0.965830	0.034169	0.000001	0.000000	0.248896	
214000	-118.673175	613	1	2	'0 0 0 0 0 Z 0 Z 	D	0.159468	0.159468	0.159468	0.159468	0.159468	0.000000	0.159468	0.000000	0.057335	0.000267	0.942397	0.000001	0.430546	
215000	-114.903975	112	1	1	'0 0 0 0 0 Z 0 0 	D	0.130089	0.130089	0.130089	0.130089	0.130089	0.000000	0.130089	0.130089	0.066580	0.000488	0.927850	0.005082	0.057535	
216000	-116.994329	373	1	1	'0 0 0 0 0 Z 0 0 	D	0.120465	0.120465	0.120465	0.120465	0.120465	0.000000	0.120465	0.120465	0.049605	0.000357	0.944895	0.005144	0.408457	
217000	-118.129846	489	1	2	'0 0 0 0 Z Z 0 0 	D	0.130181	0.130181	0.130181	0.130181	0.000000	0.000000	0.130181	0.130181	0.985730	0.008367	0.000075	0.005827	0.461489	
218000	-113.932392	660	1	3	'0 0 0 0 Z Z Z 0 	D	0.145120	0.145120	0.145120	0.145120	0.000000	0.000000	0.000000	0.145120	0.962814	0.037184	0.000001	0.000000	0.236268	
219000	-116.883096	730	1	4	'0 0 0 0 Z Z Z Z 	D	0.136327	0.136327	0.136327	0.136327	0.000000	0.000000	0.000000	0.000000	0.981580	0.018419	0.000001	0.000000	0.276943	
220000	-117.147382	701	1	1	'0 0 0 0 0 Z 0 0 	D	0.192035	0.192035	0.192035	0.192035	0.192035	0.000000	0.192035	0.192035	0.159007	0.002986	0.827658	0.010349	0.226261	
221000	-116.141443	449	1	2	'0 0 0 0 Z Z 0 0 	D	0.174603	0.174603	0.174603	0.174603	0.000000	0.000000	0.174603	0.174603	0.896528	0.058543	0.000001	0.044928	0.204593	
222000	-115.662630	670	1	3	'0 0 0 0 Z Z Z 0 	D	0.170290	0.170290	0.170290	0.170290	0.000000	0.000000	0.000000	0.170290	0.988077	0.011919	0.000003	0.000000	0.444019	
223000	-111.163801	418	2	1	'1 1 0 0 1 Z 0 0 	D	0.107558	0.107558	0.512377	0.512377	0.107558	0.000000	0.512377	0.512377	0.074140	0.222429	0.123556	0.579875	0.224980	
224000	-115.479433	701	1	1	'0 0 0 0 0 Z 0 0 	D	0.138763	0.138763	0.138763	0.138763	0.138763	0.000000	0.138763	0.138763	0.086639	0.000381	0.909992	0.002988	0.235676	
