Default schedule
Rate	71.43
Prior Change	14.29
Tree Move	14.29
Rate Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
716	0.321229	150	0.273333	134	0.723881	2.102489	716	0.321229	0.368000	0.343871	
719	0.293463	143	0.244755	138	0.601449	2.102489	719	0.293463	0.329000	0.343687	
685	0.318248	154	0.350649	161	0.652174	2.102489	685	0.318248	0.377000	0.344093	
728	0.293956	149	0.315436	123	0.691057	2.102489	728	0.293956	0.346000	0.344116	
721	0.288488	144	0.215278	135	0.718519	2.102489	721	0.288488	0.336000	0.344020	
706	0.324363	144	0.333333	150	0.640000	2.102489	706	0.324363	0.373000	0.344361	
724	0.337017	142	0.260563	134	0.626866	2.102489	724	0.337017	0.365000	0.344601	
709	0.325811	153	0.320261	138	0.666667	2.102489	709	0.325811	0.372000	0.344916	
720	0.340278	146	0.246575	134	0.507463	2.102489	720	0.340278	0.349000	0.344962	
708	0.341808	161	0.316770	131	0.664122	2.102489	708	0.341808	0.380000	0.345356	
722	0.349030	142	0.281690	136	0.654412	2.102489	722	0.349030	0.381000	0.345752	
691	0.315485	145	0.358621	164	0.756098	2.102489	691	0.315485	0.394000	0.346282	
717	0.337517	150	0.273333	133	0.691729	2.102489	717	0.337517	0.375000	0.346594	
681	0.290749	162	0.296296	157	0.662420	2.102489	681	0.290749	0.350000	0.346631	
724	0.295580	153	0.241830	123	0.642276	2.102489	724	0.295580	0.330000	0.346454	
712	0.332865	139	0.359712	149	0.610738	2.102489	712	0.332865	0.378000	0.346786	
697	0.276901	157	0.292994	146	0.746575	2.102489	697	0.276901	0.348000	0.346798	
705	0.341844	142	0.225352	153	0.575163	2.102489	705	0.341844	0.361000	0.346945	
709	0.328632	152	0.289474	139	0.568345	2.102489	709	0.328632	0.356000	0.347037	
716	0.324022	124	0.314516	160	0.675000	2.102489	716	0.324022	0.379000	0.347360	
716	0.318436	139	0.244604	145	0.593103	2.102489	716	0.318436	0.348000	0.347367	
693	0.336219	171	0.269006	136	0.647059	2.102489	693	0.336219	0.367000	0.347561	
725	0.311724	138	0.275362	137	0.605839	2.102489	725	0.311724	0.347000	0.347555	
693	0.291486	139	0.273381	168	0.654762	2.102489	693	0.291486	0.350000	0.347579	
711	0.284107	115	0.260870	174	0.724138	2.102489	711	0.284107	0.358000	0.347679	
724	0.321823	136	0.213235	140	0.664286	2.102489	724	0.321823	0.355000	0.347749	
707	0.347949	153	0.254902	140	0.757143	2.102489	707	0.347949	0.391000	0.348157	
713	0.319776	143	0.237762	144	0.673611	2.102489	713	0.319776	0.359000	0.348258	
705	0.275177	151	0.245033	144	0.625000	2.102489	705	0.275177	0.321000	0.348006	
695	0.326619	156	0.275641	149	0.624161	2.102489	695	0.326619	0.363000	0.348144	
693	0.308802	143	0.321678	164	0.591463	2.102489	693	0.308802	0.357000	0.348224	
712	0.342697	128	0.359375	160	0.768750	2.102489	712	0.342697	0.413000	0.348808	
699	0.294707	149	0.335570	152	0.618421	2.102489	699	0.294707	0.350000	0.348818	
