Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_pol.bin2.txt
Log File Name:                   DEP_pol2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3996754486
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
125000	-134.154259	288	1	2	'0 0 0 0 Z Z 0 0 	D	0.179542	0.179542	0.179542	0.179542	0.000000	0.000000	0.179542	0.179542	0.439559	0.157092	0.000000	0.403349	0.274481	
126000	-133.046496	352	1	0	'0 0 0 0 0 0 0 0 	I	0.148081	0.148081	0.148081	0.148081	0.148081	0.148081	0.148081	0.148081	0.075832	0.006527	0.844923	0.072719	0.188359	
127000	-134.048931	201	1	1	'0 0 0 0 0 Z 0 0 	D	0.162121	0.162121	0.162121	0.162121	0.162121	0.000000	0.162121	0.162121	0.219605	0.071469	0.330320	0.378606	0.499061	
128000	-135.114295	784	1	1	'0 0 0 0 Z 0 0 0 	D	0.211105	0.211105	0.211105	0.211105	0.000000	0.211105	0.211105	0.211105	0.747432	0.079040	0.089032	0.084497	0.429048	
129000	-132.610983	489	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.212216	0.212216	0.212216	0.000000	0.000000	0.212216	0.212216	0.000000	0.284244	0.000000	0.715756	0.060933	
130000	-134.877412	208	1	3	'0 0 0 0 0 Z Z Z 	D	0.166953	0.166953	0.166953	0.166953	0.166953	0.000000	0.000000	0.000000	0.362348	0.001113	0.636538	0.000000	0.236071	
131000	-134.949203	370	1	1	'0 0 0 0 Z 0 0 0 	D	0.160807	0.160807	0.160807	0.160807	0.000000	0.160807	0.160807	0.160807	0.843458	0.035297	0.072131	0.049114	0.193057	
132000	-136.381262	345	1	1	'0 0 0 0 0 0 Z 0 	D	0.118666	0.118666	0.118666	0.118666	0.118666	0.118666	0.000000	0.118666	0.173599	0.004849	0.811454	0.010099	0.201736	
133000	-135.361489	370	1	1	'0 0 0 0 0 0 Z 0 	D	0.152596	0.152596	0.152596	0.152596	0.152596	0.152596	0.000000	0.152596	0.218734	0.018155	0.713980	0.049131	0.030389	
134000	-135.061194	996	1	0	'0 0 0 0 0 0 0 0 	I	0.191056	0.191056	0.191056	0.191056	0.191056	0.191056	0.191056	0.191056	0.186894	0.015432	0.736833	0.060840	0.348147	
135000	-132.552502	636	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.191249	0.191249	0.191249	0.000000	0.000000	0.191249	0.191249	0.000000	0.254396	0.000000	0.745604	0.108834	
136000	-133.126367	8	1	0	'0 0 0 0 0 0 0 0 	I	0.134104	0.134104	0.134104	0.134104	0.134104	0.134104	0.134104	0.134104	0.071871	0.003494	0.881771	0.042864	0.382753	
137000	-133.521124	895	1	2	'0 0 0 0 Z Z 0 0 	D	0.243771	0.243771	0.243771	0.243771	0.000000	0.000000	0.243771	0.243771	0.304459	0.295469	0.000000	0.400073	0.441716	
138000	-134.185768	190	1	0	'0 0 0 0 0 0 0 0 	I	0.119397	0.119397	0.119397	0.119397	0.119397	0.119397	0.119397	0.119397	0.029151	0.001054	0.935956	0.033839	0.313170	
139000	-135.028517	473	1	1	'0 0 0 0 0 0 Z 0 	D	0.140926	0.140926	0.140926	0.140926	0.140926	0.140926	0.000000	0.140926	0.166991	0.014062	0.766031	0.052917	0.471019	
140000	-133.409317	301	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.184524	0.184524	0.184524	0.000000	0.000000	0.184524	0.184524	0.000000	0.282615	0.000000	0.717385	0.285547	
141000	-135.417365	578	1	1	'0 0 0 0 0 0 0 Z 	D	0.148074	0.148074	0.148074	0.148074	0.148074	0.148074	0.148074	0.000000	0.088531	0.000437	0.911031	0.000001	0.359209	
142000	-134.388464	264	1	0	'0 0 0 0 0 0 0 0 	I	0.147753	0.147753	0.147753	0.147753	0.147753	0.147753	0.147753	0.147753	0.073821	0.004087	0.873715	0.048376	0.168199	
143000	-134.833279	987	1	1	'0 0 0 0 Z 0 0 0 	D	0.231736	0.231736	0.231736	0.231736	0.000000	0.231736	0.231736	0.231736	0.725343	0.098772	0.080597	0.095289	0.170907	
144000	-135.396280	845	1	0	'0 0 0 0 0 0 0 0 	I	0.142542	0.142542	0.142542	0.142542	0.142542	0.142542	0.142542	0.142542	0.062064	0.002490	0.899363	0.036084	0.332969	
145000	-132.293712	939	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.191792	0.191792	0.191792	0.000000	0.000000	0.191792	0.191792	0.000000	0.284099	0.000000	0.715901	0.383280	
146000	-133.205921	950	1	2	'Z 0 0 0 0 Z 0 0 	I	0.000000	0.217018	0.217018	0.217018	0.217018	0.000000	0.217018	0.217018	0.000000	0.311872	0.000000	0.688128	0.465183	
147000	-133.979357	947	1	1	'0 0 0 0 0 Z 0 0 	D	0.262555	0.262555	0.262555	0.262555	0.262555	0.000000	0.262555	0.262555	0.238315	0.253985	0.170265	0.337434	0.378127	
148000	-134.160678	913	1	1	'0 0 0 0 Z 0 0 0 	D	0.186425	0.186425	0.186425	0.186425	0.000000	0.186425	0.186425	0.186425	0.809703	0.074520	0.060043	0.055734	0.077235	
149000	-132.280693	725	1	1	'0 0 0 0 0 Z 0 0 	D	0.206442	0.206442	0.206442	0.206442	0.206442	0.000000	0.206442	0.206442	0.246501	0.145523	0.219944	0.388032	0.185342	
150000	-133.888592	819	1	1	'0 0 0 0 0 Z 0 0 	D	0.233937	0.233937	0.233937	0.233937	0.233937	0.000000	0.233937	0.233937	0.227662	0.203559	0.181123	0.387656	0.256915	
151000	-133.593125	392	1	1	'0 0 0 0 Z 0 0 0 	D	0.154111	0.154111	0.154111	0.154111	0.000000	0.154111	0.154111	0.154111	0.854287	0.056844	0.054094	0.034776	0.105614	
152000	-136.564855	991	1	2	'0 0 0 0 Z 0 Z 0 	I	0.153183	0.153183	0.153183	0.153183	0.000000	0.153183	0.000000	0.153183	0.938293	0.061700	0.000006	0.000000	0.383337	
153000	-132.883672	234	1	0	'0 0 0 0 0 0 0 0 	I	0.138224	0.138224	0.138224	0.138224	0.138224	0.138224	0.138224	0.138224	0.082857	0.003494	0.876677	0.036972	0.162585	
154000	-135.822781	515	1	0	'0 0 0 0 0 0 0 0 	I	0.201798	0.201798	0.201798	0.201798	0.201798	0.201798	0.201798	0.201798	0.235770	0.051087	0.586139	0.127005	0.094671	
