Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_agr.txt
Log File Name:                   DEP_agr.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            884579305
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_agr.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
125000	-138.083988	634	1	1	'0 0 0 0 0 0 0 Z 	D	0.304722	0.304722	0.304722	0.304722	0.304722	0.304722	0.304722	0.000000	0.074386	0.291529	0.116167	0.517919	0.279926	
126000	-139.081587	171	1	1	'0 0 0 0 0 0 Z 0 	D	0.116008	0.116008	0.116008	0.116008	0.116008	0.116008	0.000000	0.116008	0.023899	0.948646	0.018882	0.008574	0.214178	
127000	-136.325808	383	1	1	'0 0 0 0 0 0 0 Z 	D	0.256240	0.256240	0.256240	0.256240	0.256240	0.256240	0.256240	0.000000	0.070380	0.250944	0.194030	0.484646	0.381763	
128000	-137.437773	765	1	1	'0 0 0 0 0 0 0 Z 	D	0.176695	0.176695	0.176695	0.176695	0.176695	0.176695	0.176695	0.000000	0.040391	0.238717	0.243380	0.477513	0.237291	
129000	-132.444834	206	2	1	'1 1 1 0 0 1 0 Z 	D	0.638121	0.638121	0.638121	0.036037	0.036037	0.638121	0.036037	0.000000	0.583159	0.327865	0.042063	0.046913	0.172116	
130000	-137.724872	122	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.186129	0.186129	0.186129	0.186129	0.186129	0.186129	0.000000	0.002632	0.162933	0.077412	0.757023	0.148714	
131000	-139.612986	4	1	3	'0 0 0 0 Z Z 0 Z 	D	0.232194	0.232194	0.232194	0.232194	0.000000	0.000000	0.232194	0.000000	0.003535	0.146327	0.000000	0.850137	0.165082	
132000	-136.921526	296	1	3	'0 0 0 0 Z 0 Z Z 	D	0.150558	0.150558	0.150558	0.150558	0.000000	0.150558	0.000000	0.000000	0.029528	0.970472	0.000000	0.000000	0.209174	
133000	-137.171496	578	1	1	'0 0 0 0 0 0 0 Z 	D	0.147925	0.147925	0.147925	0.147925	0.147925	0.147925	0.147925	0.000000	0.004322	0.169028	0.042960	0.783690	0.366891	
134000	-136.896664	693	1	3	'0 0 0 0 Z 0 Z Z 	D	0.186568	0.186568	0.186568	0.186568	0.000000	0.186568	0.000000	0.000000	0.098880	0.901120	0.000001	0.000000	0.276185	
135000	-137.499697	974	1	3	'0 0 0 0 Z 0 Z Z 	D	0.205131	0.205131	0.205131	0.205131	0.000000	0.205131	0.000000	0.000000	0.091661	0.908339	0.000000	0.000000	0.384837	
136000	-139.053848	392	1	3	'0 0 0 0 Z 0 Z Z 	D	0.136267	0.136267	0.136267	0.136267	0.000000	0.136267	0.000000	0.000000	0.025302	0.974696	0.000000	0.000002	0.292657	
137000	-137.127457	834	1	3	'0 0 0 0 Z 0 Z Z 	D	0.232562	0.232562	0.232562	0.232562	0.000000	0.232562	0.000000	0.000000	0.153841	0.846159	0.000000	0.000001	0.198458	
138000	-138.759603	489	1	1	'0 0 0 0 0 0 0 Z 	D	0.359175	0.359175	0.359175	0.359175	0.359175	0.359175	0.359175	0.000000	0.099451	0.282473	0.146126	0.471950	0.494697	
139000	-137.601070	703	1	1	'0 0 0 0 0 0 0 Z 	D	0.293011	0.293011	0.293011	0.293011	0.293011	0.293011	0.293011	0.000000	0.087535	0.266833	0.185707	0.459924	0.386898	
140000	-137.737480	225	1	1	'0 0 0 0 0 0 0 Z 	D	0.173541	0.173541	0.173541	0.173541	0.173541	0.173541	0.173541	0.000000	0.012951	0.191428	0.066285	0.729336	0.189564	
141000	-136.443772	661	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.186564	0.186564	0.186564	0.186564	0.186564	0.186564	0.000000	0.001235	0.155060	0.067792	0.775913	0.402037	
142000	-136.909145	415	1	1	'0 0 0 0 0 0 0 Z 	D	0.241479	0.241479	0.241479	0.241479	0.241479	0.241479	0.241479	0.000000	0.037102	0.252354	0.096939	0.613605	0.175716	
143000	-138.881668	544	1	1	'0 0 0 0 0 0 0 Z 	D	0.128882	0.128882	0.128882	0.128882	0.128882	0.128882	0.128882	0.000000	0.020667	0.322164	0.157226	0.499943	0.193638	
144000	-138.298943	824	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.185794	0.185794	0.185794	0.185794	0.185794	0.185794	0.000000	0.000346	0.165970	0.052853	0.780831	0.354527	
145000	-136.008423	601	1	1	'0 0 0 0 0 0 0 Z 	D	0.193434	0.193434	0.193434	0.193434	0.193434	0.193434	0.193434	0.000000	0.032810	0.202325	0.104166	0.660699	0.295412	
146000	-136.776995	308	1	1	'0 0 0 0 0 0 0 Z 	D	0.154392	0.154392	0.154392	0.154392	0.154392	0.154392	0.154392	0.000000	0.009738	0.157230	0.056849	0.776184	0.162818	
147000	-136.496547	634	2	1	'0 0 0 Z 0 0 1 1 	D	0.972105	0.972105	0.972105	0.000000	0.972105	0.972105	0.061480	0.061480	0.276129	0.221612	0.308990	0.193269	0.280656	
148000	-142.338412	599	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.305406	0.305406	0.305406	0.305406	0.305406	0.305406	0.000000	0.005048	0.151058	0.099929	0.743965	0.312560	
149000	-139.084368	754	1	2	'0 0 0 0 0 Z 0 Z 	D	0.286499	0.286499	0.286499	0.286499	0.286499	0.000000	0.286499	0.000000	0.011871	0.189825	0.000426	0.797878	0.194008	
150000	-135.555143	470	1	1	'0 0 0 0 0 0 0 Z 	D	0.167097	0.167097	0.167097	0.167097	0.167097	0.167097	0.167097	0.000000	0.006182	0.160518	0.063203	0.770096	0.204369	
151000	-137.809129	685	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.190259	0.190259	0.190259	0.190259	0.190259	0.190259	0.000000	0.001459	0.125788	0.061913	0.810840	0.381869	
152000	-137.972403	615	1	3	'0 0 0 0 Z 0 Z Z 	D	0.171099	0.171099	0.171099	0.171099	0.000000	0.171099	0.000000	0.000000	0.134041	0.865958	0.000000	0.000001	0.343881	
153000	-139.415734	325	1	3	'0 0 0 0 Z Z 0 Z 	D	0.195450	0.195450	0.195450	0.195450	0.000000	0.000000	0.195450	0.000000	0.000529	0.102224	0.000000	0.897247	0.461912	
154000	-140.392772	434	1	3	'0 0 0 0 Z Z 0 Z 	D	0.191616	0.191616	0.191616	0.191616	0.000000	0.000000	0.191616	0.000000	0.003777	0.156908	0.000000	0.839314	0.439218	
155000	-140.435852	557	1	3	'0 0 0 0 Z Z 0 Z 	D	0.284108	0.284108	0.284108	0.284108	0.000000	0.000000	0.284108	0.000000	0.003927	0.159275	0.000000	0.836798	0.382704	
156000	-137.255187	67	1	1	'0 0 0 0 0 0 0 Z 	D	0.185412	0.185412	0.185412	0.185412	0.185412	0.185412	0.185412	0.000000	0.025708	0.214079	0.082112	0.678101	0.297410	
157000	-138.054804	529	1	3	'0 0 0 0 Z 0 Z Z 	D	0.159485	0.159485	0.159485	0.159485	0.000000	0.159485	0.000000	0.000000	0.092715	0.907284	0.000000	0.000001	0.095223	
158000	-140.322211	82	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.148289	0.148289	0.148289	0.148289	0.148289	0.148289	0.000000	0.000067	0.124128	0.023573	0.852231	0.183020	
159000	-136.654747	377	1	1	'0 0 0 0 0 0 0 Z 	D	0.290546	0.290546	0.290546	0.290546	0.290546	0.290546	0.290546	0.000000	0.064770	0.273811	0.112685	0.548734	0.219602	
160000	-139.347787	729	1	1	'0 0 0 0 0 0 Z 0 	D	0.167082	0.167082	0.167082	0.167082	0.167082	0.167082	0.000000	0.167082	0.053009	0.873954	0.031142	0.041894	0.185767	
161000	-137.204862	96	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.166477	0.166477	0.166477	0.166477	0.166477	0.166477	0.000000	0.000555	0.116725	0.048041	0.834679	0.264805	
162000	-137.252474	7	1	1	'0 0 0 0 0 0 0 Z 	D	0.275305	0.275305	0.275305	0.275305	0.275305	0.275305	0.275305	0.000000	0.088607	0.256702	0.158229	0.496463	0.442372	
163000	-137.120825	175	1	1	'0 0 0 0 0 0 0 Z 	D	0.208316	0.208316	0.208316	0.208316	0.208316	0.208316	0.208316	0.000000	0.024494	0.227335	0.086590	0.661580	0.342453	
164000	-136.498579	615	1	1	'0 0 0 0 0 0 0 Z 	D	0.198231	0.198231	0.198231	0.198231	0.198231	0.198231	0.198231	0.000000	0.046215	0.206338	0.126178	0.621270	0.157813	
165000	-135.339540	938	1	1	'0 0 0 0 0 0 0 Z 	D	0.175788	0.175788	0.175788	0.175788	0.175788	0.175788	0.175788	0.000000	0.011610	0.229937	0.070753	0.687699	0.125535	
166000	-137.866290	231	1	2	'0 0 0 0 0 0 Z Z 	D	0.198294	0.198294	0.198294	0.198294	0.198294	0.198294	0.000000	0.000000	0.148635	0.806526	0.044839	0.000000	0.269671	
167000	-138.591097	556	1	0	'0 0 0 0 0 0 0 0 	I	0.141614	0.141614	0.141614	0.141614	0.141614	0.141614	0.141614	0.141614	0.002921	0.069194	0.037589	0.890295	0.349316	
168000	-139.528992	215	1	3	'0 0 0 0 Z Z 0 Z 	D	0.257678	0.257678	0.257678	0.257678	0.000000	0.000000	0.257678	0.000000	0.009059	0.168824	0.000000	0.822116	0.231372	
169000	-137.096171	774	1	2	'0 0 0 0 0 0 Z Z 	D	0.177046	0.177046	0.177046	0.177046	0.177046	0.177046	0.000000	0.000000	0.069916	0.876100	0.053984	0.000000	0.220691	
170000	-136.304259	378	1	1	'0 0 0 0 0 0 0 Z 	D	0.165894	0.165894	0.165894	0.165894	0.165894	0.165894	0.165894	0.000000	0.006848	0.194711	0.037833	0.760608	0.333235	
171000	-139.100489	657	1	1	'0 0 0 0 0 0 Z 0 	D	0.173026	0.173026	0.173026	0.173026	0.173026	0.173026	0.000000	0.173026	0.032119	0.892990	0.036944	0.037946	0.075460	
172000	-138.202999	90	1	2	'0 0 0 0 0 0 Z Z 	D	0.214679	0.214679	0.214679	0.214679	0.214679	0.214679	0.000000	0.000000	0.105588	0.805582	0.088830	0.000000	0.150143	
173000	-137.145807	926	1	3	'0 0 0 0 Z 0 Z Z 	D	0.153643	0.153643	0.153643	0.153643	0.000000	0.153643	0.000000	0.000000	0.056607	0.943392	0.000000	0.000001	0.344581	
174000	-137.893731	296	1	2	'0 0 0 0 0 0 Z Z 	D	0.154519	0.154519	0.154519	0.154519	0.154519	0.154519	0.000000	0.000000	0.020953	0.933528	0.045519	0.000000	0.418016	
175000	-141.465889	688	1	4	'0 0 0 0 Z Z Z Z 	D	0.206296	0.206296	0.206296	0.206296	0.000000	0.000000	0.000000	0.000000	0.100378	0.899620	0.000000	0.000002	0.299184	
176000	-136.954693	32	1	3	'0 0 0 0 Z 0 Z Z 	D	0.202590	0.202590	0.202590	0.202590	0.000000	0.202590	0.000000	0.000000	0.092958	0.907042	0.000000	0.000000	0.268804	
177000	-135.682062	512	1	1	'0 0 0 0 0 0 0 Z 	D	0.220845	0.220845	0.220845	0.220845	0.220845	0.220845	0.220845	0.000000	0.025522	0.229935	0.084462	0.660081	0.246850	
178000	-137.555206	841	1	1	'0 0 0 0 0 0 0 Z 	D	0.279071	0.279071	0.279071	0.279071	0.279071	0.279071	0.279071	0.000000	0.062693	0.262354	0.120502	0.554452	0.420104	
179000	-137.393414	531	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.183528	0.183528	0.183528	0.183528	0.183528	0.183528	0.000000	0.001332	0.143946	0.058125	0.796597	0.285139	
180000	-138.213237	414	1	2	'0 0 0 0 0 0 Z Z 	D	0.185423	0.185423	0.185423	0.185423	0.185423	0.185423	0.000000	0.000000	0.056902	0.909334	0.033764	0.000000	0.411174	
181000	-136.806922	33	1	1	'0 0 0 0 0 0 0 Z 	D	0.219406	0.219406	0.219406	0.219406	0.219406	0.219406	0.219406	0.000000	0.023817	0.243867	0.071483	0.660833	0.316270	
182000	-138.729227	3	1	1	'0 0 0 0 0 0 0 Z 	D	0.334222	0.334222	0.334222	0.334222	0.334222	0.334222	0.334222	0.000000	0.130271	0.261511	0.184689	0.423528	0.405951	
183000	-136.875597	173	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.158582	0.158582	0.158582	0.158582	0.158582	0.158582	0.000000	0.000569	0.121215	0.043274	0.834941	0.427153	
184000	-139.753781	671	1	1	'0 0 0 0 0 0 0 Z 	D	0.129898	0.129898	0.129898	0.129898	0.129898	0.129898	0.129898	0.000000	0.016630	0.168431	0.074969	0.739970	0.082555	
185000	-136.848819	158	1	3	'0 0 0 0 Z 0 Z Z 	D	0.187225	0.187225	0.187225	0.187225	0.000000	0.187225	0.000000	0.000000	0.051611	0.948389	0.000000	0.000000	0.249478	
186000	-138.999803	810	1	1	'0 0 0 0 0 0 Z 0 	D	0.143094	0.143094	0.143094	0.143094	0.143094	0.143094	0.000000	0.143094	0.059227	0.875159	0.025734	0.039880	0.468525	
187000	-139.584136	266	1	1	'0 0 0 0 0 0 Z 0 	D	0.254332	0.254332	0.254332	0.254332	0.254332	0.254332	0.000000	0.254332	0.187827	0.760231	0.042332	0.009609	0.265634	
188000	-137.788454	249	2	1	'1 0 1 0 1 1 0 Z 	D	0.163064	0.148672	0.163064	0.148672	0.163064	0.163064	0.148672	0.000000	0.012141	0.155641	0.067739	0.764479	0.394250	
189000	-136.097767	215	1	1	'0 0 0 0 0 0 0 Z 	D	0.209535	0.209535	0.209535	0.209535	0.209535	0.209535	0.209535	0.000000	0.033173	0.221681	0.097267	0.647879	0.441605	
190000	-135.826750	157	1	1	'0 0 0 0 0 0 0 Z 	D	0.245959	0.245959	0.245959	0.245959	0.245959	0.245959	0.245959	0.000000	0.061058	0.258693	0.138677	0.541572	0.456976	
191000	-135.872658	116	1	1	'0 0 0 0 0 0 0 Z 	D	0.211016	0.211016	0.211016	0.211016	0.211016	0.211016	0.211016	0.000000	0.033150	0.274353	0.141408	0.551089	0.235120	
192000	-137.671420	456	1	3	'0 0 0 0 Z 0 Z Z 	D	0.140866	0.140866	0.140866	0.140866	0.000000	0.140866	0.000000	0.000000	0.034297	0.965702	0.000000	0.000000	0.239032	
193000	-138.412282	60	1	1	'0 0 0 0 0 0 0 Z 	D	0.304429	0.304429	0.304429	0.304429	0.304429	0.304429	0.304429	0.000000	0.055838	0.294941	0.099565	0.549655	0.327578	
194000	-136.484756	63	1	1	'0 0 0 0 0 0 0 Z 	D	0.202378	0.202378	0.202378	0.202378	0.202378	0.202378	0.202378	0.000000	0.024513	0.248342	0.096229	0.630917	0.136725	
195000	-137.319052	741	1	1	'0 0 0 0 0 0 0 Z 	D	0.156626	0.156626	0.156626	0.156626	0.156626	0.156626	0.156626	0.000000	0.017427	0.251613	0.070728	0.660232	0.125595	
196000	-139.388808	258	1	1	'0 0 0 0 0 0 0 Z 	D	0.141517	0.141517	0.141517	0.141517	0.141517	0.141517	0.141517	0.000000	0.004397	0.203227	0.057997	0.734379	0.071821	
197000	-138.913066	514	1	1	'0 0 0 0 0 0 0 Z 	D	0.385474	0.385474	0.385474	0.385474	0.385474	0.385474	0.385474	0.000000	0.122794	0.297988	0.156327	0.422891	0.364818	
198000	-137.311377	162	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.158411	0.158411	0.158411	0.158411	0.158411	0.158411	0.000000	0.031071	0.191441	0.359884	0.417604	0.461426	
199000	-134.858912	404	1	1	'0 0 0 0 0 0 0 Z 	D	0.221813	0.221813	0.221813	0.221813	0.221813	0.221813	0.221813	0.000000	0.025485	0.226685	0.080383	0.667447	0.187091	
200000	-136.836090	713	1	1	'0 0 0 0 0 0 0 Z 	D	0.235647	0.235647	0.235647	0.235647	0.235647	0.235647	0.235647	0.000000	0.063255	0.247467	0.131146	0.558132	0.413306	
201000	-139.270481	959	1	0	'0 0 0 0 0 0 0 0 	I	0.132064	0.132064	0.132064	0.132064	0.132064	0.132064	0.132064	0.132064	0.000951	0.036990	0.024111	0.937949	0.149330	
202000	-135.935243	112	1	1	'0 0 0 0 0 0 0 Z 	D	0.179178	0.179178	0.179178	0.179178	0.179178	0.179178	0.179178	0.000000	0.013139	0.192273	0.072173	0.722416	0.378599	
203000	-137.558434	684	1	1	'0 0 0 0 0 0 0 Z 	D	0.274430	0.274430	0.274430	0.274430	0.274430	0.274430	0.274430	0.000000	0.051291	0.254292	0.114329	0.580088	0.327218	
204000	-139.047276	123	1	2	'0 0 0 0 0 Z 0 Z 	D	0.215801	0.215801	0.215801	0.215801	0.215801	0.000000	0.215801	0.000000	0.002079	0.165749	0.000009	0.832163	0.140298	
205000	-137.739613	487	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.188580	0.188580	0.188580	0.188580	0.188580	0.188580	0.000000	0.006961	0.181707	0.135167	0.676164	0.240397	
206000	-136.855278	940	1	3	'0 0 0 0 Z 0 Z Z 	D	0.176153	0.176153	0.176153	0.176153	0.000000	0.176153	0.000000	0.000000	0.064971	0.935029	0.000000	0.000000	0.260840	
