Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_agr.txt
Log File Name:                   DEP_agr.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            884579305
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_agr.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
2631000	-136.279434	741	1	1	'0 0 0 0 0 0 0 Z 	D	0.188731	0.188731	0.188731	0.188731	0.188731	0.188731	0.188731	0.000000	0.025769	0.255613	0.084605	0.634013	0.235573	
2632000	-140.011179	15	1	3	'0 0 0 0 Z Z 0 Z 	D	0.179453	0.179453	0.179453	0.179453	0.000000	0.000000	0.179453	0.000000	0.002263	0.164299	0.000000	0.833437	0.113094	
2633000	-134.943016	838	2	2	'0 0 0 Z 0 0 1 Z 	D	0.908303	0.908303	0.908303	0.000000	0.908303	0.908303	0.077458	0.000000	0.283873	0.182844	0.363521	0.169762	0.374284	
2634000	-135.185326	913	1	1	'0 0 0 0 0 0 0 Z 	D	0.217975	0.217975	0.217975	0.217975	0.217975	0.217975	0.217975	0.000000	0.030954	0.244756	0.090906	0.633385	0.379152	
2635000	-136.252739	255	1	3	'0 0 0 0 Z 0 Z Z 	D	0.207062	0.207062	0.207062	0.207062	0.000000	0.207062	0.000000	0.000000	0.080290	0.919709	0.000000	0.000000	0.153705	
2636000	-136.927265	90	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.182484	0.182484	0.182484	0.182484	0.182484	0.182484	0.000000	0.000474	0.158233	0.064530	0.776763	0.326567	
2637000	-136.880102	661	1	1	'0 0 0 0 0 0 Z 0 	D	0.154909	0.154909	0.154909	0.154909	0.154909	0.154909	0.000000	0.154909	0.031777	0.932366	0.023995	0.011862	0.216853	
2638000	-140.544804	273	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.124959	0.124959	0.124959	0.124959	0.124959	0.124959	0.000000	0.000072	0.081084	0.018157	0.900686	0.448348	
2639000	-138.029245	472	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.167503	0.167503	0.167503	0.167503	0.167503	0.167503	0.000000	0.001368	0.149606	0.056793	0.792233	0.461207	
2640000	-139.524102	486	1	1	'0 0 0 0 0 0 0 Z 	D	0.374231	0.374231	0.374231	0.374231	0.374231	0.374231	0.374231	0.000000	0.112578	0.287371	0.163029	0.437022	0.442004	
2641000	-136.815687	24	1	1	'0 0 0 0 0 0 0 Z 	D	0.231977	0.231977	0.231977	0.231977	0.231977	0.231977	0.231977	0.000000	0.068048	0.248496	0.137511	0.545946	0.199133	
2642000	-138.049501	764	1	3	'0 0 0 0 Z 0 Z Z 	D	0.200620	0.200620	0.200620	0.200620	0.000000	0.200620	0.000000	0.000000	0.269574	0.730425	0.000001	0.000000	0.374567	
2643000	-136.775846	720	1	1	'0 0 0 0 0 0 0 Z 	D	0.261164	0.261164	0.261164	0.261164	0.261164	0.261164	0.261164	0.000000	0.045922	0.249763	0.105045	0.599270	0.187006	
2644000	-137.309739	792	1	1	'0 0 0 0 0 0 0 Z 	D	0.219113	0.219113	0.219113	0.219113	0.219113	0.219113	0.219113	0.000000	0.026623	0.240490	0.081399	0.651487	0.208337	
2645000	-142.043104	764	1	3	'Z 0 0 0 Z 0 Z 0 	D	0.000000	0.142089	0.142089	0.142089	0.000000	0.142089	0.000000	0.142089	0.000000	0.999993	0.000000	0.000006	0.064890	
2646000	-137.219457	632	1	1	'0 0 0 0 0 0 0 Z 	D	0.230848	0.230848	0.230848	0.230848	0.230848	0.230848	0.230848	0.000000	0.035051	0.210579	0.107254	0.647117	0.218887	
2647000	-137.836746	23	1	1	'0 0 0 0 0 0 0 Z 	D	0.169845	0.169845	0.169845	0.169845	0.169845	0.169845	0.169845	0.000000	0.008701	0.172625	0.066917	0.751757	0.386616	
2648000	-135.986572	756	1	1	'0 0 0 0 0 0 0 Z 	D	0.255843	0.255843	0.255843	0.255843	0.255843	0.255843	0.255843	0.000000	0.037910	0.269838	0.095518	0.596733	0.469131	
2649000	-138.172039	376	1	1	'0 0 0 0 0 0 0 Z 	D	0.171378	0.171378	0.171378	0.171378	0.171378	0.171378	0.171378	0.000000	0.019207	0.219440	0.074059	0.687294	0.381097	
2650000	-136.630468	741	1	1	'0 0 0 0 0 0 0 Z 	D	0.173475	0.173475	0.173475	0.173475	0.173475	0.173475	0.173475	0.000000	0.021502	0.253602	0.077904	0.646992	0.308630	
2651000	-138.363743	417	1	3	'0 0 0 0 Z 0 Z Z 	D	0.184464	0.184464	0.184464	0.184464	0.000000	0.184464	0.000000	0.000000	0.092995	0.907004	0.000000	0.000000	0.290312	
2652000	-139.513397	850	1	3	'0 0 0 0 Z 0 Z Z 	D	0.132641	0.132641	0.132641	0.132641	0.000000	0.132641	0.000000	0.000000	0.033335	0.966664	0.000000	0.000001	0.181491	
2653000	-137.916452	999	2	1	'1 0 0 0 0 0 1 Z 	D	0.094278	0.198873	0.198873	0.198873	0.198873	0.198873	0.094278	0.000000	0.017630	0.407433	0.052775	0.522161	0.418616	
2654000	-138.823677	407	1	3	'0 0 0 0 Z Z 0 Z 	D	0.242892	0.242892	0.242892	0.242892	0.000000	0.000000	0.242892	0.000000	0.001358	0.136864	0.000000	0.861777	0.186730	
2655000	-136.465886	438	1	1	'0 0 0 0 0 0 0 Z 	D	0.226065	0.226065	0.226065	0.226065	0.226065	0.226065	0.226065	0.000000	0.028182	0.239546	0.087871	0.644401	0.351959	
2656000	-135.113171	470	1	1	'0 0 0 0 0 0 0 Z 	D	0.236716	0.236716	0.236716	0.236716	0.236716	0.236716	0.236716	0.000000	0.026060	0.233703	0.092635	0.647602	0.328851	
2657000	-139.274461	930	1	2	'0 0 0 0 0 0 Z Z 	D	0.166638	0.166638	0.166638	0.166638	0.166638	0.166638	0.000000	0.000000	0.028174	0.924825	0.047001	0.000000	0.442061	
2658000	-137.773844	618	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.155695	0.155695	0.155695	0.155695	0.155695	0.155695	0.000000	0.000389	0.182618	0.037612	0.779381	0.251300	
2659000	-136.765186	228	1	1	'0 0 0 0 0 0 0 Z 	D	0.185015	0.185015	0.185015	0.185015	0.185015	0.185015	0.185015	0.000000	0.013993	0.213930	0.054157	0.717920	0.153756	
2660000	-138.005252	669	1	3	'0 0 0 0 Z 0 Z Z 	D	0.185659	0.185659	0.185659	0.185659	0.000000	0.185659	0.000000	0.000000	0.119036	0.880963	0.000000	0.000001	0.194817	
2661000	-137.015128	449	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.208233	0.208233	0.208233	0.208233	0.208233	0.208233	0.000000	0.005486	0.199862	0.112315	0.682337	0.229055	
2662000	-137.831877	698	1	1	'0 0 0 0 0 0 0 Z 	D	0.254860	0.254860	0.254860	0.254860	0.254860	0.254860	0.254860	0.000000	0.037412	0.261134	0.091543	0.609911	0.427143	
2663000	-136.319323	836	1	1	'0 0 0 0 0 0 0 Z 	D	0.233514	0.233514	0.233514	0.233514	0.233514	0.233514	0.233514	0.000000	0.037313	0.248776	0.091375	0.622537	0.400113	
2664000	-139.979231	189	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	0.178323	0.178323	0.178323	0.178323	0.178323	0.000000	0.000000	0.000000	0.999999	0.000000	0.000001	0.120044	
2665000	-136.480324	8	1	1	'0 0 0 0 0 0 0 Z 	D	0.253694	0.253694	0.253694	0.253694	0.253694	0.253694	0.253694	0.000000	0.049167	0.264532	0.101753	0.584548	0.281209	
2666000	-138.179040	251	1	3	'0 0 0 0 Z Z 0 Z 	D	0.216119	0.216119	0.216119	0.216119	0.000000	0.000000	0.216119	0.000000	0.002379	0.160124	0.000000	0.837496	0.368664	
2667000	-139.989734	724	1	0	'0 0 0 0 0 0 0 0 	I	0.182828	0.182828	0.182828	0.182828	0.182828	0.182828	0.182828	0.182828	0.010053	0.170062	0.045763	0.774122	0.181423	
2668000	-136.416676	570	1	1	'0 0 0 0 0 0 0 Z 	D	0.215763	0.215763	0.215763	0.215763	0.215763	0.215763	0.215763	0.000000	0.039321	0.231014	0.101654	0.628011	0.171345	
2669000	-137.139649	544	1	1	'0 0 0 0 0 0 0 Z 	D	0.287526	0.287526	0.287526	0.287526	0.287526	0.287526	0.287526	0.000000	0.069774	0.291471	0.143696	0.495060	0.392374	
2670000	-135.883273	149	1	1	'0 0 0 0 0 0 0 Z 	D	0.239153	0.239153	0.239153	0.239153	0.239153	0.239153	0.239153	0.000000	0.093226	0.249540	0.243142	0.414092	0.385686	
2671000	-138.708439	202	1	2	'0 0 0 0 0 Z 0 Z 	D	0.252881	0.252881	0.252881	0.252881	0.252881	0.000000	0.252881	0.000000	0.002440	0.151193	0.000015	0.846351	0.421840	
2672000	-135.925106	208	1	1	'0 0 0 0 0 0 0 Z 	D	0.223744	0.223744	0.223744	0.223744	0.223744	0.223744	0.223744	0.000000	0.021571	0.299286	0.073600	0.605543	0.462900	
2673000	-135.686687	149	1	1	'0 0 0 0 0 0 0 Z 	D	0.223843	0.223843	0.223843	0.223843	0.223843	0.223843	0.223843	0.000000	0.086595	0.244043	0.255165	0.414197	0.103114	
2674000	-137.446114	909	1	1	'0 0 0 0 0 0 0 Z 	D	0.211497	0.211497	0.211497	0.211497	0.211497	0.211497	0.211497	0.000000	0.019675	0.257739	0.076554	0.646032	0.332122	
2675000	-136.570652	672	1	1	'0 0 0 0 0 0 0 Z 	D	0.209027	0.209027	0.209027	0.209027	0.209027	0.209027	0.209027	0.000000	0.014442	0.180013	0.072981	0.732564	0.082455	
2676000	-137.657361	381	1	1	'0 0 0 0 0 0 0 Z 	D	0.274931	0.274931	0.274931	0.274931	0.274931	0.274931	0.274931	0.000000	0.057451	0.260551	0.111356	0.570642	0.114311	
2677000	-137.409269	943	1	1	'0 0 0 0 0 0 0 Z 	D	0.170390	0.170390	0.170390	0.170390	0.170390	0.170390	0.170390	0.000000	0.008194	0.174372	0.068448	0.748986	0.273472	
2678000	-139.773661	520	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.113109	0.113109	0.113109	0.113109	0.113109	0.113109	0.113109	0.000459	0.037377	0.049411	0.912753	0.248171	
2679000	-136.914421	243	1	1	'0 0 0 0 0 0 0 Z 	D	0.161962	0.161962	0.161962	0.161962	0.161962	0.161962	0.161962	0.000000	0.007413	0.240445	0.058098	0.694044	0.387238	
2680000	-138.217262	173	1	2	'0 0 0 0 0 0 Z Z 	D	0.191939	0.191939	0.191939	0.191939	0.191939	0.191939	0.000000	0.000000	0.063421	0.891104	0.045474	0.000001	0.449479	
2681000	-137.097015	314	1	1	'0 0 0 0 0 0 0 Z 	D	0.204638	0.204638	0.204638	0.204638	0.204638	0.204638	0.204638	0.000000	0.056605	0.252987	0.126489	0.563919	0.401028	
2682000	-136.568736	437	1	1	'0 0 0 0 0 0 0 Z 	D	0.253666	0.253666	0.253666	0.253666	0.253666	0.253666	0.253666	0.000000	0.033937	0.247499	0.103946	0.614619	0.153942	
2683000	-135.759018	68	1	1	'0 0 0 0 0 0 0 Z 	D	0.252440	0.252440	0.252440	0.252440	0.252440	0.252440	0.252440	0.000000	0.053222	0.244567	0.123885	0.578325	0.433556	
2684000	-136.446405	658	1	1	'0 0 0 0 0 0 0 Z 	D	0.197725	0.197725	0.197725	0.197725	0.197725	0.197725	0.197725	0.000000	0.020179	0.182983	0.101351	0.695487	0.255903	
2685000	-137.292680	628	1	1	'0 0 0 0 0 0 0 Z 	D	0.262356	0.262356	0.262356	0.262356	0.262356	0.262356	0.262356	0.000000	0.048035	0.269828	0.123694	0.558443	0.374687	
2686000	-136.515626	188	1	1	'0 0 0 0 0 0 0 Z 	D	0.224505	0.224505	0.224505	0.224505	0.224505	0.224505	0.224505	0.000000	0.036853	0.240230	0.091511	0.631406	0.180489	
2687000	-137.150553	728	1	1	'0 0 0 0 0 0 0 Z 	D	0.154365	0.154365	0.154365	0.154365	0.154365	0.154365	0.154365	0.000000	0.006863	0.155086	0.045847	0.792204	0.381195	
2688000	-142.277426	568	1	2	'0 Z 0 0 0 0 Z 0 	D	0.256793	0.000000	0.256793	0.256793	0.256793	0.256793	0.000000	0.256793	0.062608	0.823408	0.054115	0.059869	0.177297	
2689000	-138.381252	308	1	1	'0 0 0 0 0 0 Z 0 	D	0.193870	0.193870	0.193870	0.193870	0.193870	0.193870	0.000000	0.193870	0.077079	0.864930	0.031585	0.026406	0.290398	
2690000	-140.364189	609	1	3	'0 0 0 0 Z Z 0 Z 	D	0.290149	0.290149	0.290149	0.290149	0.000000	0.000000	0.290149	0.000000	0.009085	0.188261	0.000000	0.802655	0.325143	
2691000	-137.749519	36	1	1	'0 0 0 0 0 0 0 Z 	D	0.165179	0.165179	0.165179	0.165179	0.165179	0.165179	0.165179	0.000000	0.010469	0.181372	0.081647	0.726512	0.456259	
2692000	-136.351799	5	1	1	'0 0 0 0 0 0 0 Z 	D	0.240196	0.240196	0.240196	0.240196	0.240196	0.240196	0.240196	0.000000	0.044914	0.279451	0.093181	0.582454	0.216596	
2693000	-138.885224	712	1	1	'0 0 0 0 0 0 0 Z 	D	0.143311	0.143311	0.143311	0.143311	0.143311	0.143311	0.143311	0.000000	0.008146	0.161534	0.065414	0.764907	0.420018	
2694000	-137.894959	991	1	1	'0 0 0 0 0 0 0 Z 	D	0.313467	0.313467	0.313467	0.313467	0.313467	0.313467	0.313467	0.000000	0.087325	0.264331	0.150525	0.497818	0.309031	
2695000	-138.100802	415	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.187715	0.187715	0.187715	0.187715	0.187715	0.187715	0.000000	0.000545	0.135310	0.049897	0.814248	0.198342	
2696000	-136.096388	436	1	1	'0 0 0 0 0 0 0 Z 	D	0.221476	0.221476	0.221476	0.221476	0.221476	0.221476	0.221476	0.000000	0.034313	0.242750	0.095427	0.627510	0.240210	
2697000	-136.246855	432	1	1	'0 0 0 0 0 0 0 Z 	D	0.273706	0.273706	0.273706	0.273706	0.273706	0.273706	0.273706	0.000000	0.071432	0.261563	0.133849	0.533156	0.189861	
2698000	-135.863198	808	1	1	'0 0 0 0 0 0 0 Z 	D	0.236431	0.236431	0.236431	0.236431	0.236431	0.236431	0.236431	0.000000	0.059252	0.244070	0.127820	0.568858	0.293894	
2699000	-137.235777	332	1	1	'0 0 0 0 0 0 0 Z 	D	0.253705	0.253705	0.253705	0.253705	0.253705	0.253705	0.253705	0.000000	0.033748	0.247964	0.103420	0.614868	0.136083	
2700000	-140.165046	695	1	2	'0 0 0 0 0 Z 0 Z 	D	0.187134	0.187134	0.187134	0.187134	0.187134	0.000000	0.187134	0.000000	0.000782	0.138996	0.000001	0.860221	0.342029	
2701000	-136.538494	565	1	1	'0 0 0 0 0 0 0 Z 	D	0.243588	0.243588	0.243588	0.243588	0.243588	0.243588	0.243588	0.000000	0.048341	0.279486	0.101333	0.570840	0.296444	
2702000	-134.237951	362	2	0	'1 1 1 0 1 1 0 0 	D	0.364344	0.364344	0.364344	0.093972	0.364344	0.364344	0.093972	0.093972	0.025847	0.029545	0.155057	0.789550	0.169211	
2703000	-138.392750	522	1	1	'0 0 0 0 0 0 0 Z 	D	0.137688	0.137688	0.137688	0.137688	0.137688	0.137688	0.137688	0.000000	0.007180	0.175867	0.046908	0.770045	0.423174	
2704000	-138.124005	66	1	1	'0 0 0 0 0 0 0 Z 	D	0.150980	0.150980	0.150980	0.150980	0.150980	0.150980	0.150980	0.000000	0.009145	0.193831	0.045963	0.751060	0.229229	
2705000	-136.925844	914	1	1	'0 0 0 0 0 0 0 Z 	D	0.209170	0.209170	0.209170	0.209170	0.209170	0.209170	0.209170	0.000000	0.033744	0.270154	0.091526	0.604576	0.309387	
2706000	-139.510193	83	1	3	'0 0 0 0 Z 0 Z Z 	D	0.137664	0.137664	0.137664	0.137664	0.000000	0.137664	0.000000	0.000000	0.036376	0.963624	0.000000	0.000001	0.171599	
2707000	-136.126945	566	1	3	'0 0 0 0 Z 0 Z Z 	D	0.189554	0.189554	0.189554	0.189554	0.000000	0.189554	0.000000	0.000000	0.046636	0.953364	0.000000	0.000000	0.218415	
2708000	-136.316993	334	1	1	'0 0 0 0 0 0 0 Z 	D	0.159880	0.159880	0.159880	0.159880	0.159880	0.159880	0.159880	0.000000	0.014177	0.177648	0.078281	0.729894	0.059927	
2709000	-139.218230	186	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.125582	0.125582	0.125582	0.125582	0.125582	0.125582	0.125582	0.000007	0.020493	0.009079	0.970422	0.351180	
2710000	-135.407662	696	1	1	'0 0 0 0 0 0 0 Z 	D	0.175524	0.175524	0.175524	0.175524	0.175524	0.175524	0.175524	0.000000	0.009155	0.221281	0.055725	0.713839	0.177591	
2711000	-136.264921	50	1	1	'0 0 0 0 0 0 0 Z 	D	0.169375	0.169375	0.169375	0.169375	0.169375	0.169375	0.169375	0.000000	0.007626	0.160321	0.088377	0.743676	0.090631	
2712000	-137.981913	363	1	1	'0 0 0 0 0 0 0 Z 	D	0.298590	0.298590	0.298590	0.298590	0.298590	0.298590	0.298590	0.000000	0.079281	0.276228	0.130449	0.514042	0.465911	
2713000	-138.411977	839	1	1	'0 0 0 0 0 0 0 Z 	D	0.326351	0.326351	0.326351	0.326351	0.326351	0.326351	0.326351	0.000000	0.120733	0.262628	0.176640	0.439999	0.154882	
2714000	-137.333426	358	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.219304	0.219304	0.219304	0.219304	0.219304	0.219304	0.000000	0.000239	0.114964	0.058411	0.826386	0.145036	
2715000	-135.795111	520	1	1	'0 0 0 0 0 0 0 Z 	D	0.164294	0.164294	0.164294	0.164294	0.164294	0.164294	0.164294	0.000000	0.029306	0.244304	0.216117	0.510272	0.261527	
2716000	-138.096582	633	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.195419	0.195419	0.195419	0.195419	0.195419	0.195419	0.000000	0.003176	0.128059	0.080582	0.788183	0.458931	
2717000	-138.564998	76	1	1	'0 0 0 0 0 0 0 Z 	D	0.326309	0.326309	0.326309	0.326309	0.326309	0.326309	0.326309	0.000000	0.082918	0.274886	0.138970	0.503225	0.359810	
2718000	-137.008277	419	1	1	'0 0 0 0 0 0 0 Z 	D	0.211995	0.211995	0.211995	0.211995	0.211995	0.211995	0.211995	0.000000	0.031494	0.236197	0.098364	0.633945	0.248940	
2719000	-137.454014	512	1	3	'0 0 0 0 Z 0 Z Z 	D	0.204564	0.204564	0.204564	0.204564	0.000000	0.204564	0.000000	0.000000	0.081580	0.918420	0.000000	0.000000	0.367953	
2720000	-139.432718	467	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.151013	0.151013	0.151013	0.151013	0.151013	0.151013	0.000000	0.001065	0.124580	0.055099	0.819256	0.304076	
2721000	-137.175629	684	1	1	'0 0 0 0 0 0 0 Z 	D	0.255337	0.255337	0.255337	0.255337	0.255337	0.255337	0.255337	0.000000	0.041325	0.244704	0.105308	0.608663	0.132538	
2722000	-136.063177	287	1	1	'0 0 0 0 0 0 0 Z 	D	0.191802	0.191802	0.191802	0.191802	0.191802	0.191802	0.191802	0.000000	0.030733	0.266478	0.148036	0.554754	0.151000	
2723000	-138.687768	856	1	1	'0 0 0 0 0 0 0 Z 	D	0.321637	0.321637	0.321637	0.321637	0.321637	0.321637	0.321637	0.000000	0.108104	0.286531	0.153097	0.452269	0.429680	
2724000	-138.733317	88	1	1	'0 0 0 0 0 0 Z 0 	D	0.190304	0.190304	0.190304	0.190304	0.190304	0.190304	0.000000	0.190304	0.057358	0.869521	0.038706	0.034415	0.159648	
2725000	-138.506748	536	1	1	'0 0 0 0 0 0 0 Z 	D	0.353826	0.353826	0.353826	0.353826	0.353826	0.353826	0.353826	0.000000	0.122098	0.271147	0.172723	0.434032	0.314591	
2726000	-136.401323	200	1	1	'0 0 0 0 0 0 0 Z 	D	0.163766	0.163766	0.163766	0.163766	0.163766	0.163766	0.163766	0.000000	0.016786	0.167026	0.084175	0.732013	0.111287	
2727000	-138.564426	220	1	3	'0 0 0 0 Z 0 Z Z 	D	0.193165	0.193165	0.193165	0.193165	0.000000	0.193165	0.000000	0.000000	0.085642	0.914358	0.000000	0.000000	0.304786	
2728000	-140.473544	785	1	1	'0 0 0 0 Z 0 0 0 	D	0.150106	0.150106	0.150106	0.150106	0.000000	0.150106	0.150106	0.150106	0.005771	0.162818	0.034871	0.796541	0.236532	
2729000	-135.877101	664	2	1	'1 1 1 0 1 1 Z 0 	D	0.727272	0.727272	0.727272	0.022643	0.727272	0.727272	0.000000	0.022643	0.302980	0.090281	0.593177	0.013563	0.432242	
2730000	-141.078748	403	1	0	'0 0 0 0 0 0 0 0 	I	0.227629	0.227629	0.227629	0.227629	0.227629	0.227629	0.227629	0.227629	0.058933	0.313588	0.099267	0.528212	0.446101	
2731000	-136.076529	294	1	1	'0 0 0 0 0 0 0 Z 	D	0.220187	0.220187	0.220187	0.220187	0.220187	0.220187	0.220187	0.000000	0.026002	0.216829	0.088932	0.668237	0.390204	
2732000	-136.737466	975	1	1	'0 0 0 0 0 0 0 Z 	D	0.254349	0.254349	0.254349	0.254349	0.254349	0.254349	0.254349	0.000000	0.044024	0.244943	0.105585	0.605448	0.166573	
2733000	-134.982216	51	2	2	'1 1 1 Z 1 1 Z 0 	D	0.718281	0.718281	0.718281	0.000000	0.718281	0.718281	0.000000	0.119745	0.246698	0.156708	0.340989	0.255605	0.345037	
2734000	-128.627597	206	2	2	'1 1 1 Z 1 1 0 Z 	D	0.461633	0.461633	0.461633	0.000000	0.461633	0.461633	0.196129	0.000000	0.002972	0.000032	0.133419	0.863576	0.437402	
2735000	-131.087541	421	2	2	'1 1 1 Z 1 1 0 Z 	D	0.466940	0.466940	0.466940	0.000000	0.466940	0.466940	0.209420	0.000000	0.013134	0.000533	0.209860	0.776473	0.336252	
2736000	-128.829372	206	2	2	'1 1 1 Z 1 1 0 Z 	D	0.655408	0.655408	0.655408	0.000000	0.655408	0.655408	0.136410	0.000000	0.053362	0.004451	0.376345	0.565842	0.369560	
2737000	-132.058036	28	3	2	'2 2 1 Z 1 1 0 Z 	D	0.559714	0.559714	0.490690	0.000000	0.490690	0.490690	0.221030	0.000000	0.042892	0.004850	0.248953	0.703305	0.310511	
2738000	-134.220277	98	2	1	'1 1 1 Z 1 1 0 0 	D	0.507638	0.507638	0.507638	0.000000	0.507638	0.507638	0.141359	0.141359	0.019323	0.001574	0.200567	0.778536	0.141512	
2739000	-132.595461	357	2	2	'1 1 1 Z 1 1 0 Z 	D	0.470163	0.470163	0.470163	0.000000	0.470163	0.470163	0.208685	0.000000	0.051678	0.007738	0.266298	0.674286	0.215860	
2740000	-132.329106	553	2	2	'1 1 1 Z 1 1 0 Z 	D	0.637395	0.637395	0.637395	0.000000	0.637395	0.637395	0.201604	0.000000	0.038517	0.005249	0.236386	0.719848	0.107461	
2741000	-137.368995	735	1	2	'0 0 0 0 0 0 Z Z 	D	0.160036	0.160036	0.160036	0.160036	0.160036	0.160036	0.000000	0.000000	0.019176	0.939998	0.040824	0.000001	0.384280	
2742000	-136.375929	41	1	1	'0 0 0 0 0 0 0 Z 	D	0.213946	0.213946	0.213946	0.213946	0.213946	0.213946	0.213946	0.000000	0.033836	0.240381	0.156122	0.569660	0.190733	
2743000	-135.946843	8	1	3	'0 0 0 0 Z 0 Z Z 	D	0.216173	0.216173	0.216173	0.216173	0.000000	0.216173	0.000000	0.000000	0.111006	0.888993	0.000000	0.000001	0.053514	
2744000	-140.523946	906	1	0	'0 0 0 0 0 0 0 0 	I	0.145946	0.145946	0.145946	0.145946	0.145946	0.145946	0.145946	0.145946	0.008583	0.105334	0.066758	0.819325	0.205782	
2745000	-136.467372	661	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.174188	0.174188	0.174188	0.174188	0.174188	0.174188	0.000000	0.000966	0.158476	0.062000	0.778558	0.445366	
2746000	-136.327986	378	1	3	'0 0 0 0 Z 0 Z Z 	D	0.204801	0.204801	0.204801	0.204801	0.000000	0.204801	0.000000	0.000000	0.068375	0.931624	0.000000	0.000001	0.308064	
2747000	-137.303411	577	1	3	'0 0 0 0 Z 0 Z Z 	D	0.158985	0.158985	0.158985	0.158985	0.000000	0.158985	0.000000	0.000000	0.075357	0.924643	0.000000	0.000000	0.119576	
2748000	-139.527090	418	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.233530	0.233530	0.233530	0.233530	0.233530	0.233530	0.000000	0.001535	0.200930	0.071545	0.725990	0.240180	
2749000	-140.864186	763	1	3	'0 0 0 0 Z 0 Z Z 	D	0.275892	0.275892	0.275892	0.275892	0.000000	0.275892	0.000000	0.000000	0.150572	0.849428	0.000000	0.000000	0.125476	
2750000	-136.658725	672	1	1	'0 0 0 0 0 0 0 Z 	D	0.226487	0.226487	0.226487	0.226487	0.226487	0.226487	0.226487	0.000000	0.020084	0.196127	0.081617	0.702172	0.192006	
2751000	-140.306038	7	1	0	'0 0 0 0 0 0 0 0 	I	0.176807	0.176807	0.176807	0.176807	0.176807	0.176807	0.176807	0.176807	0.026533	0.195366	0.093038	0.685062	0.342077	
2752000	-140.721304	978	1	1	'0 0 0 0 Z 0 0 0 	D	0.227292	0.227292	0.227292	0.227292	0.000000	0.227292	0.227292	0.227292	0.096912	0.335449	0.134014	0.433625	0.417170	
2753000	-137.907189	761	1	3	'0 0 0 0 Z 0 Z Z 	D	0.209206	0.209206	0.209206	0.209206	0.000000	0.209206	0.000000	0.000000	0.111081	0.888918	0.000000	0.000001	0.284440	
2754000	-136.334928	947	1	3	'0 0 0 0 Z 0 Z Z 	D	0.180547	0.180547	0.180547	0.180547	0.000000	0.180547	0.000000	0.000000	0.136191	0.863809	0.000000	0.000000	0.465935	
2755000	-136.764354	72	1	3	'0 0 0 0 Z 0 Z Z 	D	0.191679	0.191679	0.191679	0.191679	0.000000	0.191679	0.000000	0.000000	0.067529	0.932470	0.000000	0.000000	0.070877	
2756000	-136.561840	357	1	1	'0 0 0 0 0 0 0 Z 	D	0.202332	0.202332	0.202332	0.202332	0.202332	0.202332	0.202332	0.000000	0.039151	0.207599	0.109674	0.643576	0.270223	
2757000	-137.111065	253	1	1	'0 0 0 0 0 0 0 Z 	D	0.293986	0.293986	0.293986	0.293986	0.293986	0.293986	0.293986	0.000000	0.087490	0.267504	0.181337	0.463669	0.390938	
2758000	-138.870609	891	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.136860	0.136860	0.136860	0.136860	0.136860	0.136860	0.000000	0.025160	0.195317	0.396603	0.382921	0.152577	
2759000	-135.689168	81	1	1	'0 0 0 0 0 0 0 Z 	D	0.218945	0.218945	0.218945	0.218945	0.218945	0.218945	0.218945	0.000000	0.029988	0.220673	0.090580	0.658760	0.381079	
