Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_alt_pol.bin3.txt
Log File Name:                   DEP_pol3_alt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3245969453
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol3_alt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
125000	-108.764091	333	1	2	'0 0 0 0 Z Z 0 0 	D	0.133166	0.133166	0.133166	0.133166	0.000000	0.000000	0.133166	0.133166	0.968236	0.014691	0.000003	0.017069	0.164436	
126000	-108.545380	661	1	2	'0 0 0 0 Z Z 0 0 	D	0.097491	0.097491	0.097491	0.097491	0.000000	0.000000	0.097491	0.097491	0.981829	0.009845	0.000002	0.008324	0.178635	
127000	-110.018339	661	1	4	'0 0 Z 0 Z Z Z 0 	D	0.118794	0.118794	0.000000	0.118794	0.000000	0.000000	0.000000	0.118794	0.999998	0.000000	0.000002	0.000000	0.074251	
128000	-112.161214	44	1	1	'0 0 0 0 0 0 Z 0 	D	0.080936	0.080936	0.080936	0.080936	0.080936	0.080936	0.000000	0.080936	0.013074	0.000113	0.977410	0.009403	0.091353	
129000	-115.258687	382	1	1	'0 0 0 0 0 0 Z 0 	D	0.079462	0.079462	0.079462	0.079462	0.079462	0.079462	0.000000	0.079462	0.017360	0.000021	0.981327	0.001292	0.349487	
130000	-113.153605	28	1	2	'0 0 Z Z 0 0 0 0 	D	0.062509	0.062509	0.000000	0.000000	0.062509	0.062509	0.062509	0.062509	0.008947	0.000000	0.982139	0.008915	0.055124	
131000	-113.989260	360	1	1	'0 0 0 0 0 0 0 Z 	D	0.068277	0.068277	0.068277	0.068277	0.068277	0.068277	0.068277	0.000000	0.007056	0.000013	0.992931	0.000000	0.065026	
132000	-110.210284	595	1	1	'0 0 0 0 0 Z 0 0 	D	0.122774	0.122774	0.122774	0.122774	0.122774	0.000000	0.122774	0.122774	0.049189	0.000657	0.939435	0.010720	0.092682	
133000	-111.067711	781	1	1	'0 0 0 0 0 Z 0 0 	D	0.142953	0.142953	0.142953	0.142953	0.142953	0.000000	0.142953	0.142953	0.097538	0.005701	0.854194	0.042567	0.397278	
134000	-109.317663	323	1	1	'0 0 0 0 0 Z 0 0 	D	0.130198	0.130198	0.130198	0.130198	0.130198	0.000000	0.130198	0.130198	0.070472	0.000355	0.926040	0.003133	0.063226	
135000	-110.347498	296	1	1	'0 0 0 0 0 Z 0 0 	D	0.134523	0.134523	0.134523	0.134523	0.134523	0.000000	0.134523	0.134523	0.086243	0.000284	0.911260	0.002213	0.160775	
136000	-111.716608	766	1	1	'0 0 0 0 0 Z 0 0 	D	0.096948	0.096948	0.096948	0.096948	0.096948	0.000000	0.096948	0.096948	0.050038	0.000529	0.940571	0.008862	0.195106	
137000	-114.112857	685	1	1	'0 0 Z 0 0 0 0 0 	D	0.086533	0.086533	0.000000	0.086533	0.086533	0.086533	0.086533	0.086533	0.010508	0.000029	0.979774	0.009689	0.117150	
138000	-110.766619	987	1	1	'0 0 0 0 0 Z 0 0 	D	0.147641	0.147641	0.147641	0.147641	0.147641	0.000000	0.147641	0.147641	0.131587	0.001981	0.855733	0.010699	0.137093	
139000	-113.075102	591	1	2	'0 0 Z 0 0 Z 0 0 	D	0.090799	0.090799	0.000000	0.090799	0.090799	0.000000	0.090799	0.090799	0.021332	0.000000	0.978111	0.000558	0.066580	
140000	-109.921808	635	1	1	'0 0 0 0 0 Z 0 0 	D	0.122461	0.122461	0.122461	0.122461	0.122461	0.000000	0.122461	0.122461	0.068878	0.000165	0.929225	0.001733	0.371528	
141000	-111.832011	191	1	1	'0 0 0 0 0 Z 0 0 	D	0.085419	0.085419	0.085419	0.085419	0.085419	0.000000	0.085419	0.085419	0.124104	0.000163	0.874700	0.001033	0.226889	
142000	-111.438257	850	1	0	'0 0 0 0 0 0 0 0 	I	0.079973	0.079973	0.079973	0.079973	0.079973	0.079973	0.079973	0.079973	0.010024	0.000079	0.982143	0.007753	0.274293	
143000	-112.560485	333	1	0	'0 0 0 0 0 0 0 0 	I	0.091287	0.091287	0.091287	0.091287	0.091287	0.091287	0.091287	0.091287	0.084966	0.000576	0.908299	0.006159	0.339474	
144000	-112.024828	947	1	2	'0 0 0 0 Z Z 0 0 	D	0.097547	0.097547	0.097547	0.097547	0.000000	0.000000	0.097547	0.097547	0.988509	0.003192	0.000006	0.008292	0.422227	
145000	-111.715947	402	1	1	'0 0 0 0 0 Z 0 0 	D	0.112012	0.112012	0.112012	0.112012	0.112012	0.000000	0.112012	0.112012	0.050617	0.000310	0.944114	0.004958	0.111811	
146000	-112.404456	167	1	1	'0 0 0 0 0 Z 0 0 	D	0.160962	0.160962	0.160962	0.160962	0.160962	0.000000	0.160962	0.160962	0.110631	0.005397	0.850144	0.033828	0.225800	
147000	-110.275771	354	1	1	'0 0 0 0 0 Z 0 0 	D	0.121067	0.121067	0.121067	0.121067	0.121067	0.000000	0.121067	0.121067	0.045756	0.000875	0.938632	0.014737	0.119992	
148000	-107.588552	661	1	3	'0 0 0 0 Z Z Z 0 	D	0.126855	0.126855	0.126855	0.126855	0.000000	0.000000	0.000000	0.126855	0.982162	0.017836	0.000002	0.000000	0.362057	
149000	-107.815174	276	2	1	'0 0 1 1 0 Z 1 1 	D	0.088669	0.088669	0.645076	0.645076	0.088669	0.000000	0.645076	0.645076	0.016870	0.274499	0.066737	0.641894	0.320921	
150000	-112.136994	10	1	1	'0 0 0 0 0 Z 0 0 	D	0.076672	0.076672	0.076672	0.076672	0.076672	0.000000	0.076672	0.076672	0.008991	0.000001	0.990899	0.000108	0.038079	
151000	-112.594132	334	1	1	'0 0 0 0 0 Z 0 0 	D	0.177674	0.177674	0.177674	0.177674	0.177674	0.000000	0.177674	0.177674	0.149015	0.008975	0.803925	0.038085	0.298637	
152000	-111.463295	868	1	2	'0 0 Z 0 0 Z 0 0 	D	0.101703	0.101703	0.000000	0.101703	0.101703	0.000000	0.101703	0.101703	0.031153	0.000082	0.953952	0.014814	0.373769	
153000	-107.871384	661	1	1	'0 0 0 0 0 Z 0 0 	D	0.100787	0.100787	0.100787	0.100787	0.100787	0.000000	0.100787	0.100787	0.342791	0.003796	0.646688	0.006725	0.110203	
154000	-107.622885	661	1	3	'0 0 0 0 Z Z Z 0 	D	0.113876	0.113876	0.113876	0.113876	0.000000	0.000000	0.000000	0.113876	0.985849	0.014149	0.000002	0.000000	0.250209	
155000	-111.202745	660	1	2	'0 0 Z 0 0 Z 0 0 	D	0.096892	0.096892	0.000000	0.096892	0.096892	0.000000	0.096892	0.096892	0.362125	0.000016	0.632627	0.005232	0.050790	
156000	-108.245360	660	1	2	'0 0 0 0 Z Z 0 0 	D	0.103846	0.103846	0.103846	0.103846	0.000000	0.000000	0.103846	0.103846	0.969159	0.017670	0.000002	0.013169	0.286175	
157000	-113.924216	515	1	2	'0 0 Z 0 0 Z 0 0 	D	0.104526	0.104526	0.000000	0.104526	0.104526	0.000000	0.104526	0.104526	0.040696	0.000223	0.935371	0.023711	0.413370	
158000	-112.375705	310	1	0	'0 0 0 0 0 0 0 0 	I	0.080204	0.080204	0.080204	0.080204	0.080204	0.080204	0.080204	0.080204	0.011138	0.000122	0.978060	0.010681	0.050634	
159000	-110.227066	346	1	3	'0 0 0 0 Z Z Z 0 	D	0.116734	0.116734	0.116734	0.116734	0.000000	0.000000	0.000000	0.116734	0.995799	0.004193	0.000008	0.000000	0.197423	
160000	-112.821978	299	1	2	'0 0 Z 0 0 Z 0 0 	D	0.091060	0.091060	0.000000	0.091060	0.091060	0.000000	0.091060	0.091060	0.027482	0.000029	0.963330	0.009158	0.340086	
161000	-112.027540	180	1	1	'0 0 Z 0 0 0 0 0 	D	0.066863	0.066863	0.000000	0.066863	0.066863	0.066863	0.066863	0.066863	0.003229	0.000002	0.993821	0.002948	0.444923	
162000	-110.305249	24	1	1	'0 0 0 0 0 Z 0 0 	D	0.134351	0.134351	0.134351	0.134351	0.134351	0.000000	0.134351	0.134351	0.093608	0.006042	0.853982	0.046369	0.193833	
163000	-114.667562	623	1	2	'0 0 0 0 Z Z 0 0 	D	0.117218	0.117218	0.117218	0.117218	0.000000	0.000000	0.117218	0.117218	0.929379	0.059492	0.000070	0.011059	0.037427	
164000	-109.123653	394	1	1	'0 0 0 0 0 Z 0 0 	D	0.099615	0.099615	0.099615	0.099615	0.099615	0.000000	0.099615	0.099615	0.031794	0.000382	0.958013	0.009811	0.100631	
165000	-110.543759	668	1	1	'0 0 0 0 0 Z 0 0 	D	0.133534	0.133534	0.133534	0.133534	0.133534	0.000000	0.133534	0.133534	0.056420	0.000466	0.937011	0.006103	0.167425	
166000	-109.892835	367	1	1	'0 0 0 0 0 Z 0 0 	D	0.137447	0.137447	0.137447	0.137447	0.137447	0.000000	0.137447	0.137447	0.077919	0.000538	0.916985	0.004558	0.255698	
167000	-109.024848	333	1	2	'0 0 0 0 Z Z 0 0 	D	0.141468	0.141468	0.141468	0.141468	0.000000	0.000000	0.141468	0.141468	0.963556	0.017054	0.000003	0.019386	0.081235	
168000	-109.549787	147	1	1	'0 0 0 0 0 Z 0 0 	D	0.101733	0.101733	0.101733	0.101733	0.101733	0.000000	0.101733	0.101733	0.094646	0.000199	0.903477	0.001679	0.495883	
169000	-110.015564	987	1	1	'0 0 0 0 0 Z 0 0 	D	0.118389	0.118389	0.118389	0.118389	0.118389	0.000000	0.118389	0.118389	0.091174	0.000781	0.901367	0.006677	0.408936	
170000	-109.814606	353	1	1	'0 0 0 0 0 Z 0 0 	D	0.123699	0.123699	0.123699	0.123699	0.123699	0.000000	0.123699	0.123699	0.072807	0.001654	0.907642	0.017897	0.220809	
171000	-110.571278	2	1	1	'0 0 0 0 0 Z 0 0 	D	0.140920	0.140920	0.140920	0.140920	0.140920	0.000000	0.140920	0.140920	0.074436	0.000860	0.916978	0.007726	0.262649	
172000	-106.973175	661	2	2	'1 1 0 1 Z Z 1 0 	D	0.107276	0.107276	0.441058	0.107276	0.000000	0.000000	0.107276	0.441058	0.398432	0.252838	0.000001	0.348729	0.402743	
173000	-113.684669	443	1	2	'0 0 Z 0 0 Z 0 0 	D	0.123276	0.123276	0.000000	0.123276	0.123276	0.000000	0.123276	0.123276	0.056940	0.000148	0.923302	0.019609	0.129740	
174000	-111.672636	975	1	1	'0 0 0 0 0 Z 0 0 	D	0.171506	0.171506	0.171506	0.171506	0.171506	0.000000	0.171506	0.171506	0.126686	0.004878	0.843408	0.025028	0.184152	
175000	-111.739145	802	1	1	'0 0 0 0 0 Z 0 0 	D	0.081595	0.081595	0.081595	0.081595	0.081595	0.000000	0.081595	0.081595	0.014770	0.000040	0.982990	0.002200	0.358753	
176000	-110.955844	972	1	1	'0 0 0 0 0 Z 0 0 	D	0.141368	0.141368	0.141368	0.141368	0.141368	0.000000	0.141368	0.141368	0.076564	0.001495	0.908617	0.013325	0.171141	
177000	-112.497769	985	1	2	'0 0 0 0 0 Z 0 Z 	D	0.128173	0.128173	0.128173	0.128173	0.128173	0.000000	0.128173	0.000000	0.053996	0.000415	0.945588	0.000001	0.482575	
178000	-111.808217	700	1	1	'0 0 0 0 0 Z 0 0 	D	0.163210	0.163210	0.163210	0.163210	0.163210	0.000000	0.163210	0.163210	0.121411	0.002668	0.861585	0.014335	0.313025	
179000	-112.319680	714	1	1	'0 0 0 Z 0 0 0 0 	D	0.098796	0.098796	0.098796	0.000000	0.098796	0.098796	0.098796	0.098796	0.007008	0.000010	0.986526	0.006455	0.419243	
180000	-107.787425	661	1	3	'0 0 0 0 Z Z Z 0 	D	0.136082	0.136082	0.136082	0.136082	0.000000	0.000000	0.000000	0.136082	0.979215	0.020783	0.000002	0.000000	0.253164	
181000	-112.491468	360	1	1	'0 0 0 Z 0 0 0 0 	D	0.115947	0.115947	0.115947	0.000000	0.115947	0.115947	0.115947	0.115947	0.020374	0.000138	0.961317	0.018171	0.240950	
182000	-112.743623	730	1	3	'0 0 Z 0 Z Z 0 0 	D	0.152706	0.152706	0.000000	0.152706	0.000000	0.000000	0.152706	0.152706	0.999999	0.000000	0.000001	0.000000	0.416341	
183000	-113.911785	579	1	2	'0 0 0 0 0 Z 0 Z 	D	0.127841	0.127841	0.127841	0.127841	0.127841	0.000000	0.127841	0.000000	0.038631	0.000142	0.961227	0.000000	0.315468	
184000	-111.654474	191	1	1	'0 0 0 Z 0 0 0 0 	D	0.093079	0.093079	0.093079	0.000000	0.093079	0.093079	0.093079	0.093079	0.005489	0.000003	0.992646	0.001861	0.461542	
185000	-113.005901	170	1	0	'0 0 0 0 0 0 0 0 	I	0.085490	0.085490	0.085490	0.085490	0.085490	0.085490	0.085490	0.085490	0.015328	0.000208	0.971306	0.013159	0.434004	
186000	-108.227814	206	1	1	'0 0 0 0 0 Z 0 0 	D	0.152835	0.152835	0.152835	0.152835	0.152835	0.000000	0.152835	0.152835	0.125929	0.000355	0.871816	0.001899	0.109627	
187000	-108.208959	265	2	1	'0 0 1 1 0 Z 1 1 	D	0.074119	0.074119	0.305417	0.305417	0.074119	0.000000	0.305417	0.305417	0.021902	0.083234	0.302529	0.592335	0.370438	
188000	-111.275445	385	1	1	'0 0 0 0 0 Z 0 0 	D	0.110236	0.110236	0.110236	0.110236	0.110236	0.000000	0.110236	0.110236	0.034283	0.000496	0.953246	0.011975	0.329929	
189000	-113.042331	607	1	1	'0 0 0 Z 0 0 0 0 	D	0.100826	0.100826	0.100826	0.000000	0.100826	0.100826	0.100826	0.100826	0.004691	0.000002	0.993024	0.002283	0.313184	
190000	-112.461656	831	1	1	'0 0 0 Z 0 0 0 0 	D	0.090342	0.090342	0.090342	0.000000	0.090342	0.090342	0.090342	0.090342	0.002308	0.000001	0.995705	0.001986	0.252112	
191000	-111.005810	171	1	1	'0 0 0 Z 0 0 0 0 	D	0.078548	0.078548	0.078548	0.000000	0.078548	0.078548	0.078548	0.078548	0.021646	0.000081	0.969996	0.008277	0.179275	
192000	-112.073435	850	1	1	'0 0 0 Z 0 0 0 0 	D	0.062361	0.062361	0.062361	0.000000	0.062361	0.062361	0.062361	0.062361	0.004744	0.000007	0.990635	0.004614	0.151987	
193000	-111.069669	345	1	1	'0 0 0 Z 0 0 0 0 	D	0.100319	0.100319	0.100319	0.000000	0.100319	0.100319	0.100319	0.100319	0.003599	0.000002	0.994561	0.001838	0.146636	
194000	-113.127220	640	1	1	'0 0 0 Z 0 0 0 0 	D	0.096309	0.096309	0.096309	0.000000	0.096309	0.096309	0.096309	0.096309	0.015480	0.000076	0.969447	0.014998	0.055405	
195000	-110.400992	975	1	1	'0 0 0 Z 0 0 0 0 	D	0.077838	0.077838	0.077838	0.000000	0.077838	0.077838	0.077838	0.077838	0.005888	0.000010	0.988292	0.005810	0.153437	
196000	-112.392869	820	1	2	'0 0 Z 0 0 Z 0 0 	D	0.113417	0.113417	0.000000	0.113417	0.113417	0.000000	0.113417	0.113417	0.026366	0.000001	0.971747	0.001887	0.093812	
197000	-111.179285	257	1	3	'0 0 0 0 Z Z Z 0 	D	0.143255	0.143255	0.143255	0.143255	0.000000	0.000000	0.000000	0.143255	0.961855	0.038125	0.000019	0.000001	0.468555	
198000	-115.405812	946	1	1	'0 0 Z 0 0 0 0 0 	D	0.050381	0.050381	0.000000	0.050381	0.050381	0.050381	0.050381	0.050381	0.000417	0.000000	0.999429	0.000153	0.043694	
199000	-111.432899	223	1	2	'0 0 Z 0 0 Z 0 0 	D	0.118479	0.118479	0.000000	0.118479	0.118479	0.000000	0.118479	0.118479	0.080020	0.000002	0.917555	0.002423	0.167501	
200000	-111.170233	350	1	1	'0 0 0 0 0 Z 0 0 	D	0.081855	0.081855	0.081855	0.081855	0.081855	0.000000	0.081855	0.081855	0.011400	0.000044	0.985346	0.003210	0.183312	
201000	-110.987746	601	1	1	'0 0 0 0 0 Z 0 0 	D	0.145574	0.145574	0.145574	0.145574	0.145574	0.000000	0.145574	0.145574	0.107884	0.007278	0.837007	0.047831	0.197547	
202000	-112.512189	135	2	2	'0 0 Z 0 1 Z 1 0 	D	0.137585	0.137585	0.000000	0.137585	0.023918	0.000000	0.023918	0.137585	0.283367	0.000486	0.684909	0.031237	0.072236	
203000	-114.215603	567	1	3	'0 0 0 0 0 Z Z Z 	D	0.163079	0.163079	0.163079	0.163079	0.163079	0.000000	0.000000	0.000000	0.074818	0.000315	0.924867	0.000000	0.055590	
204000	-114.550977	536	1	2	'0 0 0 Z 0 0 Z 0 	D	0.089072	0.089072	0.089072	0.000000	0.089072	0.089072	0.000000	0.089072	0.021430	0.000145	0.956377	0.022048	0.163818	
205000	-113.274996	247	1	1	'0 0 0 Z 0 0 0 0 	D	0.100553	0.100553	0.100553	0.000000	0.100553	0.100553	0.100553	0.100553	0.026081	0.000231	0.948933	0.024755	0.301349	
206000	-112.002305	808	1	1	'0 0 0 Z 0 0 0 0 	D	0.095001	0.095001	0.095001	0.000000	0.095001	0.095001	0.095001	0.095001	0.031535	0.000334	0.939652	0.028480	0.078741	
207000	-110.448664	964	1	1	'0 0 0 0 0 Z 0 0 	D	0.115691	0.115691	0.115691	0.115691	0.115691	0.000000	0.115691	0.115691	0.060439	0.001454	0.918693	0.019414	0.483453	
208000	-110.788954	661	2	1	'0 1 0 1 0 Z 1 0 	D	0.130334	0.244524	0.130334	0.244524	0.130334	0.000000	0.244524	0.130334	0.520304	0.009911	0.459473	0.010312	0.266551	
209000	-109.177100	223	2	1	'0 0 0 0 0 Z 0 1 	D	0.090895	0.090895	0.090895	0.090895	0.090895	0.000000	0.090895	0.142386	0.064767	0.000229	0.929828	0.005176	0.093680	
210000	-110.185102	16	1	1	'0 0 0 0 0 Z 0 0 	D	0.105131	0.105131	0.105131	0.105131	0.105131	0.000000	0.105131	0.105131	0.050479	0.001669	0.921182	0.026669	0.153581	
211000	-111.559608	448	1	1	'0 0 0 0 0 Z 0 0 	D	0.083586	0.083586	0.083586	0.083586	0.083586	0.000000	0.083586	0.083586	0.014621	0.000071	0.981033	0.004275	0.383407	
212000	-110.930026	37	1	3	'0 0 0 0 Z Z Z 0 	D	0.127287	0.127287	0.127287	0.127287	0.000000	0.000000	0.000000	0.127287	0.997518	0.002470	0.000012	0.000000	0.128694	
213000	-109.743318	254	1	3	'0 0 0 0 Z Z Z 0 	D	0.131132	0.131132	0.131132	0.131132	0.000000	0.000000	0.000000	0.131132	0.980954	0.019044	0.000002	0.000000	0.423066	
214000	-111.789838	4	1	1	'0 0 0 0 0 Z 0 0 	D	0.128425	0.128425	0.128425	0.128425	0.128425	0.000000	0.128425	0.128425	0.065030	0.001609	0.915173	0.018188	0.199232	
215000	-110.422423	595	1	1	'0 0 0 0 0 Z 0 0 	D	0.104611	0.104611	0.104611	0.104611	0.104611	0.000000	0.104611	0.104611	0.029591	0.000278	0.962228	0.007903	0.182874	
216000	-111.977034	637	1	1	'0 0 0 0 0 Z 0 0 	D	0.127066	0.127066	0.127066	0.127066	0.127066	0.000000	0.127066	0.127066	0.065314	0.001264	0.919069	0.014353	0.065429	
217000	-110.646623	359	1	1	'0 0 0 0 0 Z 0 0 	D	0.096311	0.096311	0.096311	0.096311	0.096311	0.000000	0.096311	0.096311	0.043671	0.000128	0.953762	0.002439	0.261634	
218000	-110.445829	910	1	1	'0 0 0 0 0 Z 0 0 	D	0.107774	0.107774	0.107774	0.107774	0.107774	0.000000	0.107774	0.107774	0.079770	0.001425	0.904532	0.014273	0.430552	
219000	-110.897403	778	1	1	'0 0 0 0 0 Z 0 0 	D	0.101330	0.101330	0.101330	0.101330	0.101330	0.000000	0.101330	0.101330	0.026979	0.000024	0.972374	0.000623	0.110540	
220000	-107.866424	661	1	1	'0 0 0 0 0 Z 0 0 	D	0.128510	0.128510	0.128510	0.128510	0.128510	0.000000	0.128510	0.128510	0.338630	0.006363	0.643843	0.011164	0.492448	
221000	-111.824419	578	1	3	'0 0 0 0 Z Z Z 0 	D	0.140914	0.140914	0.140914	0.140914	0.000000	0.000000	0.000000	0.140914	0.993419	0.006558	0.000023	0.000000	0.075412	
222000	-110.320113	578	1	1	'0 0 0 0 0 Z 0 0 	D	0.106550	0.106550	0.106550	0.106550	0.106550	0.000000	0.106550	0.106550	0.031544	0.000070	0.966768	0.001618	0.213939	
223000	-109.760641	975	1	1	'0 0 0 0 0 Z 0 0 	D	0.103943	0.103943	0.103943	0.103943	0.103943	0.000000	0.103943	0.103943	0.029624	0.000317	0.961249	0.008809	0.282217	
